ko:K02495	ena:ECNA114_3967
ko:K18138	ena:ECNA114_0441
ko:K05396	ena:ECNA114_2010
ko:K18922	ena:ECNA114_0513
ko:K03761	ena:ECNA114_2660
ko:K03297	ena:ECNA114_2015
ko:K16345	ena:ECNA114_3798
ko:K10014	ena:ECNA114_2399
ko:K16371	ena:ECNA114_3214
ko:K16693	ena:ECNA114_3930
ko:K21907	ena:ECNA114_3631
ko:K03077	ena:ECNA114_0049
ko:K01990	ena:ECNA114_0726
ko:K19162	ena:ECNA114_0440
ko:K21901	ena:ECNA114_3616
ko:K14236	ena:ECNA114_t52
ko:K14236	ena:ECNA114_t18
ko:K02054	ena:ECNA114_1578
ko:K21908	ena:ECNA114_3630
ko:K21029	ena:ECNA114_0768
ko:K02226	ena:ECNA114_0578
ko:K08348	ena:ECNA114_3647
ko:K21906	ena:ECNA114_3635
ko:K02345	ena:ECNA114_1889
ko:K16301	ena:ECNA114_1091
ko:K10111	ena:ECNA114_4192
ko:K00254	ena:ECNA114_1024
ko:K18138	ena:ECNA114_1483
ko:K03585	ena:ECNA114_1482
ko:K18140	ena:ECNA114_3345
ko:K16348	ena:ECNA114_4367
ko:K16347	ena:ECNA114_4366
ko:K03111	ena:ECNA114_4732
ko:K07497	ena:ECNA114_2551
ko:K12262	ena:ECNA114_1558
ko:K18139	ena:ECNA114_1484
ko:K18968	ena:ECNA114_0361
ko:K14218	ena:ECNA114_t31
ko:K14218	ena:ECNA114_t32
ko:K16139	ena:ECNA114_1663
ko:K16092	ena:ECNA114_4108
ko:K00971	ena:ECNA114_2147
ko:K16089	ena:ECNA114_4512
ko:K11745	ena:ECNA114_0035
ko:K05372	ena:ECNA114_2044
ko:K16138	ena:ECNA114_1665
ko:K16091	ena:ECNA114_2544
ko:K16088	ena:ECNA114_1159
ko:K02503	ena:ECNA114_1161
ko:K16089	ena:ECNA114_2246
ko:K14228	ena:ECNA114_t10
ko:K14233	ena:ECNA114_t17
ko:K16090	ena:ECNA114_0738
ko:K14220	ena:ECNA114_t26
ko:K14220	ena:ECNA114_t27
ko:K14220	ena:ECNA114_t28
ko:K14232	ena:ECNA114_t29
ko:K14219	ena:ECNA114_t30
ko:K16136	ena:ECNA114_1667
