ko:K19586	eclx:LI66_16110
ko:K01977	eclx:LI66_22635
ko:K01977	eclx:LI66_16540
ko:K01977	eclx:LI66_01860
ko:K01977	eclx:LI66_20445
ko:K01977	eclx:LI66_21775
ko:K01977	eclx:LI66_22110
ko:K01977	eclx:LI66_01370
ko:K01977	eclx:LI66_04230
ko:K05799	eclx:LI66_03800
ko:K19611	eclx:LI66_12315
ko:K01990	eclx:LI66_06595
ko:K02031	eclx:LI66_11075
ko:K02031	eclx:LI66_05550
ko:K07497	eclx:LI66_23860
ko:K19789	eclx:LI66_15065
ko:K00108	eclx:LI66_05575
ko:K02485	eclx:LI66_12415
ko:K08348	eclx:LI66_11170
ko:K08348	eclx:LI66_11175
ko:K04103	eclx:LI66_15680
ko:K00001	eclx:LI66_22400
ko:K22597	eclx:LI66_12050
ko:K01007	eclx:LI66_09245
ko:K21430	eclx:LI66_07055
ko:K08156	eclx:LI66_11150
ko:K03973	eclx:LI66_12060
ko:K00433	eclx:LI66_10185
ko:K19587	eclx:LI66_16095
ko:K04753	eclx:LI66_19200
ko:K01582	eclx:LI66_04155
ko:K09017	eclx:LI66_07910
ko:K02032	eclx:LI66_11080
ko:K00632	eclx:LI66_21805
ko:K00130	eclx:LI66_18640
ko:K12227	eclx:LI66_23430
ko:K05874	eclx:LI66_10740
ko:K20861	eclx:LI66_07090
ko:K20866	eclx:LI66_22495
ko:K20881	eclx:LI66_20965
ko:K20862	eclx:LI66_00955
ko:K08172	eclx:LI66_14340
ko:K07448	eclx:LI66_02775
ko:K03445	eclx:LI66_00215
ko:K07687	eclx:LI66_00315
ko:K07347	eclx:LI66_00325
ko:K07345	eclx:LI66_00335
ko:K13409	eclx:LI66_00385
ko:K13408	eclx:LI66_00395
ko:K07127	eclx:LI66_00430
ko:K03098	eclx:LI66_00440
ko:K07347	eclx:LI66_00455
ko:K07346	eclx:LI66_00460
ko:K19048	eclx:LI66_00495
ko:K03292	eclx:LI66_00515
ko:K01811	eclx:LI66_00520
ko:K16345	eclx:LI66_00530
ko:K03312	eclx:LI66_00535
ko:K03655	eclx:LI66_00540
ko:K00556	eclx:LI66_00545
ko:K03060	eclx:LI66_00555
ko:K00942	eclx:LI66_00560
ko:K01972	eclx:LI66_00565
ko:K01991	eclx:LI66_00590
ko:K01104	eclx:LI66_00595
ko:K16692	eclx:LI66_00600
ko:K03152	eclx:LI66_04800
ko:K00077	eclx:LI66_04805
ko:K09767	eclx:LI66_04810
ko:K01628	eclx:LI66_04820
ko:K03435	eclx:LI66_04825
ko:K10439	eclx:LI66_04835
ko:K10440	eclx:LI66_04840
ko:K10441	eclx:LI66_04845
ko:K01818	eclx:LI66_04850
ko:K00879	eclx:LI66_04855
ko:K02431	eclx:LI66_04860
ko:K02300	eclx:LI66_04870
ko:K02299	eclx:LI66_04875
ko:K02298	eclx:LI66_04880
ko:K02297	eclx:LI66_04885
ko:K08218	eclx:LI66_04895
ko:K07286	eclx:LI66_04900
ko:K05527	eclx:LI66_04905
ko:K03545	eclx:LI66_04910
ko:K01358	eclx:LI66_04915
ko:K03544	eclx:LI66_04920
ko:K01338	eclx:LI66_04925
ko:K03530	eclx:LI66_04930
ko:K03770	eclx:LI66_04935
ko:K02237	eclx:LI66_04940
ko:K12500	eclx:LI66_04945
ko:K06920	eclx:LI66_04960
ko:K11938	eclx:LI66_04970
ko:K01738	eclx:LI66_04975
ko:K05800	eclx:LI66_04980
ko:K18889	eclx:LI66_04985
ko:K18890	eclx:LI66_04990
ko:K04752	eclx:LI66_04995
ko:K03320	eclx:LI66_05000
ko:K10805	eclx:LI66_05005
ko:K09914	eclx:LI66_05010
ko:K07443	eclx:LI66_05015
ko:K01190	eclx:LI66_05050
ko:K02909	eclx:LI66_05060
ko:K02919	eclx:LI66_05065
ko:K00375	eclx:LI66_05075
ko:K07345	eclx:LI66_09290
ko:K07347	eclx:LI66_09300
ko:K07349	eclx:LI66_09310
ko:K05997	eclx:LI66_09355
ko:K09014	eclx:LI66_09360
ko:K09013	eclx:LI66_09365
ko:K09015	eclx:LI66_09370
ko:K11717	eclx:LI66_09375
ko:K02426	eclx:LI66_09380
ko:K19234	eclx:LI66_09385
ko:K06078	eclx:LI66_09390
ko:K00873	eclx:LI66_09395
ko:K01758	eclx:LI66_09400
ko:K01697	eclx:LI66_09405
ko:K02071	eclx:LI66_09410
ko:K02072	eclx:LI66_09415
ko:K02073	eclx:LI66_09420
ko:K02029	eclx:LI66_09430
ko:K02029	eclx:LI66_09435
ko:K02028	eclx:LI66_09440
ko:K02030	eclx:LI66_09445
