ko:K00632	sega:SPUCDC_0495
ko:K19504	sega:SPUCDC_4517
ko:K06148	sega:SPUCDC_4240
ko:K19595	sega:SPUCDC_2608
ko:K08278	sega:SPUCDC_0001
ko:K12524	sega:SPUCDC_0002
ko:K00872	sega:SPUCDC_0003
ko:K01733	sega:SPUCDC_0004
ko:K09861	sega:SPUCDC_0005
ko:K03310	sega:SPUCDC_0006
ko:K00616	sega:SPUCDC_0007
ko:K03831	sega:SPUCDC_0008
ko:K07034	sega:SPUCDC_0009
ko:K04043	sega:SPUCDC_0012
ko:K01990	sega:SPUCDC_2145
ko:K02345	sega:SPUCDC_1746
ko:K18138	sega:SPUCDC_2475
ko:K03111	sega:SPUCDC_4232
ko:K02032	sega:SPUCDC_1063
ko:K18968	sega:SPUCDC_2573
ko:K01791	sega:SPUCDC_3492
ko:K03686	sega:SPUCDC_0013
ko:K19611	sega:SPUCDC_2755
ko:K14744	sega:SPUCDC_1716
ko:K00526	sega:SPUCDC_0613
ko:K00287	sega:SPUCDC_0092
ko:K02495	sega:SPUCDC_3654
ko:K19221	sega:SPUCDC_1532
ko:K00254	sega:SPUCDC_1983
ko:K13654	sega:SPUCDC_1399
ko:K01139	sega:SPUCDC_3807
ko:K19230	sega:SPUCDC_1504
ko:K18816	sega:SPUCDC_1430
ko:K07012	sega:SPUCDC_2929
ko:K04065	sega:SPUCDC_4538
ko:K18838	sega:SPUCDC_2698
ko:K03779	sega:SPUCDC_3351
ko:K01420	sega:SPUCDC_1480
ko:K09477	sega:SPUCDC_2332
ko:K00151	sega:SPUCDC_1941
ko:K06075	sega:SPUCDC_1259
ko:K00265	sega:SPUCDC_3326
ko:K00821	sega:SPUCDC_4099
ko:K00951	sega:SPUCDC_2950
ko:K17713	sega:SPUCDC_0359
ko:K03604	sega:SPUCDC_1244
ko:K00981	sega:SPUCDC_0241
ko:K11749	sega:SPUCDC_0242
ko:K07277	sega:SPUCDC_0244
ko:K06142	sega:SPUCDC_0245
ko:K02536	sega:SPUCDC_0246
ko:K02372	sega:SPUCDC_0247
ko:K00677	sega:SPUCDC_0248
ko:K00748	sega:SPUCDC_0249
ko:K03470	sega:SPUCDC_0250
ko:K02337	sega:SPUCDC_0251
ko:K01962	sega:SPUCDC_0252
ko:K08234	sega:SPUCDC_0255
ko:K04075	sega:SPUCDC_0256
ko:K15034	sega:SPUCDC_0260
