ko:K12979	kpnk:BN49_1127
ko:K01007	kpnk:BN49_3268
ko:K22602	kpnk:BN49_2857
ko:K02109	kpnk:BN49_5066
ko:K02113	kpnk:BN49_5067
ko:K02111	kpnk:BN49_5068
ko:K02115	kpnk:BN49_5069
ko:K02112	kpnk:BN49_5070
ko:K02114	kpnk:BN49_5071
ko:K04042	kpnk:BN49_5072
ko:K00820	kpnk:BN49_5073
ko:K02040	kpnk:BN49_5074
ko:K02037	kpnk:BN49_5075
ko:K02038	kpnk:BN49_5076
ko:K02036	kpnk:BN49_5077
ko:K02039	kpnk:BN49_5078
ko:K10124	kpnk:BN49_5079
ko:K07214	kpnk:BN49_5080
ko:K06901	kpnk:BN49_5083
ko:K19784	kpnk:BN49_5084
ko:K08163	kpnk:BN49_5087
ko:K06919	kpnk:BN49_5094
ko:K07483	kpnk:BN49_5096
ko:K07497	kpnk:BN49_5097
ko:K03650	kpnk:BN49_5101
ko:K03217	kpnk:BN49_5102
ko:K03536	kpnk:BN49_5103
ko:K07497	kpnk:BN49_pI0005
ko:K01046	kpnk:BN49_pI0006
ko:K07480	kpnk:BN49_pI0007
ko:K07480	kpnk:BN49_pI0008
ko:K03111	kpnk:BN49_pI0013
ko:K03497	kpnk:BN49_pI0015
ko:K18831	kpnk:BN49_pI0025
ko:K06901	kpnk:BN49_4966
ko:K00799	kpnk:BN49_4967
ko:K13639	kpnk:BN49_4968
ko:K13631	kpnk:BN49_4969
ko:K01092	kpnk:BN49_4979
ko:K07277	kpnk:BN49_4981
ko:K18325	kpnk:BN49_4983
ko:K19611	kpnk:BN49_4984
ko:K03111	kpnk:BN49_4986
ko:K03701	kpnk:BN49_4987
ko:K03788	kpnk:BN49_4990
ko:K00832	kpnk:BN49_4991
ko:K01775	kpnk:BN49_4992
ko:K02314	kpnk:BN49_4993
ko:K00344	kpnk:BN49_4994
ko:K05539	kpnk:BN49_4996
ko:K07483	kpnk:BN49_pI0073
ko:K07497	kpnk:BN49_pI0074
ko:K01590	kpnk:BN49_pI0079
ko:K07497	kpnk:BN49_pI0080
ko:K07483	kpnk:BN49_pI0081
ko:K05839	kpnk:BN49_pI0083
ko:K18828	kpnk:BN49_pI0089
ko:K18829	kpnk:BN49_pI0090
ko:K03496	kpnk:BN49_pI0104
ko:K06218	kpnk:BN49_pI0106
ko:K18923	kpnk:BN49_pI0107
ko:K03502	kpnk:BN49_pI0108
ko:K03503	kpnk:BN49_pI0109
ko:K07497	kpnk:BN49_pI0113
ko:K07483	kpnk:BN49_pI0114
ko:K07497	kpnk:BN49_pI0115
ko:K02345	kpnk:BN49_pII0002
ko:K03503	kpnk:BN49_pII0005
ko:K03502	kpnk:BN49_pII0006
ko:K18923	kpnk:BN49_pII0007
ko:K07496	kpnk:BN49_pII0008
ko:K07496	kpnk:BN49_pII0009
ko:K03497	kpnk:BN49_pII0012
ko:K03496	kpnk:BN49_pII0013
ko:K07497	kpnk:BN49_pII0018
ko:K07497	kpnk:BN49_pII0019
ko:K07497	kpnk:BN49_pII0021
ko:K07480	kpnk:BN49_pII0022
ko:K07790	kpnk:BN49_pII0026
ko:K19611	kpnk:BN49_pII0027
ko:K18895	kpnk:BN49_pII0029
ko:K07497	kpnk:BN49_pII0039
ko:K07483	kpnk:BN49_pII0040
ko:K07483	kpnk:BN49_pII0041
ko:K01462	kpnk:BN49_pII0075
ko:K07483	kpnk:BN49_pII0078
ko:K12070	kpnk:BN49_pII0081
ko:K12057	kpnk:BN49_pII0087
ko:K12072	kpnk:BN49_pII0088
ko:K03981	kpnk:BN49_pII0091
ko:K03746	kpnk:BN49_pII0094
ko:K14060	kpnk:BN49_pII0098
ko:K03457	kpnk:BN49_pII0105
ko:K03457	kpnk:BN49_pII0106
ko:K00666	kpnk:BN49_pII0107
ko:K00666	kpnk:BN49_pII0108
ko:K02013	kpnk:BN49_pII0113
ko:K02016	kpnk:BN49_pII0114
ko:K02015	kpnk:BN49_pII0115
ko:K03711	kpnk:BN49_pII0120
ko:K07483	kpnk:BN49_pII0121
ko:K07483	kpnk:BN49_pII0122
ko:K07497	kpnk:BN49_pII0123
ko:K01190	kpnk:BN49_pII0134
ko:K02532	kpnk:BN49_pII0135
ko:K02014	kpnk:BN49_pII0136
ko:K12068	kpnk:BN49_pI0034
ko:K12067	kpnk:BN49_pI0035
ko:K12066	kpnk:BN49_pI0036
ko:K12065	kpnk:BN49_pI0037
ko:K12064	kpnk:BN49_pI0039
ko:K12063	kpnk:BN49_pI0046
ko:K12062	kpnk:BN49_pI0047
ko:K12061	kpnk:BN49_pI0048
ko:K12060	kpnk:BN49_pI0049
ko:K12059	kpnk:BN49_pI0050
ko:K12058	kpnk:BN49_pI0051
ko:K12057	kpnk:BN49_pI0054
ko:K12072	kpnk:BN49_pI0057
ko:K12056	kpnk:BN49_pI0058
ko:K03502	kpnk:BN49_pII0045
ko:K16091	kpnk:BN49_pII0046
ko:K07165	kpnk:BN49_pII0047
ko:K07165	kpnk:BN49_pII0048
ko:K03088	kpnk:BN49_pII0049
ko:K07497	kpnk:BN49_pII0050
ko:K07497	kpnk:BN49_pII0051
ko:K08968	kpnk:BN49_pII0056
ko:K16137	kpnk:BN49_pII0061
ko:K02014	kpnk:BN49_pII0064
ko:K03897	kpnk:BN49_pII0065
ko:K03895	kpnk:BN49_pII0066
ko:K03896	kpnk:BN49_pII0067
ko:K03894	kpnk:BN49_pII0068
ko:K02313	kpnk:BN49_0001
ko:K02338	kpnk:BN49_0002
ko:K03629	kpnk:BN49_0003
ko:K02470	kpnk:BN49_0004
ko:K19776	kpnk:BN49_0008
ko:K08322	kpnk:BN49_0499
ko:K01686	kpnk:BN49_0500
ko:K07648	kpnk:BN49_0501
ko:K03814	kpnk:BN49_0503
ko:K08485	kpnk:BN49_0504
ko:K06958	kpnk:BN49_0505
ko:K02806	kpnk:BN49_0506
ko:K05808	kpnk:BN49_0507
ko:K03092	kpnk:BN49_0508
ko:K06861	kpnk:BN49_0509
ko:K09774	kpnk:BN49_0510
ko:K11719	kpnk:BN49_0511
ko:K03270	kpnk:BN49_0512
ko:K06041	kpnk:BN49_0513
ko:K07301	kpnk:BN49_0514
ko:K02065	kpnk:BN49_0515
ko:K02066	kpnk:BN49_0516
ko:K02067	kpnk:BN49_0517
ko:K07323	kpnk:BN49_0518
ko:K07122	kpnk:BN49_0519
ko:K00790	kpnk:BN49_0521
ko:K07724	kpnk:BN49_0522
ko:K02523	kpnk:BN49_0523
ko:K02888	kpnk:BN49_0524
ko:K03979	kpnk:BN49_0526
ko:K07259	kpnk:BN49_0527
ko:K03624	kpnk:BN49_0528
ko:K07574	kpnk:BN49_0529
ko:K02427	kpnk:BN49_0530
ko:K03186	kpnk:BN49_1028
ko:K01612	kpnk:BN49_1029
ko:K21759	kpnk:BN49_1030
ko:K18922	kpnk:BN49_1031
ko:K03555	kpnk:BN49_1032
ko:K11903	kpnk:BN49_1035
ko:K02013	kpnk:BN49_1036
ko:K02015	kpnk:BN49_1037
ko:K02016	kpnk:BN49_1038
ko:K07225	kpnk:BN49_1039
ko:K16087	kpnk:BN49_1040
ko:K07401	kpnk:BN49_1041
ko:K01652	kpnk:BN49_1042
ko:K07088	kpnk:BN49_1043
ko:K11606	kpnk:BN49_1046
ko:K11605	kpnk:BN49_1047
ko:K11607	kpnk:BN49_1048
ko:K11604	kpnk:BN49_1049
ko:K00847	kpnk:BN49_1051
ko:K02759	kpnk:BN49_1052
ko:K02761	kpnk:BN49_1053
ko:K02760	kpnk:BN49_1054
ko:K02761	kpnk:BN49_1055
ko:K16077	kpnk:BN49_1056
ko:K17215	kpnk:BN49_1552
ko:K17214	kpnk:BN49_1553
ko:K03484	kpnk:BN49_1555
ko:K01193	kpnk:BN49_1556
ko:K02809	kpnk:BN49_1557
ko:K02810	kpnk:BN49_1557
ko:K16077	kpnk:BN49_1558
ko:K00847	kpnk:BN49_1559
ko:K02013	kpnk:BN49_1562
ko:K02015	kpnk:BN49_1563
ko:K02016	kpnk:BN49_1564
ko:K01451	kpnk:BN49_1569
ko:K10013	kpnk:BN49_1570
