ko:K02847	hpys:HPSA20_0455
ko:K18929	hpys:HPSA20_0157
ko:K18928	hpys:HPSA20_0158
ko:K07316	hpys:HPSA20_0288
ko:K03496	hpys:HPSA20_1114
ko:K03196	hpys:HPSA20_1472
ko:K03196	hpys:HPSA20_1125
ko:K07316	hpys:HPSA20_1650
ko:K09477	hpys:HPSA20_0163
ko:K03559	hpys:HPSA20_1207
ko:K03559	hpys:HPSA20_1446
ko:K00652	hpys:HPSA20_0616
ko:K07457	hpys:HPSA20_0624
ko:K01679	hpys:HPSA20_1430
ko:K03279	hpys:HPSA20_1465
ko:K04093	hpys:HPSA20_0323
ko:K03342	hpys:HPSA20_0326
ko:K01426	hpys:HPSA20_0327
ko:K00076	hpys:HPSA20_0481
ko:K03455	hpys:HPSA20_0499
ko:K02017	hpys:HPSA20_0505
ko:K01885	hpys:HPSA20_0506
ko:K01990	hpys:HPSA20_1314
ko:K01719	hpys:HPSA20_1318
ko:K01455	hpys:HPSA20_1334
ko:K01916	hpys:HPSA20_0364
ko:K01784	hpys:HPSA20_1163
ko:K07126	hpys:HPSA20_1171
ko:K00845	hpys:HPSA20_1176
ko:K07126	hpys:HPSA20_1194
ko:K08077	hpys:HPSA20_0540
ko:K07126	hpys:HPSA20_0559
ko:K00059	hpys:HPSA20_0572
ko:K00949	hpys:HPSA20_1394
ko:K07098	hpys:HPSA20_0449
ko:K01262	hpys:HPSA20_0457
ko:K03711	hpys:HPSA20_0467
ko:K13640	hpys:HPSA20_0469
ko:K03784	hpys:HPSA20_1263
ko:K03317	hpys:HPSA20_1265
ko:K01674	hpys:HPSA20_1274
ko:K02843	hpys:HPSA20_1277
ko:K13797	hpys:HPSA20_1285
ko:K07126	hpys:HPSA20_0262
ko:K06196	hpys:HPSA20_0296
ko:K06013	hpys:HPSA20_1103
ko:K00245	hpys:HPSA20_0211
ko:K00244	hpys:HPSA20_0212
ko:K03593	hpys:HPSA20_0226
ko:K07126	hpys:HPSA20_0233
ko:K01439	hpys:HPSA20_0234
ko:K06910	hpys:HPSA20_0241
ko:K01585	hpys:HPSA20_1060
ko:K00058	hpys:HPSA20_1088
ko:K01992	hpys:HPSA20_0633
ko:K01992	hpys:HPSA20_0634
ko:K00939	hpys:HPSA20_0641
ko:K01507	hpys:HPSA20_0645
ko:K00674	hpys:HPSA20_0652
ko:K07126	hpys:HPSA20_0653
ko:K00970	hpys:HPSA20_0666
ko:K01885	hpys:HPSA20_0671
ko:K03768	hpys:HPSA20_1496
ko:K06346	hpys:HPSA20_1507
ko:K03279	hpys:HPSA20_0179
ko:K07126	hpys:HPSA20_0180
ko:K15898	hpys:HPSA20_0199
ko:K03743	hpys:HPSA20_1010
ko:K06179	hpys:HPSA20_1015
ko:K03442	hpys:HPSA20_1048
ko:K01119	hpys:HPSA20_0393
ko:K11085	hpys:HPSA20_0404
ko:K02028	hpys:HPSA20_1253
ko:K02030	hpys:HPSA20_1254
ko:K12574	hpys:HPSA20_1481
ko:K11782	hpys:HPSA20_0824
ko:K07316	hpys:HPSA20_1593
ko:K02484	hpys:HPSA20_0185
ko:K02484	hpys:HPSA20_1655
ko:K03559	hpys:HPSA20_1502
ko:K14233	hpys:HPSA20_0105
ko:K14233	hpys:HPSA20_0426
ko:K14220	hpys:HPSA20_0253
ko:K14218	hpys:HPSA20_0279
ko:K14219	hpys:HPSA20_0365
ko:K14230	hpys:HPSA20_1266
ko:K01980	hpys:HPSA20_1458
ko:K01977	hpys:HPSA20_1493
ko:K14232	hpys:HPSA20_0486
ko:K14219	hpys:HPSA20_1069
