ko:K19744	pfw:PF1751_v1c20450
ko:K19296	pfw:PF1751_v1c09380
ko:K21147	pfw:PF1751_v1c41320
ko:K22617	pfw:PF1751_v1c13340
ko:K16238	pfw:PF1751_v1c48580
ko:K12960	pfw:PF1751_v1c16080
ko:K19736	pfw:PF1751_v1c42850
ko:K21430	pfw:PF1751_v1c25550
ko:K01980	pfw:PF1751_v1r060
ko:K01980	pfw:PF1751_v1r120
ko:K01980	pfw:PF1751_v1r020
ko:K01980	pfw:PF1751_v1r180
ko:K01980	pfw:PF1751_v1r090
ko:K01980	pfw:PF1751_v1r150
ko:K11209	pfw:PF1751_v1c12620
ko:K11209	pfw:PF1751_v1c19680
ko:K00821	pfw:PF1751_v1c15920
ko:K18291	pfw:PF1751_v1c29070
ko:K19746	pfw:PF1751_v1c20440
ko:K03458	pfw:PF1751_v1c38600
ko:K09017	pfw:PF1751_v1c17520
ko:K12253	pfw:PF1751_v1c20110
ko:K01007	pfw:PF1751_v1c41280
ko:K12979	pfw:PF1751_v1c15870
ko:K12979	pfw:PF1751_v1c25510
ko:K12979	pfw:PF1751_v1c15270
ko:K19270	pfw:PF1751_v1c36750
ko:K11894	pfw:PF1751_v1c29780
ko:K03293	pfw:PF1751_v1c10590
ko:K16638	pfw:PF1751_v1c51400
ko:K19113	pfw:PF1751_v1c05450
ko:K00249	pfw:PF1751_v1c29060
ko:K06599	pfw:PF1751_v1c27670
ko:K22589	pfw:PF1751_v1c24510
ko:K00249	pfw:PF1751_v1c33180
ko:K00248	pfw:PF1751_v1c04250
ko:K00042	pfw:PF1751_v1c17470
ko:K01802	pfw:PF1751_v1c21380
ko:K00249	pfw:PF1751_v1c40840
ko:K05799	pfw:PF1751_v1c47270
ko:K05799	pfw:PF1751_v1c29330
ko:K01800	pfw:PF1751_v1c09850
ko:K00130	pfw:PF1751_v1c14830
ko:K00632	pfw:PF1751_v1c38140
ko:K09017	pfw:PF1751_v1c33810
ko:K00344	pfw:PF1751_v1c53050
ko:K21645	pfw:PF1751_v1c54660
ko:K20862	pfw:PF1751_v1c53560
ko:K06955	pfw:PF1751_v1c07230
ko:K07071	pfw:PF1751_v1c07240
ko:K01772	pfw:PF1751_v1c07250
ko:K02014	pfw:PF1751_v1c07260
ko:K04691	pfw:PF1751_v1c07270
ko:K00957	pfw:PF1751_v1c07290
ko:K00955	pfw:PF1751_v1c07300
ko:K13788	pfw:PF1751_v1c07320
ko:K03775	pfw:PF1751_v1c07330
ko:K02968	pfw:PF1751_v1c07340
ko:K03980	pfw:PF1751_v1c07350
ko:K11753	pfw:PF1751_v1c07360
ko:K01870	pfw:PF1751_v1c07370
ko:K03101	pfw:PF1751_v1c07380
ko:K03774	pfw:PF1751_v1c07390
ko:K03527	pfw:PF1751_v1c07400
ko:K08084	pfw:PF1751_v1c07410
ko:K02671	pfw:PF1751_v1c07420
ko:K02672	pfw:PF1751_v1c07430
ko:K02673	pfw:PF1751_v1c07440
ko:K02655	pfw:PF1751_v1c07450
ko:K03153	pfw:PF1751_v1c07460
ko:K06950	pfw:PF1751_v1c07470
ko:K05807	pfw:PF1751_v1c07480
ko:K06180	pfw:PF1751_v1c07490
ko:K05810	pfw:PF1751_v1c07500
ko:K03695	pfw:PF1751_v1c07510
ko:K03885	pfw:PF1751_v1c07520
ko:K09862	pfw:PF1751_v1c07580
ko:K00859	pfw:PF1751_v1c07590
ko:K02654	pfw:PF1751_v1c07600
ko:K02653	pfw:PF1751_v1c07610
ko:K00767	pfw:PF1751_v1c07650
ko:K03806	pfw:PF1751_v1c07670
ko:K03807	pfw:PF1751_v1c07680
ko:K03406	pfw:PF1751_v1c07690
ko:K03168	pfw:PF1751_v1c15420
ko:K13053	pfw:PF1751_v1c15450
ko:K01356	pfw:PF1751_v1c15460
ko:K01207	pfw:PF1751_v1c15480
ko:K03723	pfw:PF1751_v1c15510
ko:K00134	pfw:PF1751_v1c15520
ko:K00322	pfw:PF1751_v1c15540
ko:K01126	pfw:PF1751_v1c15550
ko:K09808	pfw:PF1751_v1c15570
ko:K09810	pfw:PF1751_v1c15580
ko:K09808	pfw:PF1751_v1c15590
ko:K07644	pfw:PF1751_v1c15600
ko:K07665	pfw:PF1751_v1c15610
ko:K06879	pfw:PF1751_v1c15630
ko:K04754	pfw:PF1751_v1c15660
ko:K00616	pfw:PF1751_v1c15700
ko:K05539	pfw:PF1751_v1c15720
ko:K00116	pfw:PF1751_v1c15780
ko:K06966	pfw:PF1751_v1c15860
ko:K00209	pfw:PF1751_v1c15880
ko:K01560	pfw:PF1751_v1c15900
ko:K06916	pfw:PF1751_v1c23480
ko:K16088	pfw:PF1751_v1c23510
ko:K00033	pfw:PF1751_v1c23540
ko:K00036	pfw:PF1751_v1c23550
ko:K06992	pfw:PF1751_v1c23610
ko:K07165	pfw:PF1751_v1c23650
ko:K13609	pfw:PF1751_v1c23680
ko:K16345	pfw:PF1751_v1c23740
ko:K03406	pfw:PF1751_v1c23750
ko:K00032	pfw:PF1751_v1c23760
ko:K11441	pfw:PF1751_v1c23780
ko:K02525	pfw:PF1751_v1c23800
ko:K18138	pfw:PF1751_v1c23820
ko:K03585	pfw:PF1751_v1c23830
ko:K02484	pfw:PF1751_v1c23850
ko:K03088	pfw:PF1751_v1c23870
ko:K07090	pfw:PF1751_v1c23900
ko:K17228	pfw:PF1751_v1c23920
ko:K03284	pfw:PF1751_v1c23950
ko:K01265	pfw:PF1751_v1c23960
ko:K02051	pfw:PF1751_v1c31630
ko:K17321	pfw:PF1751_v1c31660
ko:K17323	pfw:PF1751_v1c31680
ko:K17322	pfw:PF1751_v1c31690
ko:K17325	pfw:PF1751_v1c31700
ko:K17324	pfw:PF1751_v1c31710
ko:K07165	pfw:PF1751_v1c31730
ko:K03088	pfw:PF1751_v1c31740
ko:K02014	pfw:PF1751_v1c31750
ko:K07345	pfw:PF1751_v1c31810
ko:K00075	pfw:PF1751_v1c31830
ko:K01104	pfw:PF1751_v1c31840
ko:K00979	pfw:PF1751_v1c31850
ko:K09791	pfw:PF1751_v1c31860
ko:K00912	pfw:PF1751_v1c31870
ko:K03559	pfw:PF1751_v1c31880
ko:K03561	pfw:PF1751_v1c31890
ko:K02238	pfw:PF1751_v1c31900
ko:K09928	pfw:PF1751_v1c31910
ko:K07678	pfw:PF1751_v1c31940
ko:K03778	pfw:PF1751_v1c31950
ko:K03668	pfw:PF1751_v1c31970
ko:K00537	pfw:PF1751_v1c31990
ko:K03809	pfw:PF1751_v1c32000
ko:K14058	pfw:PF1751_v1c32030
ko:K02742	pfw:PF1751_v1c32050
ko:K07235	pfw:PF1751_v1c32070
ko:K07236	pfw:PF1751_v1c32080
ko:K07237	pfw:PF1751_v1c32090
ko:K11179	pfw:PF1751_v1c32100
ko:K07393	pfw:PF1751_v1c32120
ko:K00854	pfw:PF1751_v1c34550
ko:K00008	pfw:PF1751_v1c34560
ko:K10440	pfw:PF1751_v1c34570
ko:K10441	pfw:PF1751_v1c34580
ko:K10439	pfw:PF1751_v1c34590
ko:K02004	pfw:PF1751_v1c34660
ko:K02003	pfw:PF1751_v1c34670
ko:K07264	pfw:PF1751_v1c34690
ko:K01990	pfw:PF1751_v1c34700
ko:K01992	pfw:PF1751_v1c34710
ko:K07023	pfw:PF1751_v1c34750
ko:K02508	pfw:PF1751_v1c34770
ko:K05921	pfw:PF1751_v1c34780
ko:K05921	pfw:PF1751_v1c34790
ko:K00836	pfw:PF1751_v1c38740
ko:K04084	pfw:PF1751_v1c38780
ko:K03805	pfw:PF1751_v1c38800
ko:K03088	pfw:PF1751_v1c38840
ko:K13774	pfw:PF1751_v1c38880
ko:K13778	pfw:PF1751_v1c38890
ko:K11731	pfw:PF1751_v1c38900
ko:K13779	pfw:PF1751_v1c38910
ko:K13777	pfw:PF1751_v1c38920
ko:K09913	pfw:PF1751_v1c38940
ko:K07140	pfw:PF1751_v1c38950
ko:K03415	pfw:PF1751_v1c38960
ko:K18968	pfw:PF1751_v1c42860
ko:K03406	pfw:PF1751_v1c42870
ko:K01126	pfw:PF1751_v1c42930
ko:K16074	pfw:PF1751_v1c42970
ko:K03306	pfw:PF1751_v1c42980
ko:K07160	pfw:PF1751_v1c43010
ko:K03088	pfw:PF1751_v1c43070
ko:K06969	pfw:PF1751_v1c46970
ko:K04065	pfw:PF1751_v1c46990
ko:K00962	pfw:PF1751_v1c47000
ko:K02956	pfw:PF1751_v1c47010
ko:K03177	pfw:PF1751_v1c47020
ko:K02834	pfw:PF1751_v1c47030
ko:K02519	pfw:PF1751_v1c47040
ko:K02600	pfw:PF1751_v1c47050
ko:K09748	pfw:PF1751_v1c47060
ko:K01803	pfw:PF1751_v1c47070
ko:K03431	pfw:PF1751_v1c47080
ko:K00796	pfw:PF1751_v1c47090
ko:K03798	pfw:PF1751_v1c47100
ko:K02427	pfw:PF1751_v1c47110
ko:K07574	pfw:PF1751_v1c47120
ko:K03624	pfw:PF1751_v1c47140
ko:K01955	pfw:PF1751_v1c47150
ko:K01956	pfw:PF1751_v1c47160
ko:K00215	pfw:PF1751_v1c47170
ko:K03686	pfw:PF1751_v1c47180
ko:K04043	pfw:PF1751_v1c47190
ko:K03687	pfw:PF1751_v1c47200
ko:K02000	pfw:PF1751_v1c51060
ko:K02168	pfw:PF1751_v1c51070
ko:K02167	pfw:PF1751_v1c51080
ko:K18100	pfw:PF1751_v1c51130
ko:K05591	pfw:PF1751_v1c51150
ko:K07007	pfw:PF1751_v1c51160
ko:K02030	pfw:PF1751_v1c51180
ko:K02348	pfw:PF1751_v1c51190
ko:K07043	pfw:PF1751_v1c51210
ko:K01624	pfw:PF1751_v1c51240
ko:K00927	pfw:PF1751_v1c51270
ko:K03472	pfw:PF1751_v1c51280
ko:K00615	pfw:PF1751_v1c51290
ko:K00789	pfw:PF1751_v1c51310
ko:K00995	pfw:PF1751_v1c55190
ko:K00981	pfw:PF1751_v1c55240
ko:K03719	pfw:PF1751_v1c55250
ko:K06894	pfw:PF1751_v1c55270
ko:K05367	pfw:PF1751_v1c55280
ko:K00820	pfw:PF1751_v1c55300
ko:K04042	pfw:PF1751_v1c55320
ko:K02114	pfw:PF1751_v1c55330
ko:K02112	pfw:PF1751_v1c55340
ko:K02115	pfw:PF1751_v1c55350
ko:K02111	pfw:PF1751_v1c55360
ko:K02113	pfw:PF1751_v1c55370
ko:K02109	pfw:PF1751_v1c55380
ko:K02110	pfw:PF1751_v1c55390
ko:K02108	pfw:PF1751_v1c55400
ko:K02116	pfw:PF1751_v1c55410
ko:K03497	pfw:PF1751_v1c55420
ko:K03496	pfw:PF1751_v1c55430
ko:K03501	pfw:PF1751_v1c55440
ko:K03424	pfw:PF1751_v1c07710
ko:K03435	pfw:PF1751_v1c07720
ko:K02768	pfw:PF1751_v1c07730
ko:K08483	pfw:PF1751_v1c07730
ko:K11183	pfw:PF1751_v1c07730
ko:K00882	pfw:PF1751_v1c07740
ko:K02769	pfw:PF1751_v1c07750
ko:K02770	pfw:PF1751_v1c07750
ko:K01113	pfw:PF1751_v1c07760
ko:K00380	pfw:PF1751_v1c07770
ko:K16090	pfw:PF1751_v1c07780
ko:K07126	pfw:PF1751_v1c07800
ko:K01581	pfw:PF1751_v1c07810
ko:K05847	pfw:PF1751_v1c07820
ko:K05846	pfw:PF1751_v1c07830
ko:K05845	pfw:PF1751_v1c07840
ko:K05846	pfw:PF1751_v1c07850
ko:K02837	pfw:PF1751_v1c07860
ko:K12372	pfw:PF1751_v1c07890
ko:K12371	pfw:PF1751_v1c07900
ko:K12370	pfw:PF1751_v1c07910
ko:K12369	pfw:PF1751_v1c07920
ko:K12368	pfw:PF1751_v1c07930
ko:K12368	pfw:PF1751_v1c07950
ko:K12368	pfw:PF1751_v1c07960
ko:K12368	pfw:PF1751_v1c07970
ko:K15011	pfw:PF1751_v1c07990
ko:K15012	pfw:PF1751_v1c08000
ko:K02471	pfw:PF1751_v1c08010
ko:K09908	pfw:PF1751_v1c08020
ko:K07018	pfw:PF1751_v1c08030
ko:K01867	pfw:PF1751_v1c08040
ko:K06916	pfw:PF1751_v1c08050
ko:K02871	pfw:PF1751_v1c08090
ko:K02996	pfw:PF1751_v1c08100
ko:K00411	pfw:PF1751_v1c08110
ko:K00412	pfw:PF1751_v1c08120
ko:K00413	pfw:PF1751_v1c08130
ko:K03599	pfw:PF1751_v1c08140
ko:K03600	pfw:PF1751_v1c08150
ko:K18457	pfw:PF1751_v1c15970
ko:K07782	pfw:PF1751_v1c15980
ko:K01259	pfw:PF1751_v1c15990
ko:K02033	pfw:PF1751_v1c16000
ko:K02034	pfw:PF1751_v1c16010
ko:K02035	pfw:PF1751_v1c16040
ko:K00568	pfw:PF1751_v1c16070
ko:K08963	pfw:PF1751_v1c16090
ko:K02469	pfw:PF1751_v1c16100
ko:K00831	pfw:PF1751_v1c16120
ko:K14170	pfw:PF1751_v1c16130
ko:K00817	pfw:PF1751_v1c16140
ko:K00945	pfw:PF1751_v1c16160
ko:K02945	pfw:PF1751_v1c16170
ko:K05788	pfw:PF1751_v1c16190
ko:K17716	pfw:PF1751_v1c16210
ko:K19068	pfw:PF1751_v1c16220
ko:K01791	pfw:PF1751_v1c16230
ko:K13007	pfw:PF1751_v1c16250
ko:K12990	pfw:PF1751_v1c16280
ko:K01652	pfw:PF1751_v1c16330
ko:K12452	pfw:PF1751_v1c16340
ko:K01709	pfw:PF1751_v1c16350
ko:K00978	pfw:PF1751_v1c16360
ko:K00523	pfw:PF1751_v1c16370
ko:K02237	pfw:PF1751_v1c16380
ko:K09967	pfw:PF1751_v1c16410
ko:K01754	pfw:PF1751_v1c23980
ko:K00847	pfw:PF1751_v1c24020
ko:K00854	pfw:PF1751_v1c24030
ko:K00045	pfw:PF1751_v1c24040
ko:K10111	pfw:PF1751_v1c24050
ko:K10229	pfw:PF1751_v1c24060
ko:K10228	pfw:PF1751_v1c24070
ko:K10227	pfw:PF1751_v1c24080
ko:K11065	pfw:PF1751_v1c24120
ko:K07799	pfw:PF1751_v1c24130
ko:K07788	pfw:PF1751_v1c24140
ko:K07789	pfw:PF1751_v1c24150
ko:K07507	pfw:PF1751_v1c24230
ko:K16147	pfw:PF1751_v1c24250
ko:K05343	pfw:PF1751_v1c24260
ko:K00700	pfw:PF1751_v1c24270
ko:K00355	pfw:PF1751_v1c24350
ko:K00800	pfw:PF1751_v1c24370
ko:K07039	pfw:PF1751_v1c24380
ko:K01692	pfw:PF1751_v1c24400
ko:K03426	pfw:PF1751_v1c24410
ko:K07090	pfw:PF1751_v1c24420
ko:K01004	pfw:PF1751_v1c24430
ko:K06969	pfw:PF1751_v1c24440
ko:K00163	pfw:PF1751_v1c24450
ko:K06938	pfw:PF1751_v1c24460
ko:K02302	pfw:PF1751_v1c32130
ko:K01875	pfw:PF1751_v1c32140
ko:K06199	pfw:PF1751_v1c32150
ko:K07478	pfw:PF1751_v1c32160
ko:K03634	pfw:PF1751_v1c32170
ko:K03466	pfw:PF1751_v1c32180
ko:K00684	pfw:PF1751_v1c32190
ko:K02518	pfw:PF1751_v1c32210
ko:K03694	pfw:PF1751_v1c32220
ko:K06891	pfw:PF1751_v1c32230
ko:K03704	pfw:PF1751_v1c32240
ko:K00031	pfw:PF1751_v1c32250
ko:K00031	pfw:PF1751_v1c32260
ko:K00566	pfw:PF1751_v1c32280
ko:K07153	pfw:PF1751_v1c32290
ko:K01756	pfw:PF1751_v1c32300
ko:K18850	pfw:PF1751_v1c32310
ko:K01637	pfw:PF1751_v1c32350
ko:K00330	pfw:PF1751_v1c32360
ko:K00331	pfw:PF1751_v1c32370
ko:K13378	pfw:PF1751_v1c32380
ko:K00334	pfw:PF1751_v1c32390
ko:K00335	pfw:PF1751_v1c32400
ko:K00336	pfw:PF1751_v1c32410
ko:K00337	pfw:PF1751_v1c32420
ko:K00338	pfw:PF1751_v1c32430
ko:K00339	pfw:PF1751_v1c32440
ko:K00340	pfw:PF1751_v1c32450
ko:K00341	pfw:PF1751_v1c32460
ko:K00342	pfw:PF1751_v1c32470
ko:K00343	pfw:PF1751_v1c32480
ko:K07726	pfw:PF1751_v1c32500
ko:K08169	pfw:PF1751_v1c32580
ko:K09930	pfw:PF1751_v1c32610
ko:K00151	pfw:PF1751_v1c34800
ko:K00455	pfw:PF1751_v1c34810
ko:K01826	pfw:PF1751_v1c34820
ko:K02509	pfw:PF1751_v1c34840
ko:K02510	pfw:PF1751_v1c34850
ko:K09471	pfw:PF1751_v1c34870
ko:K06995	pfw:PF1751_v1c34880
ko:K00059	pfw:PF1751_v1c34910
ko:K07006	pfw:PF1751_v1c35020
ko:K00799	pfw:PF1751_v1c35050
ko:K02069	pfw:PF1751_v1c35060
ko:K03408	pfw:PF1751_v1c39020
ko:K03408	pfw:PF1751_v1c39030
ko:K03496	pfw:PF1751_v1c39040
ko:K02557	pfw:PF1751_v1c39050
ko:K02556	pfw:PF1751_v1c39060
ko:K03412	pfw:PF1751_v1c39070
ko:K03407	pfw:PF1751_v1c39080
ko:K03414	pfw:PF1751_v1c39090
ko:K03413	pfw:PF1751_v1c39100
ko:K02405	pfw:PF1751_v1c39110
ko:K04562	pfw:PF1751_v1c39120
ko:K02404	pfw:PF1751_v1c39130
ko:K02400	pfw:PF1751_v1c39140
ko:K03704	pfw:PF1751_v1c39150
ko:K02401	pfw:PF1751_v1c39160
ko:K02421	pfw:PF1751_v1c39170
ko:K02420	pfw:PF1751_v1c39180
ko:K02419	pfw:PF1751_v1c39190
ko:K02418	pfw:PF1751_v1c39200
ko:K02417	pfw:PF1751_v1c39210
ko:K02416	pfw:PF1751_v1c39220
ko:K13653	pfw:PF1751_v1c43120
ko:K14261	pfw:PF1751_v1c43130
ko:K03299	pfw:PF1751_v1c43140
ko:K00851	pfw:PF1751_v1c43150
ko:K06145	pfw:PF1751_v1c43160
ko:K00799	pfw:PF1751_v1c43180
ko:K08369	pfw:PF1751_v1c43200
ko:K03406	pfw:PF1751_v1c43220
ko:K00799	pfw:PF1751_v1c43240
ko:K01462	pfw:PF1751_v1c43270
ko:K07058	pfw:PF1751_v1c43280
ko:K01897	pfw:PF1751_v1c43310
ko:K01897	pfw:PF1751_v1c43320
ko:K09954	pfw:PF1751_v1c43360
ko:K03631	pfw:PF1751_v1c47210
ko:K03711	pfw:PF1751_v1c47220
ko:K06186	pfw:PF1751_v1c47230
ko:K09801	pfw:PF1751_v1c47240
ko:K03664	pfw:PF1751_v1c47260
ko:K03303	pfw:PF1751_v1c47280
ko:K18930	pfw:PF1751_v1c47290
ko:K00657	pfw:PF1751_v1c47360
ko:K04782	pfw:PF1751_v1c47450
ko:K01972	pfw:PF1751_v1c51330
ko:K08304	pfw:PF1751_v1c51360
ko:K03316	pfw:PF1751_v1c51380
ko:K01251	pfw:PF1751_v1c51420
ko:K00297	pfw:PF1751_v1c51430
ko:K02030	pfw:PF1751_v1c51450
ko:K11927	pfw:PF1751_v1c51460
ko:K00833	pfw:PF1751_v1c51490
ko:K09761	pfw:PF1751_v1c51500
ko:K10001	pfw:PF1751_v1c51510
ko:K00285	pfw:PF1751_v1c51530
ko:K11068	pfw:PF1751_v1c51550
ko:K13928	pfw:PF1751_v1c51560
ko:K13935	pfw:PF1751_v1c51590
ko:K03495	pfw:PF1751_v1c55450
ko:K03088	pfw:PF1751_v1c55460
ko:K07165	pfw:PF1751_v1c55470
ko:K02014	pfw:PF1751_v1c55480
ko:K03650	pfw:PF1751_v1c55490
ko:K03217	pfw:PF1751_v1c55500
ko:K01139	pfw:PF1751_v1c54080
ko:K22468	pfw:PF1751_v1c27850
ko:K01246	pfw:PF1751_v1c00120
ko:K02517	pfw:PF1751_v1c00130
ko:K03499	pfw:PF1751_v1c00150
ko:K03500	pfw:PF1751_v1c00160
ko:K00604	pfw:PF1751_v1c00170
ko:K01462	pfw:PF1751_v1c00180
ko:K04096	pfw:PF1751_v1c00200
ko:K07566	pfw:PF1751_v1c00210
ko:K00228	pfw:PF1751_v1c00230
ko:K00014	pfw:PF1751_v1c00240
ko:K03321	pfw:PF1751_v1c00250
ko:K02002	pfw:PF1751_v1c00260
ko:K01133	pfw:PF1751_v1c00270
