ko:K07497	setu:STU288_14015
ko:K18138	setu:STU288_12005
ko:K19092	setu:STU288_14950
ko:K22507	setu:STU288_14605
ko:K18923	setu:STU288_04075
ko:K10906	setu:STU288_09555
ko:K19504	setu:STU288_22770
ko:K06148	setu:STU288_21395
ko:K03297	setu:STU288_04615
ko:K19595	setu:STU288_12630
ko:K04753	setu:STU288_16065
ko:K02485	setu:STU288_05140
ko:K01990	setu:STU288_10325
ko:K09690	setu:STU288_10790
ko:K02345	setu:STU288_05775
ko:K08151	setu:STU288_2p00065
ko:K04095	setu:STU288_22560
ko:K03111	setu:STU288_21365
ko:K02032	setu:STU288_02620
ko:K18825	setu:STU288_1p00720
ko:K00526	setu:STU288_07765
ko:K03111	setu:STU288_1p00575
ko:K18968	setu:STU288_12465
ko:K06078	setu:STU288_03200
ko:K06078	setu:STU288_03205
ko:K01259	setu:STU288_03220
ko:K08357	setu:STU288_03235
ko:K08359	setu:STU288_03240
ko:K08358	setu:STU288_03245
ko:K13040	setu:STU288_03250
ko:K13041	setu:STU288_03255
ko:K14979	setu:STU288_03275
ko:K14978	setu:STU288_03280
ko:K07258	setu:STU288_06700
ko:K08353	setu:STU288_06710
ko:K08352	setu:STU288_06715
ko:K00033	setu:STU288_06790
ko:K12992	setu:STU288_06810
ko:K03606	setu:STU288_06900
ko:K03560	setu:STU288_10670
ko:K00241	setu:STU288_10750
ko:K07120	setu:STU288_10760
ko:K05522	setu:STU288_10765
ko:K01854	setu:STU288_10805
ko:K01788	setu:STU288_16895
ko:K01639	setu:STU288_16905
ko:K01572	setu:STU288_16965
ko:K00090	setu:STU288_18420
ko:K03830	setu:STU288_18455
ko:K00854	setu:STU288_18490
ko:K03796	setu:STU288_18505
ko:K01176	setu:STU288_18510
ko:K02798	setu:STU288_18615
ko:K02799	setu:STU288_18615
ko:K02800	setu:STU288_18615
ko:K03498	setu:STU288_20095
ko:K00230	setu:STU288_20100
ko:K00127	setu:STU288_20310
ko:K00124	setu:STU288_20315
ko:K01119	setu:STU288_22090
ko:K01082	setu:STU288_22095
ko:K07304	setu:STU288_22115
ko:K01507	setu:STU288_22145
ko:K00010	setu:STU288_22195
ko:K00010	setu:STU288_22230
ko:K01226	setu:STU288_22330
