ko:K00932	ecz:ECS88_3508
ko:K02495	ecz:ECS88_4316
ko:K01760	ecz:ECS88_3388
ko:K06133	ecz:ECS88_3878
ko:K11733	ecz:ECS88_2304
ko:K07229	ecz:ECS88_3467
ko:K11746	ecz:ECS88_0049
ko:K05812	ecz:ECS88_2758
ko:K03765	ecz:ECS88_4637
ko:K11734	ecz:ECS88_0114
ko:K18919	ecz:ECS88_0016
ko:K13895	ecz:ECS88_2328
ko:K01961	ecz:ECS88_3632
ko:K18838	ecz:ECS88_3314
ko:K18138	ecz:ECS88_0459
ko:K01524	ecz:ECS88_2674
ko:K15581	ecz:ECS88_1312
ko:K18922	ecz:ECS88_0620
ko:K11740	ecz:ECS88_0605
ko:K01270	ecz:ECS88_0272
ko:K15555	ecz:ECS88_0961
ko:K02566	ecz:ECS88_0700
ko:K11754	ecz:ECS88_2462
ko:K00113	ecz:ECS88_2390
ko:K12265	ecz:ECS88_2974
ko:K02574	ecz:ECS88_2351
ko:K02778	ecz:ECS88_1115
ko:K02779	ecz:ECS88_1115
ko:K12113	ecz:ECS88_3472
ko:K12147	ecz:ECS88_1066
ko:K12148	ecz:ECS88_1074
ko:K12149	ecz:ECS88_1075
ko:K07304	ecz:ECS88_4812
ko:K12111	ecz:ECS88_3473
ko:K01079	ecz:ECS88_5069
ko:K02483	ecz:ECS88_2021
ko:K00632	ecz:ECS88_2489
ko:K12289	ecz:ECS88_3779
ko:K02654	ecz:ECS88_3347
ko:K09810	ecz:ECS88_1131
ko:K12266	ecz:ECS88_2972
ko:K11991	ecz:ECS88_2731
ko:K00703	ecz:ECS88_3827
ko:K12264	ecz:ECS88_2973
ko:K12340	ecz:ECS88_3429
ko:K03533	ecz:ECS88_1013
ko:K11085	ecz:ECS88_0942
ko:K07307	ecz:ECS88_0926
ko:K12299	ecz:ECS88_3515
ko:K11892	ecz:ECS88_0238
ko:K00832	ecz:ECS88_4533
ko:K01628	ecz:ECS88_3069
ko:K01096	ecz:ECS88_1418
ko:K11931	ecz:ECS88_1039
ko:K11937	ecz:ECS88_1037
ko:K08348	ecz:ECS88_1566
ko:K01784	ecz:ECS88_0775
ko:K04781	ecz:ECS88_2032
ko:K04785	ecz:ECS88_2039
ko:K00575	ecz:ECS88_1942
ko:K04091	ecz:ECS88_0963
ko:K00299	ecz:ECS88_0965
ko:K11941	ecz:ECS88_1059
ko:K21905	ecz:ECS88_3929
ko:K01485	ecz:ECS88_0348
ko:K03810	ecz:ECS88_1082
ko:K07251	ecz:ECS88_1120
ko:K01835	ecz:ECS88_0725
ko:K01840	ecz:ECS88_2145
ko:K12262	ecz:ECS88_1513
ko:K00058	ecz:ECS88_3192
ko:K01023	ecz:ECS88_3432
ko:K05835	ecz:ECS88_4251
ko:K00029	ecz:ECS88_2642
ko:K08161	ecz:ECS88_1067
ko:K03711	ecz:ECS88_0719
ko:K03636	ecz:ECS88_0801
ko:K11900	ecz:ECS88_3084
ko:K11896	ecz:ECS88_0243
ko:K07592	ecz:ECS88_3511
ko:K03972	ecz:ECS88_1449
ko:K06934	ecz:ECS88_3204
ko:K11750	ecz:ECS88_0274
ko:K01420	ecz:ECS88_1476
ko:K02824	ecz:ECS88_2668
ko:K10124	ecz:ECS88_4142
ko:K11747	ecz:ECS88_3739
ko:K11903	ecz:ECS88_0247
ko:K11744	ecz:ECS88_1646
ko:K09251	ecz:ECS88_3470
ko:K02436	ecz:ECS88_2232
ko:K08322	ecz:ECS88_1625
ko:K04775	ecz:ECS88_1643
ko:K04334	ecz:ECS88_1054
ko:K00262	ecz:ECS88_1812
ko:K03208	ecz:ECS88_2147
ko:K04335	ecz:ECS88_1053
ko:K07470	ecz:ECS88_2108
ko:K08314	ecz:ECS88_4402
ko:K03719	ecz:ECS88_0919
ko:K11742	ecz:ECS88_1644
ko:K11743	ecz:ECS88_1645
ko:K06889	ecz:ECS88_4776
ko:K04333	ecz:ECS88_1052
ko:K08682	ecz:ECS88_0399
ko:K07782	ecz:ECS88_1970
ko:K07685	ecz:ECS88_2340
ko:K02200	ecz:ECS88_2341
ko:K02199	ecz:ECS88_2342
ko:K02198	ecz:ECS88_2343
ko:K02197	ecz:ECS88_2344
ko:K02196	ecz:ECS88_2345
ko:K02195	ecz:ECS88_2346
ko:K02194	ecz:ECS88_2347
ko:K02193	ecz:ECS88_2348
ko:K02569	ecz:ECS88_2349
ko:K02568	ecz:ECS88_2350
ko:K02573	ecz:ECS88_2352
ko:K02567	ecz:ECS88_2353
ko:K02570	ecz:ECS88_2354
ko:K02572	ecz:ECS88_2355
ko:K08276	ecz:ECS88_2357
ko:K00116	ecz:ECS88_2358
ko:K03185	ecz:ECS88_3187
ko:K01262	ecz:ECS88_3188
ko:K09895	ecz:ECS88_3189
ko:K09888	ecz:ECS88_3190
ko:K01807	ecz:ECS88_3193
ko:K05596	ecz:ECS88_3195
ko:K09807	ecz:ECS88_3198
ko:K03442	ecz:ECS88_3200
ko:K01624	ecz:ECS88_3201
ko:K00927	ecz:ECS88_3202
ko:K00615	ecz:ECS88_3217
ko:K07387	ecz:ECS88_3218
ko:K01480	ecz:ECS88_3219
ko:K01585	ecz:ECS88_3221
ko:K00789	ecz:ECS88_3224
ko:K02742	ecz:ECS88_3226
ko:K09761	ecz:ECS88_3228
ko:K01920	ecz:ECS88_3229
ko:K07735	ecz:ECS88_3230
ko:K07447	ecz:ECS88_3231
ko:K02669	ecz:ECS88_3232
ko:K06997	ecz:ECS88_3233
