ko:K08744	mbk:K60_019080
ko:K07029	mbk:K60_023370
ko:K07016	mbk:K60_029210
ko:K01992	mbk:K60_013070
ko:K01992	mbk:K60_015630
ko:K01992	mbk:K60_030420
ko:K01992	mbk:K60_030430
ko:K16786	mbk:K60_024170
ko:K16787	mbk:K60_024170
ko:K12349	mbk:K60_007140
ko:K15371	mbk:K60_025720
ko:K01006	mbk:K60_012130
ko:K08884	mbk:K60_030170
ko:K22476	mbk:K60_004520
ko:K02036	mbk:K60_009990
ko:K03574	mbk:K60_012520
ko:K07171	mbk:K60_004820
ko:K03297	mbk:K60_031810
ko:K02554	mbk:K60_036740
ko:K21431	mbk:K60_009110
ko:K22316	mbk:K60_023120
ko:K00652	mbk:K60_000360
ko:K02004	mbk:K60_000810
ko:K01243	mbk:K60_001030
ko:K12949	mbk:K60_001040
ko:K07031	mbk:K60_001280
ko:K01577	mbk:K60_001320
ko:K16146	mbk:K60_001420
ko:K07386	mbk:K60_002190
ko:K06860	mbk:K60_002280
ko:K01596	mbk:K60_002320
ko:K07048	mbk:K60_002510
ko:K02351	mbk:K60_001140
ko:K07245	mbk:K60_001140
ko:K12949	mbk:K60_001150
ko:K12955	mbk:K60_001190
ko:K07304	mbk:K60_001530
ko:K00135	mbk:K60_002550
ko:K16648	mbk:K60_002570
ko:K00059	mbk:K60_002640
ko:K00626	mbk:K60_002650
ko:K00666	mbk:K60_001850
ko:K02067	mbk:K60_001880
ko:K02067	mbk:K60_001890
ko:K02067	mbk:K60_001900
ko:K02067	mbk:K60_001920
ko:K02067	mbk:K60_001930
ko:K01104	mbk:K60_001700
ko:K01719	mbk:K60_002810
ko:K01469	mbk:K60_002870
ko:K00666	mbk:K60_002910
ko:K14743	mbk:K60_003130
ko:K01664	mbk:K60_000160
ko:K09118	mbk:K60_000700
ko:K07171	mbk:K60_011870
ko:K12429	mbk:K60_012830
ko:K14728	mbk:K60_030570
ko:K18956	mbk:K60_000250
ko:K18957	mbk:K60_040120
ko:K18851	mbk:K60_001440
ko:K18958	mbk:K60_033220
ko:K00567	mbk:K60_014140
ko:K07503	mbk:K60_014190
ko:K00626	mbk:K60_014220
ko:K00700	mbk:K60_014250
ko:K02428	mbk:K60_014400
ko:K01909	mbk:K60_014440
ko:K14698	mbk:K60_014470
ko:K07045	mbk:K60_036450
ko:K18955	mbk:K60_033890
ko:K14699	mbk:K60_014480
ko:K00059	mbk:K60_014490
ko:K14954	mbk:K60_015140
ko:K09762	mbk:K60_015260
ko:K00616	mbk:K60_015540
ko:K14339	mbk:K60_015650
ko:K04488	mbk:K60_015710
ko:K12951	mbk:K60_015750
ko:K01692	mbk:K60_015780
ko:K07114	mbk:K60_015880
ko:K11610	mbk:K60_015900
ko:K11611	mbk:K60_015910
ko:K00652	mbk:K60_016680
ko:K01814	mbk:K60_016860
ko:K01847	mbk:K60_016010
ko:K01817	mbk:K60_016860
ko:K01092	mbk:K60_016870
ko:K01496	mbk:K60_016890
ko:K16012	mbk:K60_017030
ko:K16013	mbk:K60_017040
ko:K01847	mbk:K60_016020
ko:K09146	mbk:K60_017150
ko:K14340	mbk:K60_017180
ko:K07588	mbk:K60_016050
ko:K06994	mbk:K60_016210
ko:K12433	mbk:K60_016260
ko:K01424	mbk:K60_016370
ko:K00244	mbk:K60_016510
ko:K06994	mbk:K60_016550
ko:K01692	mbk:K60_007180
ko:K01692	mbk:K60_006720
ko:K00845	mbk:K60_006920
ko:K07052	mbk:K60_007010
ko:K03932	mbk:K60_007160
ko:K06994	mbk:K60_007210
ko:K00101	mbk:K60_007400
ko:K00058	mbk:K60_007760
ko:K01692	mbk:K60_007200
ko:K00854	mbk:K60_007770
ko:K00939	mbk:K60_007810
ko:K00121	mbk:K60_008140
ko:K05917	mbk:K60_008170
ko:K01607	mbk:K60_008240
ko:K06986	mbk:K60_008380
ko:K07077	mbk:K60_008390
ko:K07052	mbk:K60_008580
ko:K02619	mbk:K60_008660
ko:K01011	mbk:K60_008690
ko:K15520	mbk:K60_008730
ko:K01259	mbk:K60_008970
ko:K02480	mbk:K60_009020
ko:K01796	mbk:K60_009130
ko:K00626	mbk:K60_009170
ko:K01782	mbk:K60_009180
ko:K10843	mbk:K60_009190
ko:K03635	mbk:K60_009240
ko:K04750	mbk:K60_009460
ko:K00598	mbk:K60_003160
ko:K13640	mbk:K60_003730
ko:K07161	mbk:K60_003880
ko:K03518	mbk:K60_003940
ko:K03519	mbk:K60_003950
ko:K14949	mbk:K60_004330
ko:K03153	mbk:K60_004380
ko:K06994	mbk:K60_004740
ko:K01692	mbk:K60_004810
ko:K01322	mbk:K60_004830
ko:K16167	mbk:K60_017450
ko:K16167	mbk:K60_017500
ko:K01515	mbk:K60_017850
ko:K04763	mbk:K60_017860
ko:K00545	mbk:K60_017890
ko:K01823	mbk:K60_018340
ko:K00666	mbk:K60_018390
ko:K14335	mbk:K60_018460
ko:K00387	mbk:K60_018470
ko:K06994	mbk:K60_018480
ko:K14743	mbk:K60_018810
ko:K00088	mbk:K60_019290
ko:K00033	mbk:K60_019300
ko:K02017	mbk:K60_019450
ko:K13953	mbk:K60_019490
ko:K07052	mbk:K60_019500
ko:K00626	mbk:K60_019540
ko:K00101	mbk:K60_019590
ko:K00626	mbk:K60_009770
ko:K00076	mbk:K60_009920
ko:K07655	mbk:K60_009630
ko:K07671	mbk:K60_009640
ko:K10563	mbk:K60_010110
ko:K03405	mbk:K60_010260
ko:K01692	mbk:K60_010410
ko:K01965	mbk:K60_010430
ko:K07669	mbk:K60_010510
ko:K07653	mbk:K60_010520
ko:K08372	mbk:K60_010530
ko:K02004	mbk:K60_010570
ko:K00805	mbk:K60_010590
ko:K01962	mbk:K60_009650
ko:K01963	mbk:K60_009650
ko:K01692	mbk:K60_009660
ko:K11159	mbk:K60_009760
ko:K16645	mbk:K60_005020
ko:K01619	mbk:K60_005050
ko:K15521	mbk:K60_005130
ko:K07768	mbk:K60_005170
ko:K07776	mbk:K60_005180
ko:K01784	mbk:K60_005310
ko:K06994	mbk:K60_005370
ko:K06196	mbk:K60_005580
ko:K11608	mbk:K60_005660
ko:K00772	mbk:K60_005680
ko:K09931	mbk:K60_005730
ko:K00666	mbk:K60_005850
ko:K02549	mbk:K60_005870
ko:K12583	mbk:K60_005910
ko:K00805	mbk:K60_005960
ko:K02067	mbk:K60_006260
ko:K02067	mbk:K60_006270
ko:K02067	mbk:K60_006280
ko:K02067	mbk:K60_006290
ko:K02067	mbk:K60_006300
ko:K02067	mbk:K60_006310
ko:K01478	mbk:K60_010730
ko:K00666	mbk:K60_010850
ko:K02428	mbk:K60_010930
ko:K09009	mbk:K60_010970
ko:K07656	mbk:K60_011070
ko:K07672	mbk:K60_011080
ko:K00666	mbk:K60_011370
ko:K01692	mbk:K60_011500
ko:K01692	mbk:K60_011510
ko:K00626	mbk:K60_011540
