ko:K06147	tmm:Tmari_0285
ko:K19114	tmm:Tmari_1812
ko:K06881	tmm:Tmari_1603
ko:K19221	tmm:Tmari_1472
ko:K02031	tmm:Tmari_0495
ko:K00196	tmm:Tmari_0393
ko:K01791	tmm:Tmari_0610
ko:K01791	tmm:Tmari_1038
ko:K01190	tmm:Tmari_1200
ko:K02034	tmm:Tmari_0499
ko:K04078	tmm:Tmari_0501
ko:K04077	tmm:Tmari_0502
ko:K07478	tmm:Tmari_0504
ko:K02413	tmm:Tmari_0508
ko:K07391	tmm:Tmari_0509
ko:K01881	tmm:Tmari_0510
ko:K07139	tmm:Tmari_0511
ko:K00566	tmm:Tmari_0516
ko:K01419	tmm:Tmari_0517
ko:K03667	tmm:Tmari_0518
ko:K00791	tmm:Tmari_0522
ko:K03666	tmm:Tmari_0523
ko:K03665	tmm:Tmari_0524
ko:K00604	tmm:Tmari_0525
ko:K02990	tmm:Tmari_0603
ko:K02963	tmm:Tmari_0605
ko:K09125	tmm:Tmari_0608
ko:K07133	tmm:Tmari_0616
ko:K02395	tmm:Tmari_0634
ko:K01770	tmm:Tmari_0647
ko:K06168	tmm:Tmari_0653
ko:K00797	tmm:Tmari_0654
ko:K01611	tmm:Tmari_0655
ko:K06929	tmm:Tmari_1441
ko:K02528	tmm:Tmari_1443
ko:K01876	tmm:Tmari_1447
ko:K00945	tmm:Tmari_1449
ko:K03527	tmm:Tmari_1450
ko:K02945	tmm:Tmari_1451
ko:K03977	tmm:Tmari_1452
ko:K08591	tmm:Tmari_1453
ko:K03723	tmm:Tmari_1456
ko:K03086	tmm:Tmari_1457
ko:K02996	tmm:Tmari_1459
ko:K02871	tmm:Tmari_1460
ko:K02899	tmm:Tmari_1462
ko:K02888	tmm:Tmari_1464
ko:K03217	tmm:Tmari_1467
ko:K08998	tmm:Tmari_1468
ko:K03536	tmm:Tmari_1469
ko:K02914	tmm:Tmari_1470
ko:K03978	tmm:Tmari_1473
ko:K03628	tmm:Tmari_1478
ko:K02879	tmm:Tmari_1479
ko:K03040	tmm:Tmari_1480
ko:K02986	tmm:Tmari_1481
ko:K02948	tmm:Tmari_1482
ko:K02952	tmm:Tmari_1483
ko:K02919	tmm:Tmari_1484
ko:K02518	tmm:Tmari_1485
ko:K01265	tmm:Tmari_1486
ko:K03076	tmm:Tmari_1488
ko:K02876	tmm:Tmari_1489
ko:K02907	tmm:Tmari_1490
ko:K01235	tmm:Tmari_0052
