ko:K04042	cbh:CLC_3523
ko:K09127	cbh:CLC_2116
ko:K02409	cbh:CLC_2537
ko:K02004	cbh:CLC_1896
ko:K03816	cbh:CLC_0375
ko:K03816	cbh:CLC_1188
ko:K02475	cbh:CLC_0307
ko:K02476	cbh:CLC_0306
ko:K02004	cbh:CLC_0642
ko:K02340	cbh:CLC_2864
ko:K00554	cbh:CLC_2293
ko:K02860	cbh:CLC_2294
ko:K06960	cbh:CLC_2295
ko:K02959	cbh:CLC_2296
ko:K03106	cbh:CLC_2297
ko:K09787	cbh:CLC_2298
ko:K02078	cbh:CLC_2304
ko:K03621	cbh:CLC_2305
ko:K02911	cbh:CLC_2306
ko:K07040	cbh:CLC_2307
ko:K03657	cbh:CLC_1358
ko:K09758	cbh:CLC_1209
ko:K00132	cbh:CLC_2050
ko:K11358	cbh:CLC_1067
ko:K01889	cbh:CLC_3034
ko:K00111	cbh:CLC_1120
ko:K01883	cbh:CLC_3450
ko:K02189	cbh:CLC_1004
ko:K10795	cbh:CLC_2328
ko:K02343	cbh:CLC_0051
ko:K01223	cbh:CLC_0935
ko:K02478	cbh:CLC_3251
ko:K10793	cbh:CLC_2313
ko:K02878	cbh:CLC_3418
ko:K02867	cbh:CLC_3437
ko:K03624	cbh:CLC_3483
ko:K01689	cbh:CLC_0286
ko:K03075	cbh:CLC_0287
ko:K03664	cbh:CLC_0290
ko:K00230	cbh:CLC_1075
ko:K03152	cbh:CLC_1078
ko:K02015	cbh:CLC_1097
ko:K02015	cbh:CLC_1098
ko:K02013	cbh:CLC_1099
ko:K04079	cbh:CLC_1931
ko:K01226	cbh:CLC_1934
ko:K03486	cbh:CLC_1935
ko:K08302	cbh:CLC_1939
ko:K00005	cbh:CLC_1945
ko:K00759	cbh:CLC_1952
ko:K06901	cbh:CLC_1953
ko:K02782	cbh:CLC_3360
ko:K02783	cbh:CLC_3360
ko:K02412	cbh:CLC_2534
ko:K00526	cbh:CLC_2689
ko:K02016	cbh:CLC_1100
ko:K06888	cbh:CLC_1111
ko:K06897	cbh:CLC_1115
ko:K03737	cbh:CLC_1235
ko:K06603	cbh:CLC_2610
ko:K03563	cbh:CLC_2611
ko:K02397	cbh:CLC_2613
ko:K02398	cbh:CLC_2616
ko:K03408	cbh:CLC_2619
ko:K03407	cbh:CLC_2622
ko:K03408	cbh:CLC_2626
ko:K09749	cbh:CLC_2627
ko:K07462	cbh:CLC_2638
ko:K01151	cbh:CLC_2639
ko:K03152	cbh:CLC_2643
ko:K06911	cbh:CLC_0913
ko:K06966	cbh:CLC_0918
ko:K01462	cbh:CLC_0929
ko:K00375	cbh:CLC_0930
ko:K03488	cbh:CLC_0933
ko:K10536	cbh:CLC_0946
ko:K02231	cbh:CLC_0964
ko:K02232	cbh:CLC_0968
ko:K02227	cbh:CLC_0969
ko:K00756	cbh:CLC_1806
ko:K00616	cbh:CLC_2097
ko:K02526	cbh:CLC_0305
ko:K00954	cbh:CLC_2348
ko:K03660	cbh:CLC_3245
ko:K05936	cbh:CLC_1003
ko:K05895	cbh:CLC_1006
ko:K02020	cbh:CLC_1017
ko:K02013	cbh:CLC_1026
ko:K02015	cbh:CLC_1027
ko:K02016	cbh:CLC_1028
ko:K00005	cbh:CLC_1030
