ko:K02028	suo:SSU12_0456
ko:K06148	suo:SSU12_0976
ko:K19689	suo:SSU12_1887
ko:K10040	suo:SSU12_1260
ko:K03790	suo:SSU12_1093
ko:K03088	suo:SSU12_0887
ko:K13677	suo:SSU12_1265
ko:K10041	suo:SSU12_1257
ko:K02424	suo:SSU12_2002
ko:K10039	suo:SSU12_1258
ko:K10009	suo:SSU12_2001
ko:K03621	suo:SSU12_0025
ko:K02078	suo:SSU12_0026
ko:K01923	suo:SSU12_0027
ko:K01952	suo:SSU12_0028
ko:K00764	suo:SSU12_0029
ko:K01933	suo:SSU12_0030
ko:K11175	suo:SSU12_0031
ko:K00602	suo:SSU12_0032
ko:K01945	suo:SSU12_0033
ko:K01588	suo:SSU12_0034
ko:K01589	suo:SSU12_0035
ko:K01756	suo:SSU12_0038
ko:K03551	suo:SSU12_0047
ko:K11754	suo:SSU12_0053
ko:K03572	suo:SSU12_0057
ko:K03550	suo:SSU12_0058
ko:K01246	suo:SSU12_0060
ko:K07447	suo:SSU12_0065
ko:K09962	suo:SSU12_0067
ko:K02946	suo:SSU12_0070
ko:K02906	suo:SSU12_0071
ko:K02926	suo:SSU12_0072
ko:K02892	suo:SSU12_0073
ko:K02886	suo:SSU12_0074
ko:K02965	suo:SSU12_0075
ko:K02890	suo:SSU12_0076
ko:K02982	suo:SSU12_0077
ko:K02878	suo:SSU12_0078
ko:K02904	suo:SSU12_0079
ko:K02961	suo:SSU12_0080
ko:K02874	suo:SSU12_0081
ko:K02895	suo:SSU12_0082
ko:K02931	suo:SSU12_0083
ko:K02954	suo:SSU12_0084
ko:K00975	suo:SSU12_0937
ko:K00975	suo:SSU12_0938
ko:K00703	suo:SSU12_0939
ko:K03702	suo:SSU12_0947
ko:K01740	suo:SSU12_0952
ko:K02787	suo:SSU12_0957
ko:K02788	suo:SSU12_0957
ko:K02531	suo:SSU12_0959
ko:K03575	suo:SSU12_0973
ko:K06180	suo:SSU12_0978
ko:K00858	suo:SSU12_0979
ko:K00948	suo:SSU12_0982
ko:K04487	suo:SSU12_0983
ko:K01926	suo:SSU12_0986
ko:K07010	suo:SSU12_0987
ko:K03630	suo:SSU12_0988
