ko:K18138	sens:Q786_02340
ko:K18923	sens:Q786_07490
ko:K19124	sens:Q786_14175
ko:K03297	sens:Q786_06935
ko:K19595	sens:Q786_01730
ko:K00008	sens:Q786_21240
ko:K01990	sens:Q786_03965
ko:K02345	sens:Q786_05825
ko:K14230	sens:Q786_14450
ko:K14230	sens:Q786_16025
ko:K14230	sens:Q786_14455
ko:K03111	sens:Q786_20880
ko:K00526	sens:Q786_11230
ko:K18968	sens:Q786_01895
ko:K06148	sens:Q786_20915
ko:K18984	sens:Q786_08275
ko:K19611	sens:Q786_13330
ko:K07782	sens:Q786_05460
ko:K02495	sens:Q786_19625
ko:K19221	sens:Q786_06595
ko:K12455	sens:Q786_10315
ko:K14236	sens:Q786_06395
ko:K14236	sens:Q786_06400
ko:K14236	sens:Q786_20300
ko:K19230	sens:Q786_06715
ko:K18816	sens:Q786_07130
ko:K07012	sens:Q786_14190
ko:K02226	sens:Q786_03150
ko:K19697	sens:Q786_10155
ko:K18139	sens:Q786_01720
ko:K00681	sens:Q786_17335
ko:K19789	sens:Q786_11030
ko:K03610	sens:Q786_06115
ko:K09902	sens:Q786_06120
ko:K09160	sens:Q786_06130
ko:K03611	sens:Q786_06150
ko:K03314	sens:Q786_06155
ko:K03603	sens:Q786_06160
ko:K00285	sens:Q786_06170
ko:K01775	sens:Q786_06175
ko:K11105	sens:Q786_06180
ko:K01297	sens:Q786_06185
ko:K08308	sens:Q786_06190
ko:K01194	sens:Q786_06205
ko:K00261	sens:Q786_06210
ko:K00426	sens:Q786_06220
ko:K00425	sens:Q786_06225
ko:K03618	sens:Q786_06230
ko:K03619	sens:Q786_06235
ko:K03620	sens:Q786_06245
ko:K06281	sens:Q786_06250
ko:K06282	sens:Q786_06255
ko:K06942	sens:Q786_06275
ko:K01056	sens:Q786_06280
ko:K03321	sens:Q786_06290
ko:K00948	sens:Q786_06295
ko:K00919	sens:Q786_06300
ko:K02494	sens:Q786_06305
ko:K02492	sens:Q786_06310
ko:K02835	sens:Q786_06315
ko:K02493	sens:Q786_06320
ko:K01627	sens:Q786_06335
ko:K07300	sens:Q786_06340
ko:K06039	sens:Q786_06350
ko:K02575	sens:Q786_06365
ko:K00370	sens:Q786_06370
ko:K00371	sens:Q786_06375
ko:K00373	sens:Q786_06380
ko:K00374	sens:Q786_06385
ko:K01433	sens:Q786_06410
ko:K09858	sens:Q786_06415
ko:K07001	sens:Q786_06420
ko:K00963	sens:Q786_06430
ko:K04072	sens:Q786_06445
ko:K15580	sens:Q786_06455
ko:K15581	sens:Q786_06460
ko:K15582	sens:Q786_06465
ko:K15583	sens:Q786_06470
ko:K10823	sens:Q786_06475
ko:K10716	sens:Q786_06480
ko:K09901	sens:Q786_06485
ko:K02619	sens:Q786_09270
ko:K09458	sens:Q786_09275
ko:K02078	sens:Q786_09280
ko:K00059	sens:Q786_09285
ko:K00645	sens:Q786_09290
ko:K00648	sens:Q786_09295
ko:K03621	sens:Q786_09300
ko:K02911	sens:Q786_09305
ko:K07040	sens:Q786_09310
ko:K06179	sens:Q786_09330
ko:K08300	sens:Q786_09335
ko:K02397	sens:Q786_09340
ko:K02396	sens:Q786_09345
ko:K02395	sens:Q786_09350
ko:K02394	sens:Q786_09355
ko:K02393	sens:Q786_09360
ko:K02392	sens:Q786_09365
ko:K02391	sens:Q786_09370
ko:K02390	sens:Q786_09375
ko:K02389	sens:Q786_09380
ko:K02388	sens:Q786_09385
ko:K02387	sens:Q786_09390
ko:K02386	sens:Q786_09395
ko:K02398	sens:Q786_09400
ko:K02399	sens:Q786_09405
ko:K03980	sens:Q786_09410
ko:K03810	sens:Q786_09415
ko:K09915	sens:Q786_09420
ko:K03790	sens:Q786_09425
ko:K08162	sens:Q786_09430
ko:K03675	sens:Q786_09435
ko:K01465	sens:Q786_09445
ko:K12149	sens:Q786_09450
ko:K12148	sens:Q786_09455
ko:K02846	sens:Q786_09460
ko:K07146	sens:Q786_09480
ko:K02517	sens:Q786_09485
ko:K08161	sens:Q786_09490
ko:K12147	sens:Q786_09495
ko:K03669	sens:Q786_09505
ko:K03670	sens:Q786_09510
ko:K11941	sens:Q786_09515
ko:K04336	sens:Q786_09535
ko:K04334	sens:Q786_09540
ko:K04335	sens:Q786_09545
ko:K04337	sens:Q786_09555
ko:K04338	sens:Q786_09560
ko:K06214	sens:Q786_09565
ko:K04477	sens:Q786_09580
ko:K12972	sens:Q786_09585
ko:K09933	sens:Q786_09640
ko:K07733	sens:Q786_09765
ko:K07126	sens:Q786_09820
ko:K01241	sens:Q786_09840
ko:K01551	sens:Q786_09880
ko:K00134	sens:Q786_09915
ko:K00768	sens:Q786_09950
ko:K02233	sens:Q786_09955
ko:K02231	sens:Q786_09960
ko:K02232	sens:Q786_09965
ko:K02006	sens:Q786_09970
ko:K02008	sens:Q786_09975
ko:K02009	sens:Q786_09980
ko:K02007	sens:Q786_09985
ko:K03394	sens:Q786_09990
ko:K02190	sens:Q786_09995
ko:K05895	sens:Q786_10000
ko:K02189	sens:Q786_10010
ko:K05936	sens:Q786_10015
ko:K02191	sens:Q786_10020
ko:K03399	sens:Q786_10025
ko:K02188	sens:Q786_10030
ko:K06042	sens:Q786_10035
ko:K02227	sens:Q786_10040
ko:K02224	sens:Q786_10045
ko:K13919	sens:Q786_10075
ko:K13920	sens:Q786_10080
ko:K13923	sens:Q786_10105
ko:K13922	sens:Q786_10125
ko:K13921	sens:Q786_10130
ko:K04031	sens:Q786_10145
ko:K04029	sens:Q786_10150
ko:K16651	sens:Q786_10160
ko:K09802	sens:Q786_10165
ko:K07470	sens:Q786_10175
ko:K07258	sens:Q786_10180
ko:K08354	sens:Q786_10185
ko:K08353	sens:Q786_10190
ko:K08352	sens:Q786_10195
ko:K01141	sens:Q786_10205
ko:K00765	sens:Q786_10225
ko:K00013	sens:Q786_10230
ko:K00817	sens:Q786_10235
ko:K01089	sens:Q786_10240
ko:K02501	sens:Q786_10245
ko:K01814	sens:Q786_10250
ko:K02500	sens:Q786_10255
ko:K11755	sens:Q786_10260
ko:K05789	sens:Q786_10265
ko:K00012	sens:Q786_10270
ko:K00033	sens:Q786_10275
ko:K01840	sens:Q786_10285
ko:K12992	sens:Q786_10295
ko:K13005	sens:Q786_10305
ko:K12452	sens:Q786_10320
ko:K01709	sens:Q786_10325
ko:K00978	sens:Q786_10330
ko:K01790	sens:Q786_10340
ko:K00973	sens:Q786_10345
ko:K00067	sens:Q786_10350
ko:K00963	sens:Q786_10360
ko:K02469	sens:Q786_11200
ko:K00568	sens:Q786_11220
ko:K11107	sens:Q786_11235
ko:K01126	sens:Q786_11250
ko:K02445	sens:Q786_11255
ko:K00111	sens:Q786_11260
ko:K00112	sens:Q786_11265
