ko:K12978	fpm:LA56_1647
ko:K14219	fpm:LA56_1084
ko:K14235	fpm:LA56_1143
ko:K14227	fpm:LA56_1300
ko:K14227	fpm:LA56_1806
ko:K14227	fpm:LA56_789
ko:K03602	fpm:LA56_229
ko:K19416	fpm:LA56_608
ko:K19561	fpm:LA56_377
ko:K01990	fpm:LA56_117
ko:K00954	fpm:LA56_188
ko:K02653	fpm:LA56_192
ko:K02652	fpm:LA56_193
ko:K06187	fpm:LA56_194
ko:K09747	fpm:LA56_195
ko:K02563	fpm:LA56_196
ko:K02437	fpm:LA56_197
ko:K01868	fpm:LA56_200
ko:K02520	fpm:LA56_201
ko:K02916	fpm:LA56_202
ko:K02887	fpm:LA56_203
ko:K01807	fpm:LA56_206
ko:K03495	fpm:LA56_209
ko:K01141	fpm:LA56_214
ko:K03702	fpm:LA56_215
ko:K01776	fpm:LA56_217
ko:K03601	fpm:LA56_227
ko:K00765	fpm:LA56_233
ko:K00013	fpm:LA56_234
ko:K00817	fpm:LA56_235
ko:K01089	fpm:LA56_236
ko:K02501	fpm:LA56_237
ko:K01814	fpm:LA56_238
ko:K02500	fpm:LA56_239
ko:K11755	fpm:LA56_240
ko:K03781	fpm:LA56_523
ko:K04761	fpm:LA56_526
ko:K00128	fpm:LA56_528
ko:K16074	fpm:LA56_530
ko:K07260	fpm:LA56_532
ko:K02342	fpm:LA56_533
ko:K06193	fpm:LA56_536
ko:K03386	fpm:LA56_538
ko:K06134	fpm:LA56_542
ko:K00024	fpm:LA56_545
ko:K03674	fpm:LA56_547
ko:K06158	fpm:LA56_549
ko:K02346	fpm:LA56_553
ko:K02970	fpm:LA56_554
ko:K03704	fpm:LA56_556
ko:K04762	fpm:LA56_564
ko:K18930	fpm:LA56_565
ko:K01866	fpm:LA56_568
ko:K03800	fpm:LA56_569
ko:K01419	fpm:LA56_571
ko:K03667	fpm:LA56_572
ko:K03305	fpm:LA56_573
ko:K10716	fpm:LA56_574
ko:K00322	fpm:LA56_575
ko:K02654	fpm:LA56_576
ko:K17836	fpm:LA56_578
ko:K01591	fpm:LA56_1392
ko:K00133	fpm:LA56_4
ko:K12524	fpm:LA56_5
ko:K00872	fpm:LA56_6
ko:K01733	fpm:LA56_7
ko:K03269	fpm:LA56_8
ko:K00762	fpm:LA56_9
ko:K02558	fpm:LA56_10
ko:K03218	fpm:LA56_11
ko:K15738	fpm:LA56_14
ko:K03305	fpm:LA56_15
ko:K01886	fpm:LA56_16
ko:K01610	fpm:LA56_17
ko:K01000	fpm:LA56_18
ko:K01925	fpm:LA56_19
ko:K01069	fpm:LA56_862
ko:K01719	fpm:LA56_865
ko:K02426	fpm:LA56_866
ko:K01881	fpm:LA56_870
ko:K14287	fpm:LA56_872
ko:K03625	fpm:LA56_874
ko:K09160	fpm:LA56_878
ko:K07394	fpm:LA56_879
ko:K07090	fpm:LA56_880
ko:K01487	fpm:LA56_887
ko:K03439	fpm:LA56_890
ko:K00858	fpm:LA56_891
ko:K01992	fpm:LA56_894
ko:K01990	fpm:LA56_895
ko:K11312	fpm:LA56_897
ko:K11312	fpm:LA56_899
ko:K03424	fpm:LA56_900
ko:K03040	fpm:LA56_903
ko:K07478	fpm:LA56_904
ko:K01524	fpm:LA56_905
ko:K03671	fpm:LA56_906
ko:K03628	fpm:LA56_907
ko:K01840	fpm:LA56_908
ko:K03453	fpm:LA56_1717
ko:K03179	fpm:LA56_1724
ko:K03181	fpm:LA56_1725
ko:K00989	fpm:LA56_1726
ko:K03799	fpm:LA56_1729
ko:K03744	fpm:LA56_1730
ko:K01534	fpm:LA56_1733
ko:K00057	fpm:LA56_1738
ko:K04485	fpm:LA56_1739
ko:K01736	fpm:LA56_1742
ko:K07305	fpm:LA56_1745
ko:K04565	fpm:LA56_1746
ko:K00121	fpm:LA56_1750
