ko:K14233	ctrj:SOTONIA3_00896
ko:K11645	ctrj:SOTONIA3_00224
ko:K02838	ctrj:SOTONIA3_00723
ko:K09903	ctrj:SOTONIA3_00724
ko:K02357	ctrj:SOTONIA3_00725
ko:K02967	ctrj:SOTONIA3_00726
ko:K03162	ctrj:SOTONIA3_00728
ko:K09013	ctrj:SOTONIA3_00732
ko:K09015	ctrj:SOTONIA3_00733
ko:K11717	ctrj:SOTONIA3_00734
ko:K07220	ctrj:SOTONIA3_00738
ko:K03306	ctrj:SOTONIA3_00739
ko:K00927	ctrj:SOTONIA3_00740
ko:K10773	ctrj:SOTONIA3_00744
ko:K03650	ctrj:SOTONIA3_00745
ko:K01613	ctrj:SOTONIA3_00746
ko:K03070	ctrj:SOTONIA3_00748
ko:K03977	ctrj:SOTONIA3_00750
ko:K03544	ctrj:SOTONIA3_00752
ko:K01358	ctrj:SOTONIA3_00753
ko:K03545	ctrj:SOTONIA3_00754
ko:K03569	ctrj:SOTONIA3_00757
ko:K00057	ctrj:SOTONIA3_00762
ko:K02412	ctrj:SOTONIA3_00765
ko:K02411	ctrj:SOTONIA3_00766
ko:K02409	ctrj:SOTONIA3_00767
ko:K13819	ctrj:SOTONIA3_00768
ko:K04487	ctrj:SOTONIA3_00769
ko:K06178	ctrj:SOTONIA3_00771
ko:K00705	ctrj:SOTONIA3_00089
ko:K04058	ctrj:SOTONIA3_00091
ko:K03230	ctrj:SOTONIA3_00092
ko:K03229	ctrj:SOTONIA3_00093
ko:K06942	ctrj:SOTONIA3_00094
ko:K11753	ctrj:SOTONIA3_00095
ko:K02834	ctrj:SOTONIA3_00097
ko:K02519	ctrj:SOTONIA3_00098
ko:K02600	ctrj:SOTONIA3_00099
ko:K02945	ctrj:SOTONIA3_00100
ko:K00384	ctrj:SOTONIA3_00101
ko:K00997	ctrj:SOTONIA3_00102
ko:K00208	ctrj:SOTONIA3_00106
ko:K03575	ctrj:SOTONIA3_00109
ko:K03559	ctrj:SOTONIA3_00634
ko:K04077	ctrj:SOTONIA3_00112
ko:K04078	ctrj:SOTONIA3_00113
ko:K08602	ctrj:SOTONIA3_00114
ko:K03695	ctrj:SOTONIA3_00115
ko:K01783	ctrj:SOTONIA3_00123
ko:K02356	ctrj:SOTONIA3_00124
ko:K02160	ctrj:SOTONIA3_00125
ko:K01961	ctrj:SOTONIA3_00126
ko:K02871	ctrj:SOTONIA3_00127
ko:K02996	ctrj:SOTONIA3_00128
ko:K02029	ctrj:SOTONIA3_00131
ko:K07058	ctrj:SOTONIA3_00134
ko:K06999	ctrj:SOTONIA3_00138
ko:K07566	ctrj:SOTONIA3_00139
ko:K09125	ctrj:SOTONIA3_00142
ko:K07039	ctrj:SOTONIA3_00143
ko:K01972	ctrj:SOTONIA3_00150
ko:K02913	ctrj:SOTONIA3_00154
ko:K09808	ctrj:SOTONIA3_00155
ko:K09810	ctrj:SOTONIA3_00156
ko:K03720	ctrj:SOTONIA3_00173
ko:K01696	ctrj:SOTONIA3_00174
ko:K01695	ctrj:SOTONIA3_00175
ko:K03611	ctrj:SOTONIA3_00181
ko:K00979	ctrj:SOTONIA3_00189
ko:K01937	ctrj:SOTONIA3_00190
ko:K07447	ctrj:SOTONIA3_00191
ko:K00036	ctrj:SOTONIA3_00192
ko:K01057	ctrj:SOTONIA3_00193
ko:K02343	ctrj:SOTONIA3_00194
ko:K00943	ctrj:SOTONIA3_00195
ko:K02469	ctrj:SOTONIA3_00196
ko:K00648	ctrj:SOTONIA3_00250
ko:K06187	ctrj:SOTONIA3_00251
ko:K07277	ctrj:SOTONIA3_00252
ko:K06142	ctrj:SOTONIA3_00253
ko:K02536	ctrj:SOTONIA3_00254
ko:K00161	ctrj:SOTONIA3_00256
ko:K00162	ctrj:SOTONIA3_00257
ko:K00627	ctrj:SOTONIA3_00258
ko:K00688	ctrj:SOTONIA3_00259
ko:K02313	ctrj:SOTONIA3_00261
ko:K03217	ctrj:SOTONIA3_00262
ko:K04487	ctrj:SOTONIA3_00269
ko:K07083	ctrj:SOTONIA3_00273
ko:K01962	ctrj:SOTONIA3_00276
ko:K01448	ctrj:SOTONIA3_00279
ko:K01928	ctrj:SOTONIA3_00280
ko:K03587	ctrj:SOTONIA3_00281
ko:K03438	ctrj:SOTONIA3_00283
ko:K02313	ctrj:SOTONIA3_00286
ko:K00347	ctrj:SOTONIA3_00289
ko:K00348	ctrj:SOTONIA3_00290
ko:K00349	ctrj:SOTONIA3_00291
ko:K00350	ctrj:SOTONIA3_00292
ko:K02437	ctrj:SOTONIA3_00293
ko:K03800	ctrj:SOTONIA3_00296
ko:K03696	ctrj:SOTONIA3_00297
ko:K00566	ctrj:SOTONIA3_00298
ko:K02470	ctrj:SOTONIA3_00197
ko:K00773	ctrj:SOTONIA3_00200
ko:K06213	ctrj:SOTONIA3_00201
ko:K15580	ctrj:SOTONIA3_00205
ko:K15581	ctrj:SOTONIA3_00206
ko:K03319	ctrj:SOTONIA3_00211
ko:K00850	ctrj:SOTONIA3_00212
ko:K00895	ctrj:SOTONIA3_00214
ko:K02527	ctrj:SOTONIA3_00217
ko:K01869	ctrj:SOTONIA3_00218
ko:K01845	ctrj:SOTONIA3_00219
ko:K07735	ctrj:SOTONIA3_00220
ko:K08999	ctrj:SOTONIA3_00221
ko:K01807	ctrj:SOTONIA3_00222
ko:K03787	ctrj:SOTONIA3_00227
ko:K03179	ctrj:SOTONIA3_00228
ko:K03186	ctrj:SOTONIA3_00229
ko:K03308	ctrj:SOTONIA3_00242
ko:K02078	ctrj:SOTONIA3_00247
ko:K01963	ctrj:SOTONIA3_00304
ko:K04564	ctrj:SOTONIA3_00305
ko:K03685	ctrj:SOTONIA3_00308
ko:K04485	ctrj:SOTONIA3_00309
ko:K01749	ctrj:SOTONIA3_00310
ko:K01873	ctrj:SOTONIA3_00313
ko:K03046	ctrj:SOTONIA3_00325
ko:K03043	ctrj:SOTONIA3_00326
ko:K02935	ctrj:SOTONIA3_00327
ko:K02864	ctrj:SOTONIA3_00328
ko:K02863	ctrj:SOTONIA3_00329
ko:K02867	ctrj:SOTONIA3_00330
ko:K02601	ctrj:SOTONIA3_00331
ko:K03073	ctrj:SOTONIA3_00332
ko:K02358	ctrj:SOTONIA3_00334
ko:K02518	ctrj:SOTONIA3_00336
ko:K01803	ctrj:SOTONIA3_00344
ko:K03601	ctrj:SOTONIA3_00345
ko:K03602	ctrj:SOTONIA3_00346
ko:K01662	ctrj:SOTONIA3_00348
ko:K00873	ctrj:SOTONIA3_00349
ko:K03701	ctrj:SOTONIA3_00350
ko:K02343	ctrj:SOTONIA3_00351
ko:K09747	ctrj:SOTONIA3_00352
ko:K06966	ctrj:SOTONIA3_00408
ko:K09131	ctrj:SOTONIA3_00409
ko:K10206	ctrj:SOTONIA3_00411
ko:K01881	ctrj:SOTONIA3_00414
ko:K03705	ctrj:SOTONIA3_00415
ko:K03687	ctrj:SOTONIA3_00416
ko:K04043	ctrj:SOTONIA3_00417
ko:K12573	ctrj:SOTONIA3_00418
ko:K07164	ctrj:SOTONIA3_00419
