ko:K07496	bax:H9401_5147
ko:K02313	bax:H9401_0001
ko:K03629	bax:H9401_0004
ko:K02470	bax:H9401_0005
ko:K02469	bax:H9401_0006
ko:K18925	bax:H9401_0795
ko:K18231	bax:H9401_2476
ko:K18924	bax:H9401_0794
ko:K06979	bax:H9401_1495
ko:K03547	bax:H9401_0954
ko:K19689	bax:H9401_0305
ko:K02851	bax:H9401_5183
ko:K07050	bax:H9401_1626
ko:K02205	bax:H9401_2860
ko:K18929	bax:H9401_3113
ko:K18929	bax:H9401_3114
ko:K02397	bax:H9401_1577
ko:K07149	bax:H9401_3689
ko:K03297	bax:H9401_0304
ko:K03297	bax:H9401_3191
ko:K08153	bax:H9401_0797
ko:K01101	bax:H9401_4957
ko:K05592	bax:H9401_5446
ko:K09022	bax:H9401_0042
ko:K06147	bax:H9401_2321
ko:K11638	bax:H9401_0879
ko:K02034	bax:H9401_0179
ko:K09692	bax:H9401_5253
ko:K18926	bax:H9401_0982
ko:K07260	bax:H9401_4534
ko:K14234	bax:H9401_trnaThr2
ko:K14234	bax:H9401_trnaThr4
ko:K14234	bax:H9401_trnaThr5
ko:K14234	bax:H9401_trnaThr3
ko:K00064	bax:H9401_4849
ko:K00064	bax:H9401_3295
ko:K10040	bax:H9401_0613
ko:K10010	bax:H9401_0817
ko:K14234	bax:H9401_trnaThr1
ko:K14236	bax:H9401_trnaTyr1
ko:K14236	bax:H9401_trnaTyr2
ko:K14236	bax:H9401_trnaTyr3
ko:K14223	bax:H9401_trnaGln1
ko:K14223	bax:H9401_trnaGln4
ko:K14223	bax:H9401_trnaGln2
ko:K14223	bax:H9401_trnaGln3
ko:K14233	bax:H9401_trnaSer2
ko:K14233	bax:H9401_trnaSer6
ko:K10716	bax:H9401_5385
ko:K14228	bax:H9401_trnaLeu1
ko:K14225	bax:H9401_trnaGly2
ko:K14225	bax:H9401_trnaGly4
ko:K14225	bax:H9401_trnaGly6
ko:K14225	bax:H9401_trnaGly7
ko:K14230	bax:H9401_trnaMet2
ko:K14230	bax:H9401_trnaMet4
ko:K14230	bax:H9401_trnaMet3
ko:K14230	bax:H9401_trnaMet6
ko:K14231	bax:H9401_trnaPhe1
ko:K14231	bax:H9401_trnaPhe2
ko:K14231	bax:H9401_trnaPhe3
ko:K14231	bax:H9401_trnaPhe4
ko:K14226	bax:H9401_trnaHis1
ko:K14226	bax:H9401_trnaHis2
ko:K02424	bax:H9401_0815
ko:K14222	bax:H9401_trnaCys1
ko:K14228	bax:H9401_trnaLeu2
ko:K14237	bax:H9401_trnaVal5
ko:K14219	bax:H9401_trnaArg5
ko:K14233	bax:H9401_trnaSer1
ko:K14233	bax:H9401_trnaSer7
ko:K14233	bax:H9401_trnaSer4
ko:K14233	bax:H9401_trnaSer5
ko:K14230	bax:H9401_trnaMet1
ko:K14230	bax:H9401_trnaMet8
ko:K14219	bax:H9401_trnaArg3
ko:K10041	bax:H9401_0610
ko:K14221	bax:H9401_trnaAsp1
ko:K14221	bax:H9401_trnaAsp6
ko:K14221	bax:H9401_trnaAsp5
