ko:K00813	cpsc:B711_0007
ko:K03582	cpsc:B711_0010
ko:K01921	cpsc:B711_0979
ko:K01924	cpsc:B711_0979
ko:K07258	cpsc:B711_0083
ko:K02342	cpsc:B711_0104
ko:K02071	cpsc:B711_0578
ko:K02072	cpsc:B711_0579
ko:K02073	cpsc:B711_0580
ko:K02470	cpsc:B711_0583
ko:K02469	cpsc:B711_0584
ko:K00943	cpsc:B711_0585
ko:K02343	cpsc:B711_0587
ko:K06999	cpsc:B711_0588
ko:K07566	cpsc:B711_0590
ko:K06966	cpsc:B711_0594
ko:K03179	cpsc:B711_0595
ko:K03186	cpsc:B711_0596
ko:K03787	cpsc:B711_0601
ko:K07039	cpsc:B711_0603
ko:K14441	cpsc:B711_0610
ko:K02913	cpsc:B711_0611
ko:K09808	cpsc:B711_0612
ko:K02871	cpsc:B711_0615
ko:K02996	cpsc:B711_0616
ko:K01057	cpsc:B711_0622
ko:K00036	cpsc:B711_0623
ko:K15580	cpsc:B711_0624
ko:K03402	cpsc:B711_0626
ko:K02029	cpsc:B711_0627
ko:K07058	cpsc:B711_0632
ko:K01783	cpsc:B711_0635
ko:K02356	cpsc:B711_0637
ko:K02160	cpsc:B711_0638
ko:K01961	cpsc:B711_0640
ko:K01951	cpsc:B711_0660
ko:K09125	cpsc:B711_0670
ko:K00773	cpsc:B711_0672
ko:K03611	cpsc:B711_0677
ko:K00979	cpsc:B711_0688
ko:K08602	cpsc:B711_0744
ko:K04078	cpsc:B711_0745
ko:K04077	cpsc:B711_0746
ko:K03581	cpsc:B711_0752
ko:K01874	cpsc:B711_0753
ko:K00942	cpsc:B711_0755
ko:K03470	cpsc:B711_0756
ko:K02884	cpsc:B711_0757
ko:K00554	cpsc:B711_0758
ko:K02959	cpsc:B711_0759
ko:K03106	cpsc:B711_0760
ko:K02493	cpsc:B711_0761
ko:K02835	cpsc:B711_0762
ko:K02909	cpsc:B711_0763
ko:K03100	cpsc:B711_0766
ko:K01870	cpsc:B711_0767
ko:K07175	cpsc:B711_0769
ko:K00426	cpsc:B711_0773
ko:K00425	cpsc:B711_0775
ko:K02517	cpsc:B711_0779
ko:K00873	cpsc:B711_0781
ko:K03701	cpsc:B711_0782
ko:K01873	cpsc:B711_0784
ko:K03046	cpsc:B711_0796
ko:K03043	cpsc:B711_0797
ko:K03527	cpsc:B711_0854
ko:K03321	cpsc:B711_0857
ko:K01265	cpsc:B711_0863
ko:K02956	cpsc:B711_0873
ko:K00962	cpsc:B711_0874
ko:K03798	cpsc:B711_0875
