ko:K03605	dmd:dcmb_134
ko:K11749	dmd:dcmb_384
ko:K14228	dmd:dcmb_775
ko:K14225	dmd:dcmb_1299
ko:K06147	dmd:dcmb_1038
ko:K19221	dmd:dcmb_1086
ko:K14228	dmd:dcmb_1298
ko:K14224	dmd:dcmb_1511
ko:K14219	dmd:dcmb_690
ko:K14225	dmd:dcmb_820
ko:K14224	dmd:dcmb_959
ko:K02031	dmd:dcmb_1345
ko:K02032	dmd:dcmb_1344
ko:K07012	dmd:dcmb_1411
ko:K17828	dmd:dcmb_1231
ko:K14229	dmd:dcmb_841
ko:K14415	dmd:dcmb_790
ko:K01649	dmd:dcmb_792
ko:K00052	dmd:dcmb_793
ko:K01704	dmd:dcmb_794
ko:K01703	dmd:dcmb_795
ko:K07507	dmd:dcmb_796
ko:K01649	dmd:dcmb_797
ko:K00053	dmd:dcmb_798
ko:K01653	dmd:dcmb_799
ko:K01652	dmd:dcmb_800
ko:K01687	dmd:dcmb_801
ko:K07566	dmd:dcmb_802
ko:K01951	dmd:dcmb_803
ko:K01945	dmd:dcmb_805
ko:K01588	dmd:dcmb_806
ko:K01756	dmd:dcmb_807
ko:K01923	dmd:dcmb_808
ko:K01693	dmd:dcmb_809
ko:K00817	dmd:dcmb_810
ko:K00013	dmd:dcmb_811
ko:K00765	dmd:dcmb_812
ko:K01892	dmd:dcmb_813
ko:K03524	dmd:dcmb_816
ko:K02003	dmd:dcmb_824
ko:K03596	dmd:dcmb_826
ko:K00334	dmd:dcmb_830
ko:K04568	dmd:dcmb_836
ko:K02356	dmd:dcmb_837
ko:K09968	dmd:dcmb_310
ko:K01338	dmd:dcmb_325
ko:K01551	dmd:dcmb_332
ko:K07001	dmd:dcmb_338
ko:K06915	dmd:dcmb_340
ko:K02669	dmd:dcmb_1114
ko:K00620	dmd:dcmb_1115
ko:K00930	dmd:dcmb_1116
ko:K01940	dmd:dcmb_1119
ko:K01755	dmd:dcmb_1120
ko:K02902	dmd:dcmb_1121
ko:K03655	dmd:dcmb_1127
ko:K01129	dmd:dcmb_1128
ko:K01887	dmd:dcmb_1129
ko:K00208	dmd:dcmb_1131
ko:K07040	dmd:dcmb_1133
ko:K02911	dmd:dcmb_1134
ko:K00645	dmd:dcmb_1135
ko:K03625	dmd:dcmb_1137
ko:K02078	dmd:dcmb_1138
ko:K03723	dmd:dcmb_1140
ko:K00931	dmd:dcmb_1141
ko:K00147	dmd:dcmb_1147
ko:K00989	dmd:dcmb_1148
ko:K09131	dmd:dcmb_1151
ko:K06207	dmd:dcmb_1157
ko:K09946	dmd:dcmb_1165
ko:K07478	dmd:dcmb_1167
ko:K03074	dmd:dcmb_346
