ko:K19416	amh:I633_11325
ko:K18923	amh:I633_02815
ko:K03297	amh:I633_16110
ko:K01563	amh:I633_09070
ko:K11741	amh:I633_01000
ko:K21430	amh:I633_02630
ko:K03111	amh:I633_01335
ko:K07481	amh:I633_21826
ko:K00254	amh:I633_10840
ko:K19736	amh:I633_07020
ko:K07577	amh:I633_19260
ko:K01791	amh:I633_14545
ko:K01271	amh:I633_02950
ko:K13693	amh:I633_11640
ko:K18820	amh:I633_20510
ko:K01897	amh:I633_13070
ko:K03559	amh:I633_05950
ko:K06075	amh:I633_06070
ko:K03559	amh:I633_17575
ko:K08316	amh:I633_18885
ko:K03559	amh:I633_03635
ko:K03417	amh:I633_16150
ko:K19092	amh:I633_16705
ko:K11209	amh:I633_19290
ko:K14223	amh:I633_t21610
ko:K14223	amh:I633_t21600
ko:K14223	amh:I633_t21594
ko:K14223	amh:I633_t21604
ko:K01897	amh:I633_03660
ko:K01897	amh:I633_13350
ko:K01190	amh:I633_01570
ko:K17713	amh:I633_14205
ko:K03112	amh:I633_02280
ko:K01735	amh:I633_02285
ko:K00891	amh:I633_02290
ko:K02666	amh:I633_02295
ko:K02662	amh:I633_02315
ko:K05366	amh:I633_02320
ko:K03781	amh:I633_02355
ko:K14682	amh:I633_02375
ko:K01940	amh:I633_02390
ko:K00611	amh:I633_02395
ko:K00930	amh:I633_02400
ko:K00145	amh:I633_02405
ko:K01734	amh:I633_02410
ko:K03216	amh:I633_02435
ko:K00057	amh:I633_02445
ko:K03071	amh:I633_02450
ko:K09798	amh:I633_02470
ko:K01126	amh:I633_02480
ko:K01613	amh:I633_02490
ko:K06949	amh:I633_02495
ko:K13288	amh:I633_02500
ko:K09897	amh:I633_02520
ko:K01652	amh:I633_02525
ko:K01653	amh:I633_02530
ko:K03116	amh:I633_02540
ko:K03117	amh:I633_02545
ko:K03118	amh:I633_02550
ko:K03424	amh:I633_02560
ko:K00948	amh:I633_07750
ko:K00919	amh:I633_07755
ko:K02494	amh:I633_07760
ko:K02835	amh:I633_07775
ko:K02493	amh:I633_07780
ko:K01627	amh:I633_07795
ko:K07020	amh:I633_07815
ko:K02355	amh:I633_07835
ko:K01725	amh:I633_07840
ko:K01725	amh:I633_07845
ko:K03924	amh:I633_07875
ko:K03645	amh:I633_07880
ko:K09707	amh:I633_07970
ko:K06996	amh:I633_07975
ko:K00457	amh:I633_07980
ko:K00451	amh:I633_07985
ko:K03531	amh:I633_08005
ko:K07127	amh:I633_08095
ko:K07402	amh:I633_08110
ko:K13482	amh:I633_08115
ko:K13481	amh:I633_08120
ko:K16089	amh:I633_13455
ko:K00765	amh:I633_13465
ko:K00013	amh:I633_13470
ko:K00817	amh:I633_13475
ko:K02501	amh:I633_13490
ko:K01814	amh:I633_13495
ko:K02500	amh:I633_13500
ko:K11755	amh:I633_13505
ko:K07136	amh:I633_13540
ko:K04079	amh:I633_13555
ko:K06187	amh:I633_13560
ko:K09747	amh:I633_13575
ko:K03651	amh:I633_03210
ko:K07000	amh:I633_03215
ko:K02356	amh:I633_03270
ko:K04568	amh:I633_03275
ko:K05527	amh:I633_03310
ko:K09962	amh:I633_03320
ko:K03321	amh:I633_03340
ko:K00362	amh:I633_03345
ko:K00363	amh:I633_03350
ko:K00372	amh:I633_03355
ko:K07023	amh:I633_03400
ko:K03673	amh:I633_03405
ko:K16092	amh:I633_03410
