ko:K02409	ctb:CTL0088
ko:K02412	ctb:CTL0086
ko:K02411	ctb:CTL0087
ko:K03787	ctb:CTL0470
ko:K00162	ctb:CTL0498
ko:K01695	ctb:CTL0424
ko:K03587	ctb:CTL0522
ko:K00348	ctb:CTL0531
ko:K00347	ctb:CTL0530
ko:K00349	ctb:CTL0532
ko:K00350	ctb:CTL0533
ko:K03629	ctb:CTL0330
ko:K03497	ctb:CTL0057
ko:K01876	ctb:CTL0804
ko:K03686	ctb:CTL0595
ko:K03043	ctb:CTL0567
ko:K00604	ctb:CTL0792
ko:K00208	ctb:CTL0359
ko:K11707	ctb:CTL0323
ko:K11381	ctb:CTL0594
ko:K03648	ctb:CTL0871
ko:K01596	ctb:CTL0079
ko:K02469	ctb:CTL0441
ko:K01696	ctb:CTL0423
ko:K02437	ctb:CTL0534
ko:K00346	ctb:CTL0002
ko:K00161	ctb:CTL0497
ko:K01962	ctb:CTL0517
ko:K03640	ctb:CTL0863
ko:K02405	ctb:CTL0317
ko:K00705	ctb:CTL0342
ko:K03168	ctb:CTL0011
ko:K00525	ctb:CTL0199
ko:K00648	ctb:CTL0491
ko:K03641	ctb:CTL0862
ko:K00820	ctb:CTL0188
ko:K01845	ctb:CTL0462
ko:K02160	ctb:CTL0378
ko:K01972	ctb:CTL0401
ko:K02035	ctb:CTL0427
ko:K02049	ctb:CTL0432
ko:K00979	ctb:CTL0434
ko:K01937	ctb:CTL0435
ko:K00036	ctb:CTL0437
ko:K01057	ctb:CTL0438
ko:K02343	ctb:CTL0439
ko:K00943	ctb:CTL0440
ko:K00773	ctb:CTL0445
ko:K06213	ctb:CTL0446
ko:K01409	ctb:CTL0449
ko:K02913	ctb:CTL0405
ko:K09808	ctb:CTL0406
ko:K03720	ctb:CTL0422
ko:K02945	ctb:CTL0353
ko:K07447	ctb:CTL0436
ko:K00526	ctb:CTL0200
ko:K07083	ctb:CTL0514
ko:K02470	ctb:CTL0442
ko:K02338	ctb:CTL0331
ko:K00970	ctb:CTL0667
ko:K01963	ctb:CTL0545
ko:K03070	ctb:CTL0070
ko:K10773	ctb:CTL0066
ko:K02600	ctb:CTL0352
ko:K02470	ctb:CTL0030
ko:K03601	ctb:CTL0583
ko:K02563	ctb:CTL0130
ko:K02313	ctb:CTL0527
ko:K02313	ctb:CTL0501
ko:K01903	ctb:CTL0193
ko:K02343	ctb:CTL0588
ko:K03581	ctb:CTL0288
ko:K01902	ctb:CTL0194
ko:K00919	ctb:CTL0173
ko:K02911	ctb:CTL0181
ko:K03621	ctb:CTL0182
ko:K03431	ctb:CTL0187
ko:K02433	ctb:CTL0258
ko:K02434	ctb:CTL0259
ko:K00942	ctb:CTL0285
ko:K03471	ctb:CTL0263
ko:K02517	ctb:CTL0265
ko:K00426	ctb:CTL0269
ko:K07175	ctb:CTL0270
ko:K01870	ctb:CTL0274
ko:K03100	ctb:CTL0275
ko:K02909	ctb:CTL0277
