ko:K01991	bsv:BSVBI22_B0413
ko:K06998	bsv:BSVBI22_A1368
ko:K03560	bsv:BSVBI22_A1695
ko:K07050	bsv:BSVBI22_A1050
ko:K07498	bsv:BSVBI22_A1851
ko:K22617	bsv:BSVBI22_A2148
ko:K01006	bsv:BSVBI22_A0501
ko:K06016	bsv:BSVBI22_A0280
ko:K21909	bsv:BSVBI22_B0858
ko:K00001	bsv:BSVBI22_A0848
ko:K01271	bsv:BSVBI22_A1058
ko:K00344	bsv:BSVBI22_B0565
ko:K17103	bsv:BSVBI22_A0445
ko:K03297	bsv:BSVBI22_A0924
ko:K07492	bsv:BSVBI22_A0513
ko:K07492	bsv:BSVBI22_A0527
ko:K08305	bsv:BSVBI22_B0070
ko:K00035	bsv:BSVBI22_B0932
ko:K16012	bsv:BSVBI22_B0504
ko:K16013	bsv:BSVBI22_B0503
ko:K12340	bsv:BSVBI22_A0941
ko:K10010	bsv:BSVBI22_B0676
ko:K10117	bsv:BSVBI22_B0511
ko:K11741	bsv:BSVBI22_A0776
ko:K00039	bsv:BSVBI22_B0264
ko:K03559	bsv:BSVBI22_A1663
ko:K16079	bsv:BSVBI22_A1616
ko:K16079	bsv:BSVBI22_A0967
ko:K16079	bsv:BSVBI22_A1280
ko:K18334	bsv:BSVBI22_A0245
ko:K00368	bsv:BSVBI22_B0256
ko:K18335	bsv:BSVBI22_A0243
ko:K07735	bsv:BSVBI22_A0481
ko:K03790	bsv:BSVBI22_A0483
ko:K01733	bsv:BSVBI22_A0485
ko:K03281	bsv:BSVBI22_A0491
ko:K03575	bsv:BSVBI22_A0494
ko:K03529	bsv:BSVBI22_A0498
ko:K06996	bsv:BSVBI22_A0500
ko:K03523	bsv:BSVBI22_A0507
ko:K01483	bsv:BSVBI22_A0508
ko:K07127	bsv:BSVBI22_A0509
ko:K01711	bsv:BSVBI22_A0521
ko:K02048	bsv:BSVBI22_A1326
ko:K02431	bsv:BSVBI22_A1332
ko:K02057	bsv:BSVBI22_A1335
ko:K02013	bsv:BSVBI22_A1339
ko:K02015	bsv:BSVBI22_A1340
ko:K02016	bsv:BSVBI22_A1341
ko:K13926	bsv:BSVBI22_A1345
ko:K01993	bsv:BSVBI22_A1346
ko:K01430	bsv:BSVBI22_A1351
ko:K01429	bsv:BSVBI22_A1352
ko:K01428	bsv:BSVBI22_A1353
ko:K03187	bsv:BSVBI22_A1354
ko:K03188	bsv:BSVBI22_A1355
ko:K03189	bsv:BSVBI22_A1356
ko:K03190	bsv:BSVBI22_A1357
ko:K08717	bsv:BSVBI22_A1358
