ko:K03722	ecok:ECMDS42_1482
ko:K18138	ecok:ECMDS42_0361
ko:K21905	ecok:ECMDS42_2951
ko:K03761	ecok:ECMDS42_2132
ko:K06884	ecok:ECMDS42_1054
ko:K00371	ecok:ECMDS42_1179
ko:K00373	ecok:ECMDS42_1178
ko:K00374	ecok:ECMDS42_1177
ko:K21901	ecok:ECMDS42_2941
ko:K17247	ecok:ECMDS42_1599
ko:K03077	ecok:ECMDS42_0054
ko:K01990	ecok:ECMDS42_0644
ko:K19162	ecok:ECMDS42_0360
ko:K21907	ecok:ECMDS42_2946
ko:K21908	ecok:ECMDS42_2945
ko:K02554	ecok:ECMDS42_0272
ko:K21906	ecok:ECMDS42_2949
ko:K21029	ecok:ECMDS42_0677
ko:K03526	ecok:ECMDS42_2058
ko:K02345	ecok:ECMDS42_1519
ko:K00254	ecok:ECMDS42_0797
ko:K18140	ecok:ECMDS42_2726
ko:K00529	ecok:ECMDS42_2086
ko:K18843	ecok:ECMDS42_1157
ko:K18968	ecok:ECMDS42_0285
ko:K02503	ecok:ECMDS42_0924
ko:K09022	ecok:ECMDS42_2581
ko:K00526	ecok:ECMDS42_1804
ko:K00287	ecok:ECMDS42_0041
ko:K03111	ecok:ECMDS42_3497
ko:K00632	ecok:ECMDS42_1913
ko:K13654	ecok:ECMDS42_1169
ko:K00884	ecok:ECMDS42_0940
ko:K01582	ecok:ECMDS42_3571
ko:K14225	ecok:ECMDS42_1571
ko:K14225	ecok:ECMDS42_3607
ko:K14225	ecok:ECMDS42_3606
ko:K14225	ecok:ECMDS42_3605
ko:K14232	ecok:ECMDS42_1759
ko:K15035	ecok:ECMDS42_2164
ko:K14228	ecok:ECMDS42_2642
ko:K14232	ecok:ECMDS42_3238
ko:K14234	ecok:ECMDS42_3416
ko:K01977	ecok:ECMDS42_0189
ko:K01977	ecok:ECMDS42_3406
ko:K01977	ecok:ECMDS42_3445
ko:K01977	ecok:ECMDS42_3289
ko:K01977	ecok:ECMDS42_2136
ko:K01977	ecok:ECMDS42_3194
ko:K01977	ecok:ECMDS42_2740
ko:K14221	ecok:ECMDS42_0194
