ko:K02030	rsl:RPSI07_mp0136
ko:K07052	rsl:RPSI07_0040
ko:K02029	rsl:RPSI07_1163
ko:K02029	rsl:RPSI07_1164
ko:K01659	rsl:RPSI07_mp0086
ko:K14682	rsl:RPSI07_2115
ko:K15778	rsl:RPSI07_2659
ko:K01462	rsl:RPSI07_3306
ko:K04096	rsl:RPSI07_3308
ko:K00604	rsl:RPSI07_3304
ko:K02303	rsl:RPSI07_1054
ko:K01485	rsl:RPSI07_1684
ko:K07497	rsl:RPSI07_1523
ko:K01487	rsl:RPSI07_1330
ko:K07130	rsl:RPSI07_2580
ko:K00102	rsl:RPSI07_0851
ko:K12340	rsl:RPSI07_2654
ko:K14058	rsl:RPSI07_3205
ko:K14060	rsl:RPSI07_1637
ko:K00632	rsl:RPSI07_2893
ko:K00344	rsl:RPSI07_1239
ko:K12262	rsl:RPSI07_0792
ko:K06147	rsl:RPSI07_2890
ko:K03767	rsl:RPSI07_2212
ko:K07168	rsl:RPSI07_3251
ko:K00108	rsl:RPSI07_0099
ko:K13953	rsl:RPSI07_0355
ko:K15727	rsl:RPSI07_mp0460
ko:K07346	rsl:RPSI07_mp0969
ko:K13979	rsl:RPSI07_mp1443
ko:K00956	rsl:RPSI07_1053
ko:K13979	rsl:RPSI07_mp0936
ko:K02028	rsl:RPSI07_mp0646
ko:K05973	rsl:RPSI07_2386
ko:K00368	rsl:RPSI07_3198
ko:K02055	rsl:RPSI07_1777
ko:K03342	rsl:RPSI07_0884
ko:K11745	rsl:RPSI07_0392
ko:K02483	rsl:RPSI07_mp1658
ko:K11085	rsl:RPSI07_1223
ko:K07684	rsl:RPSI07_mp1502
ko:K01856	rsl:RPSI07_1890
ko:K00568	rsl:RPSI07_2486
ko:K00104	rsl:RPSI07_0849
ko:K01897	rsl:RPSI07_0649
ko:K01574	rsl:RPSI07_mp1091
ko:K02651	rsl:RPSI07_mp1133
ko:K00329	rsl:RPSI07_3289
ko:K00356	rsl:RPSI07_3289
ko:K03772	rsl:RPSI07_1654
ko:K05712	rsl:RPSI07_mp0600
ko:K00666	rsl:RPSI07_2562
ko:K00974	rsl:RPSI07_3291
ko:K05837	rsl:RPSI07_3314
ko:K05515	rsl:RPSI07_3315
ko:K03571	rsl:RPSI07_3316
ko:K03570	rsl:RPSI07_3317
