ko:K07799	xor:XOC_0585
ko:K10747	xor:XOC_3163
ko:K05349	xor:XOC_3261
ko:K07979	xor:XOC_1770
ko:K02226	xor:XOC_3393
ko:K07577	xor:XOC_3161
ko:K01866	xor:XOC_0524
ko:K13821	xor:XOC_0531
ko:K02275	xor:XOC_0533
ko:K02276	xor:XOC_0537
ko:K02259	xor:XOC_0541
ko:K14347	xor:XOC_0544
ko:K03088	xor:XOC_0976
ko:K00324	xor:XOC_0977
ko:K00325	xor:XOC_0978
ko:K00826	xor:XOC_0982
ko:K14645	xor:XOC_0983
ko:K03809	xor:XOC_0989
ko:K07058	xor:XOC_0990
ko:K01512	xor:XOC_0992
ko:K03638	xor:XOC_0995
ko:K02835	xor:XOC_0997
ko:K02492	xor:XOC_0998
ko:K02494	xor:XOC_1001
ko:K00919	xor:XOC_1002
ko:K00425	xor:XOC_1426
ko:K00426	xor:XOC_1427
ko:K06213	xor:XOC_1429
ko:K06958	xor:XOC_1435
ko:K05808	xor:XOC_1438
ko:K03092	xor:XOC_1439
ko:K06861	xor:XOC_1440
ko:K09774	xor:XOC_1441
ko:K11719	xor:XOC_1442
ko:K03270	xor:XOC_1443
ko:K06041	xor:XOC_1444
ko:K00790	xor:XOC_1447
ko:K13766	xor:XOC_2241
ko:K04758	xor:XOC_2242
ko:K04759	xor:XOC_2243
ko:K00215	xor:XOC_2249
ko:K01956	xor:XOC_2251
ko:K01955	xor:XOC_2253
ko:K03624	xor:XOC_2254
ko:K07462	xor:XOC_2256
ko:K02836	xor:XOC_2261
ko:K04567	xor:XOC_2262
ko:K13816	xor:XOC_2266
ko:K01681	xor:XOC_2270
ko:K01682	xor:XOC_2273
ko:K03412	xor:XOC_2278
ko:K03411	xor:XOC_2279
ko:K03408	xor:XOC_2284
ko:K03685	xor:XOC_3182
ko:K03100	xor:XOC_3184
ko:K03596	xor:XOC_3185
ko:K03088	xor:XOC_3188
ko:K00140	xor:XOC_3196
ko:K01752	xor:XOC_3215
ko:K00003	xor:XOC_3216
ko:K00641	xor:XOC_3219
ko:K02837	xor:XOC_3221
ko:K11068	xor:XOC_3222
ko:K07290	xor:XOC_3225
ko:K03814	xor:XOC_3228
ko:K04083	xor:XOC_3230
ko:K08987	xor:XOC_3236
ko:K03500	xor:XOC_4132
ko:K00604	xor:XOC_4133
ko:K01462	xor:XOC_4134
ko:K04096	xor:XOC_4136
ko:K03168	xor:XOC_4140
ko:K07566	xor:XOC_4141
ko:K08081	xor:XOC_4144
ko:K04773	xor:XOC_4146
ko:K03327	xor:XOC_4147
ko:K04066	xor:XOC_4152
ko:K03926	xor:XOC_4154
ko:K04084	xor:XOC_4155
ko:K02160	xor:XOC_4157
ko:K01961	xor:XOC_4159
ko:K02687	xor:XOC_4163
ko:K03557	xor:XOC_4167
ko:K00602	xor:XOC_4172
ko:K01945	xor:XOC_4173
ko:K03807	xor:XOC_4183
ko:K03426	xor:XOC_4184
ko:K03305	xor:XOC_0495
ko:K00457	xor:XOC_0499
ko:K00451	xor:XOC_0504
ko:K05564	xor:XOC_0506
ko:K05563	xor:XOC_0507
ko:K05562	xor:XOC_0508
ko:K05561	xor:XOC_0509
ko:K05560	xor:XOC_0510
ko:K05559	xor:XOC_0511
ko:K01142	xor:XOC_0518
ko:K08218	xor:XOC_0519
ko:K06140	xor:XOC_0955
ko:K04761	xor:XOC_0957
ko:K03387	xor:XOC_0958
ko:K00324	xor:XOC_0971
ko:K08989	xor:XOC_1396
ko:K13639	xor:XOC_1405
ko:K02493	xor:XOC_0960
ko:K03581	xor:XOC_0103
ko:K03583	xor:XOC_0106
ko:K02065	xor:XOC_0113
ko:K02066	xor:XOC_0114
ko:K07323	xor:XOC_0116
ko:K07122	xor:XOC_0117
ko:K04754	xor:XOC_0118
ko:K00432	xor:XOC_0120
ko:K09760	xor:XOC_0122
ko:K07788	xor:XOC_0584
ko:K06879	xor:XOC_0589
ko:K00031	xor:XOC_0592
ko:K00906	xor:XOC_0596
ko:K03628	xor:XOC_0597
ko:K03671	xor:XOC_0599
ko:K03732	xor:XOC_0600
ko:K09812	xor:XOC_0601
ko:K09811	xor:XOC_0602
ko:K03648	xor:XOC_0604
ko:K03089	xor:XOC_0605
ko:K03885	xor:XOC_0607
ko:K02946	xor:XOC_1029
ko:K02906	xor:XOC_1030
ko:K02926	xor:XOC_1031
ko:K02892	xor:XOC_1032
ko:K02886	xor:XOC_1033
ko:K02965	xor:XOC_1034
ko:K02890	xor:XOC_1035
ko:K02982	xor:XOC_1036
ko:K02878	xor:XOC_1037
ko:K02904	xor:XOC_1038
ko:K02961	xor:XOC_1039
ko:K02874	xor:XOC_1040
ko:K02895	xor:XOC_1041
ko:K02931	xor:XOC_1042
ko:K02954	xor:XOC_1043
ko:K02994	xor:XOC_1045
ko:K02933	xor:XOC_1046
ko:K02881	xor:XOC_1047
ko:K02988	xor:XOC_1048
ko:K02907	xor:XOC_1049
ko:K02876	xor:XOC_1050
ko:K03076	xor:XOC_1051
ko:K02952	xor:XOC_1052
ko:K02948	xor:XOC_1053
ko:K02986	xor:XOC_1054
ko:K03040	xor:XOC_1055
ko:K02879	xor:XOC_1056
ko:K01933	xor:XOC_1454
ko:K00286	xor:XOC_1485
ko:K06997	xor:XOC_1486
ko:K02669	xor:XOC_1487
ko:K02670	xor:XOC_1488
ko:K01246	xor:XOC_1491
ko:K07735	xor:XOC_1495
ko:K07447	xor:XOC_1496
ko:K00609	xor:XOC_1497
ko:K12526	xor:XOC_1504
ko:K00648	xor:XOC_2363
ko:K10941	xor:XOC_2366
ko:K03092	xor:XOC_2368
ko:K02422	xor:XOC_2372
ko:K02407	xor:XOC_2373
ko:K02406	xor:XOC_2374
ko:K02397	xor:XOC_2375
ko:K02396	xor:XOC_2376
ko:K02395	xor:XOC_2377
ko:K02394	xor:XOC_2378
ko:K02393	xor:XOC_2379
ko:K02392	xor:XOC_2380
ko:K02391	xor:XOC_2381
ko:K02390	xor:XOC_2382
ko:K02389	xor:XOC_2384
ko:K02388	xor:XOC_2385
ko:K02387	xor:XOC_2386
ko:K03415	xor:XOC_2387
ko:K02386	xor:XOC_2389
ko:K02398	xor:XOC_2390
ko:K07153	xor:XOC_2400
ko:K00566	xor:XOC_2401
ko:K06891	xor:XOC_2404
ko:K03694	xor:XOC_2405
ko:K02518	xor:XOC_2406
ko:K00684	xor:XOC_2407
ko:K06597	xor:XOC_3302
ko:K01920	xor:XOC_3308
ko:K03832	xor:XOC_3309
ko:K05365	xor:XOC_3314
ko:K06136	xor:XOC_3318
ko:K06137	xor:XOC_3319
ko:K06138	xor:XOC_3320
ko:K06139	xor:XOC_3321
ko:K03578	xor:XOC_3329
ko:K04047	xor:XOC_3330
ko:K03654	xor:XOC_3331
ko:K06182	xor:XOC_3336
ko:K06895	xor:XOC_3341
ko:K06920	xor:XOC_3346
ko:K10026	xor:XOC_3348
ko:K03640	xor:XOC_3350
ko:K03641	xor:XOC_3351
ko:K03562	xor:XOC_3354
ko:K07107	xor:XOC_3355
ko:K03551	xor:XOC_3356
ko:K03549	xor:XOC_3357
ko:K04751	xor:XOC_4259
ko:K07391	xor:XOC_4261
ko:K03098	xor:XOC_4262
ko:K15012	xor:XOC_2181
ko:K15011	xor:XOC_2182
ko:K00075	xor:XOC_2189
ko:K12524	xor:XOC_2197
ko:K00872	xor:XOC_2198
ko:K01733	xor:XOC_2208
ko:K01892	xor:XOC_2213
ko:K00765	xor:XOC_2215
ko:K00013	xor:XOC_2216
ko:K00817	xor:XOC_2217
ko:K01089	xor:XOC_2218
ko:K02501	xor:XOC_2219
ko:K01814	xor:XOC_2220
ko:K02500	xor:XOC_2221
ko:K11755	xor:XOC_2222
ko:K09880	xor:XOC_2226
ko:K08967	xor:XOC_2227
ko:K02356	xor:XOC_2237
ko:K01640	xor:XOC_2239
ko:K00574	xor:XOC_3122
ko:K14205	xor:XOC_3126
ko:K01975	xor:XOC_3129
ko:K10680	xor:XOC_3133
ko:K03775	xor:XOC_3139
ko:K04046	xor:XOC_3140
ko:K03088	xor:XOC_3146
ko:K07043	xor:XOC_3152
ko:K00263	xor:XOC_3153
ko:K03724	xor:XOC_3164
ko:K06953	xor:XOC_3165
ko:K03704	xor:XOC_3169
ko:K00760	xor:XOC_3171
ko:K01207	xor:XOC_3172
ko:K06876	xor:XOC_3173
ko:K06955	xor:XOC_3174
ko:K03215	xor:XOC_3177
ko:K03584	xor:XOC_3180
ko:K15125	xor:XOC_4061
ko:K15125	xor:XOC_4064
ko:K00077	xor:XOC_4094
ko:K03832	xor:XOC_4107
ko:K03086	xor:XOC_4120
ko:K07560	xor:XOC_4121
ko:K02517	xor:XOC_4122
ko:K03823	xor:XOC_4123
ko:K07071	xor:XOC_4276
ko:K01255	xor:XOC_4287
ko:K03088	xor:XOC_4289
ko:K03781	xor:XOC_4290
ko:K05786	xor:XOC_4294
ko:K01867	xor:XOC_4300
ko:K01476	xor:XOC_4304
ko:K18138	xor:XOC_1978
ko:K00874	xor:XOC_0170
ko:K03762	xor:XOC_0179
ko:K03671	xor:XOC_0180
ko:K06983	xor:XOC_0640
ko:K11737	xor:XOC_0648
ko:K03284	xor:XOC_0651
ko:K01194	xor:XOC_0659
ko:K06178	xor:XOC_1088
ko:K02048	xor:XOC_1090
ko:K02046	xor:XOC_1091
ko:K02047	xor:XOC_1092
ko:K02045	xor:XOC_1093
ko:K00060	xor:XOC_1095
ko:K01114	xor:XOC_1097
ko:K11754	xor:XOC_1102
ko:K03558	xor:XOC_1104
ko:K00764	xor:XOC_1105
ko:K03269	xor:XOC_1110
ko:K01524	xor:XOC_1113
ko:K05982	xor:XOC_1553
ko:K15726	xor:XOC_2472
ko:K00428	xor:XOC_2520
ko:K11890	xor:XOC_2527
ko:K11891	xor:XOC_2528
ko:K11892	xor:XOC_2529
ko:K11893	xor:XOC_2530
ko:K11907	xor:XOC_2537
ko:K11895	xor:XOC_2538
ko:K11896	xor:XOC_2539
ko:K00554	xor:XOC_3416
ko:K02860	xor:XOC_3417
ko:K02959	xor:XOC_3418
ko:K00459	xor:XOC_3420
ko:K03106	xor:XOC_3422
ko:K04079	xor:XOC_3438
ko:K04485	xor:XOC_3444
ko:K02300	xor:XOC_3454
ko:K02299	xor:XOC_3455
ko:K02298	xor:XOC_3456
ko:K02297	xor:XOC_3457
ko:K03527	xor:XOC_3460
ko:K03101	xor:XOC_3461
ko:K01870	xor:XOC_3462
ko:K11753	xor:XOC_3463
ko:K03980	xor:XOC_3464
ko:K02968	xor:XOC_3465
ko:K03979	xor:XOC_3466
ko:K02899	xor:XOC_3467
ko:K02888	xor:XOC_3468
ko:K03701	xor:XOC_3469
ko:K07107	xor:XOC_3470
ko:K10805	xor:XOC_3473
ko:K08224	xor:XOC_4368
ko:K03424	xor:XOC_4372
ko:K06044	xor:XOC_4413
ko:K00705	xor:XOC_4414
ko:K01236	xor:XOC_4415
ko:K00703	xor:XOC_4417
ko:K09781	xor:XOC_4421
ko:K00228	xor:XOC_0432
ko:K09902	xor:XOC_0438
ko:K00036	xor:XOC_0442
ko:K06213	xor:XOC_0448
ko:K09799	xor:XOC_0451
ko:K03119	xor:XOC_0897
ko:K10804	xor:XOC_0900
ko:K00901	xor:XOC_0904
ko:K03744	xor:XOC_0905
ko:K06872	xor:XOC_0906
ko:K13292	xor:XOC_0908
ko:K06195	xor:XOC_0913
ko:K02528	xor:XOC_0914
ko:K00097	xor:XOC_0915
ko:K03771	xor:XOC_0916
ko:K04744	xor:XOC_0918
ko:K11892	xor:XOC_1349
ko:K11893	xor:XOC_1350
ko:K11906	xor:XOC_1351
ko:K11901	xor:XOC_1353
ko:K11900	xor:XOC_1354
ko:K11903	xor:XOC_1355
ko:K11897	xor:XOC_1357
ko:K11896	xor:XOC_1358
ko:K11895	xor:XOC_1359
ko:K11907	xor:XOC_1360
ko:K01644	xor:XOC_2061
ko:K08162	xor:XOC_2067
ko:K03684	xor:XOC_2086
ko:K03601	xor:XOC_2090
ko:K06925	xor:XOC_2093
ko:K01448	xor:XOC_2094
ko:K03572	xor:XOC_2095
ko:K09164	xor:XOC_2096
ko:K09973	xor:XOC_2097
ko:K00023	xor:XOC_2099
ko:K01894	xor:XOC_2100
ko:K03799	xor:XOC_2101
ko:K07007	xor:XOC_2103
ko:K09768	xor:XOC_2105
ko:K03704	xor:XOC_2106
ko:K00759	xor:XOC_2110
ko:K05591	xor:XOC_2111
ko:K15738	xor:XOC_2112
ko:K04564	xor:XOC_2116
ko:K15396	xor:XOC_2118
ko:K00252	xor:XOC_3003
ko:K03424	xor:XOC_3007
ko:K06077	xor:XOC_3010
ko:K03704	xor:XOC_3011
ko:K09793	xor:XOC_3012
ko:K01058	xor:XOC_3017
ko:K01676	xor:XOC_3019
ko:K00528	xor:XOC_3021
ko:K00432	xor:XOC_3022
ko:K01284	xor:XOC_3024
ko:K03088	xor:XOC_3029
ko:K15974	xor:XOC_3030
ko:K03305	xor:XOC_3037
ko:K05349	xor:XOC_3039
ko:K03446	xor:XOC_3043
ko:K03543	xor:XOC_3044
ko:K02621	xor:XOC_3048
ko:K03594	xor:XOC_3049
ko:K01434	xor:XOC_3050
ko:K01953	xor:XOC_3054
ko:K00990	xor:XOC_3060
ko:K01265	xor:XOC_3061
ko:K09941	xor:XOC_3946
ko:K01775	xor:XOC_3958
ko:K00285	xor:XOC_3959
ko:K02556	xor:XOC_3964
ko:K02557	xor:XOC_3965
ko:K06175	xor:XOC_0344
ko:K09924	xor:XOC_0345
ko:K15034	xor:XOC_0346
ko:K01284	xor:XOC_0349
ko:K02429	xor:XOC_0362
ko:K01895	xor:XOC_0366
ko:K11752	xor:XOC_0811
ko:K00793	xor:XOC_0813
