ko:K18137	abad:ABD1_20050
ko:K03602	abad:ABD1_12340
ko:K00529	abad:ABD1_09030
ko:K20319	abad:ABD1_23620
ko:K18138	abad:ABD1_26830
ko:K03297	abad:ABD1_22970
ko:K03297	abad:ABD1_27900
ko:K18145	abad:ABD1_17700
ko:K18146	abad:ABD1_17690
ko:K21029	abad:ABD1_21440
ko:K19302	abad:ABD1_33830
ko:K16238	abad:ABD1_21030
ko:K07278	abad:ABD1_21310
ko:K11741	abad:ABD1_06590
ko:K08151	abad:ABD1_30040
ko:K03327	abad:ABD1_33210
ko:K00131	abad:ABD1_04600
ko:K01990	abad:ABD1_16580
ko:K16235	abad:ABD1_30930
ko:K22617	abad:ABD1_28810
ko:K00941	abad:ABD1_07770
ko:K01091	abad:ABD1_07780
ko:K01579	abad:ABD1_07820
ko:K01056	abad:ABD1_07830
ko:K02897	abad:ABD1_07840
ko:K00948	abad:ABD1_07850
ko:K02494	abad:ABD1_07860
ko:K02492	abad:ABD1_07880
ko:K05807	abad:ABD1_07900
ko:K06180	abad:ABD1_07910
ko:K05810	abad:ABD1_07920
ko:K03664	abad:ABD1_07940
ko:K00954	abad:ABD1_07950
ko:K16135	abad:ABD1_07980
ko:K07246	abad:ABD1_07990
ko:K01950	abad:ABD1_08060
ko:K06911	abad:ABD1_08080
ko:K08973	abad:ABD1_08090
ko:K02950	abad:ABD1_08120
ko:K02992	abad:ABD1_08130
ko:K02355	abad:ABD1_08140
ko:K02358	abad:ABD1_08150
ko:K07044	abad:ABD1_08160
ko:K07044	abad:ABD1_08170
ko:K03789	abad:ABD1_08180
ko:K00684	abad:ABD1_08200
ko:K00384	abad:ABD1_08210
ko:K03466	abad:ABD1_08220
ko:K03608	abad:ABD1_08250
ko:K03609	abad:ABD1_08260
ko:K03610	abad:ABD1_08270
ko:K02233	abad:ABD1_16490
ko:K01626	abad:ABD1_16500
ko:K07090	abad:ABD1_16510
ko:K16088	abad:ABD1_16540
ko:K00748	abad:ABD1_16550
ko:K01993	abad:ABD1_16570
ko:K02503	abad:ABD1_16650
ko:K10764	abad:ABD1_16730
ko:K09747	abad:ABD1_16750
ko:K06187	abad:ABD1_16760
ko:K03684	abad:ABD1_16770
ko:K09902	abad:ABD1_16810
ko:K09989	abad:ABD1_16840
ko:K06001	abad:ABD1_16850
ko:K07320	abad:ABD1_16860
ko:K01736	abad:ABD1_16870
ko:K03644	abad:ABD1_16910
ko:K00627	abad:ABD1_16940
ko:K00382	abad:ABD1_16950
ko:K07090	abad:ABD1_17020
ko:K00003	abad:ABD1_17030
ko:K00134	abad:ABD1_24890
ko:K05786	abad:ABD1_24900
ko:K03098	abad:ABD1_24910
ko:K03702	abad:ABD1_24920
ko:K00812	abad:ABD1_24960
ko:K06169	abad:ABD1_25010
ko:K03474	abad:ABD1_25020
ko:K03584	abad:ABD1_25030
ko:K03685	abad:ABD1_25060
ko:K03100	abad:ABD1_25080
ko:K03596	abad:ABD1_25090
ko:K07107	abad:ABD1_25110
ko:K00278	abad:ABD1_25130
ko:K00943	abad:ABD1_25150
ko:K07082	abad:ABD1_25160
ko:K02048	abad:ABD1_25180
ko:K07002	abad:ABD1_25190
ko:K02046	abad:ABD1_25200
ko:K02047	abad:ABD1_25210
ko:K02045	abad:ABD1_25220
ko:K13635	abad:ABD1_25230
ko:K10026	abad:ABD1_25260
ko:K06920	abad:ABD1_25270
ko:K03564	abad:ABD1_25300
ko:K07552	abad:ABD1_25360
ko:K01952	abad:ABD1_25370
ko:K01129	abad:ABD1_25380
ko:K11734	abad:ABD1_33140
ko:K01555	abad:ABD1_33150
ko:K00457	abad:ABD1_33190
ko:K03453	abad:ABD1_33220
ko:K08281	abad:ABD1_33230
ko:K02113	abad:ABD1_01540
ko:K02111	abad:ABD1_01550
ko:K02115	abad:ABD1_01560
ko:K02112	abad:ABD1_01570
ko:K02114	abad:ABD1_01580
ko:K00432	abad:ABD1_01600
ko:K07566	abad:ABD1_01650
ko:K04096	abad:ABD1_01660
ko:K01462	abad:ABD1_01680
ko:K01738	abad:ABD1_01750
ko:K02346	abad:ABD1_01840
ko:K06966	abad:ABD1_01870
ko:K09858	abad:ABD1_01890
ko:K08369	abad:ABD1_01910
ko:K02621	abad:ABD1_01920
ko:K01714	abad:ABD1_01990
ko:K01628	abad:ABD1_02000
ko:K00375	abad:ABD1_02010
ko:K07391	abad:ABD1_02020
