ko:K19744	pap:PSPA7_1243
ko:K10563	pap:PSPA7_0450
ko:K00595	pap:PSPA7_2247
ko:K02483	pap:PSPA7_0994
ko:K10773	pap:PSPA7_1634
ko:K05515	pap:PSPA7_1106
ko:K03925	pap:PSPA7_4993
ko:K11891	pap:PSPA7_3603
ko:K02461	pap:PSPA7_1408
ko:K15864	pap:PSPA7_0620
ko:K03387	pap:PSPA7_0217
ko:K01653	pap:PSPA7_5409
ko:K02470	pap:PSPA7_0004
ko:K04764	pap:PSPA7_2510
ko:K05788	pap:PSPA7_1968
ko:K03530	pap:PSPA7_3493
ko:K02188	pap:PSPA7_2246
ko:K03608	pap:PSPA7_1880
ko:K02041	pap:PSPA7_1745
ko:K03269	pap:PSPA7_3511
ko:K02448	pap:PSPA7_0626
ko:K00951	pap:PSPA7_4576
ko:K02992	pap:PSPA7_0833
ko:K04564	pap:PSPA7_4937
ko:K02904	pap:PSPA7_0845
ko:K04567	pap:PSPA7_1438
ko:K00484	pap:PSPA7_1006
ko:K02501	pap:PSPA7_5878
ko:K04485	pap:PSPA7_5249
ko:K05851	pap:PSPA7_6014
ko:K02510	pap:PSPA7_0964
ko:K07462	pap:PSPA7_1395
ko:K01095	pap:PSPA7_1051
ko:K03594	pap:PSPA7_1616
ko:K03789	pap:PSPA7_5385
ko:K03147	pap:PSPA7_5702
ko:K03547	pap:PSPA7_4848
ko:K00166	pap:PSPA7_2994
ko:K01963	pap:PSPA7_2021
ko:K00123	pap:PSPA7_5531
ko:K03665	pap:PSPA7_5672
ko:K03631	pap:PSPA7_5483
ko:K03111	pap:PSPA7_0868
ko:K01547	pap:PSPA7_3639
ko:K01548	pap:PSPA7_3714
ko:K01061	pap:PSPA7_3956
ko:K02535	pap:PSPA7_4978
ko:K02884	pap:PSPA7_1377
ko:K03656	pap:PSPA7_6070
ko:K05549	pap:PSPA7_2719
ko:K00483	pap:PSPA7_1007
ko:K05550	pap:PSPA7_2720
ko:K01585	pap:PSPA7_5559
ko:K00575	pap:PSPA7_0255
ko:K03686	pap:PSPA7_5480
ko:K02939	pap:PSPA7_5659
ko:K00954	pap:PSPA7_0457
ko:K03601	pap:PSPA7_1339
ko:K01883	pap:PSPA7_3508
ko:K03557	pap:PSPA7_5573
ko:K00325	pap:PSPA7_0277
ko:K03733	pap:PSPA7_6023
ko:K03503	pap:PSPA7_0100
ko:K03574	pap:PSPA7_4971
ko:K00794	pap:PSPA7_1048
ko:K02314	pap:PSPA7_5658
ko:K02316	pap:PSPA7_0719
ko:K02906	pap:PSPA7_0837
ko:K02961	pap:PSPA7_0846
ko:K07646	pap:PSPA7_3637
ko:K07667	pap:PSPA7_3636
ko:K02456	pap:PSPA7_4829
ko:K00167	pap:PSPA7_2993
ko:K02346	pap:PSPA7_4587
ko:K03669	pap:PSPA7_5816
ko:K01141	pap:PSPA7_4884
ko:K00375	pap:PSPA7_6219
ko:K00019	pap:PSPA7_3286
ko:K02886	pap:PSPA7_0840
ko:K02890	pap:PSPA7_0842
ko:K02878	pap:PSPA7_0844
ko:K04561	pap:PSPA7_0625
ko:K03502	pap:PSPA7_0086
ko:K00609	pap:PSPA7_0502
ko:K00537	pap:PSPA7_4559
ko:K02454	pap:PSPA7_4824
ko:K02453	pap:PSPA7_4825
ko:K05520	pap:PSPA7_0448
ko:K01889	pap:PSPA7_2508
ko:K03545	pap:PSPA7_3497
ko:K01246	pap:PSPA7_0010
ko:K00627	pap:PSPA7_5752
ko:K00627	pap:PSPA7_1711
ko:K00162	pap:PSPA7_1710
ko:K09699	pap:PSPA7_2992
ko:K01547	pap:PSPA7_3713
ko:K03407	pap:PSPA7_0258
ko:K07678	pap:PSPA7_4582
ko:K07641	pap:PSPA7_0569
ko:K07644	pap:PSPA7_2347
ko:K02358	pap:PSPA7_0822
ko:K02164	pap:PSPA7_0622
ko:K06872	pap:PSPA7_0639
ko:K03744	pap:PSPA7_0640
ko:K07576	pap:PSPA7_1526
ko:K09954	pap:PSPA7_1529
