ko:K00887	saug:SA268_1527
ko:K00561	saug:SA268_2515
ko:K05352	saug:SA268_0226
ko:K11442	saug:SA268_2081
ko:K03328	saug:SA268_0111
ko:K03328	saug:SA268_0456
ko:K21454	saug:SA268_2260
ko:K19975	saug:SA268_0585
ko:K19973	saug:SA268_0587
ko:K02479	saug:SA268_1845
ko:K14204	saug:SA268_1934
ko:K01046	saug:SA268_2609
ko:K03293	saug:SA268_1232
ko:K01271	saug:SA268_1655
ko:K13714	saug:SA268_0941
ko:K07741	saug:SA268_1434
ko:K22580	saug:SA268_0945
ko:K21461	saug:SA268_2606
ko:K21462	saug:SA268_2608
ko:K21463	saug:SA268_2259
ko:K00130	saug:SA268_2548
ko:K14234	saug:SA268_t006
ko:K14234	saug:SA268_t033
ko:K14234	saug:SA268_t049
ko:K02552	saug:SA268_0930
ko:K02551	saug:SA268_0931
ko:K08680	saug:SA268_0932
ko:K01661	saug:SA268_0933
ko:K13715	saug:SA268_0935
ko:K00841	saug:SA268_0937
ko:K02829	saug:SA268_0946
ko:K02828	saug:SA268_0947
ko:K02827	saug:SA268_0948
ko:K02826	saug:SA268_0949
ko:K01491	saug:SA268_0952
ko:K01588	saug:SA268_0953
ko:K01589	saug:SA268_0954
ko:K01923	saug:SA268_0955
ko:K01952	saug:SA268_0957
ko:K01952	saug:SA268_0958
ko:K00764	saug:SA268_0959
ko:K01933	saug:SA268_0960
ko:K11175	saug:SA268_0961
ko:K00602	saug:SA268_0962
ko:K01945	saug:SA268_0963
ko:K16785	saug:SA268_0964
ko:K16786	saug:SA268_0965
ko:K16787	saug:SA268_0965
ko:K16925	saug:SA268_0966
ko:K06969	saug:SA268_0969
ko:K11189	saug:SA268_0971
ko:K03111	saug:SA268_1812
ko:K07002	saug:SA268_1828
ko:K00231	saug:SA268_1829
ko:K01772	saug:SA268_1830
ko:K01599	saug:SA268_1831
ko:K01992	saug:SA268_1833
ko:K01990	saug:SA268_1834
ko:K02503	saug:SA268_1835
ko:K07533	saug:SA268_1838
ko:K03698	saug:SA268_1839
ko:K01104	saug:SA268_2601
ko:K11936	saug:SA268_2605
ko:K11755	saug:SA268_2611
