ko:K12132	bti:BTG_30470
ko:K18924	bti:BTG_24855
ko:K07040	bti:BTG_30145
ko:K02911	bti:BTG_30150
ko:K00077	bti:BTG_30165
ko:K03438	bti:BTG_30175
ko:K08724	bti:BTG_30185
ko:K08384	bti:BTG_30190
ko:K01928	bti:BTG_30195
ko:K01000	bti:BTG_30200
ko:K01925	bti:BTG_30205
ko:K03588	bti:BTG_30210
ko:K02563	bti:BTG_30215
ko:K00075	bti:BTG_30220
ko:K03589	bti:BTG_30225
ko:K03590	bti:BTG_30235
ko:K03531	bti:BTG_30240
ko:K06383	bti:BTG_30245
ko:K03091	bti:BTG_30250
ko:K03091	bti:BTG_30255
ko:K05810	bti:BTG_30265
ko:K06997	bti:BTG_30270
ko:K09772	bti:BTG_30275
ko:K02221	bti:BTG_30280
ko:K04074	bti:BTG_30290
ko:K01870	bti:BTG_30295
ko:K03101	bti:BTG_30305
ko:K06180	bti:BTG_30310
ko:K02825	bti:BTG_30315
ko:K02824	bti:BTG_30320
ko:K00609	bti:BTG_30325
ko:K01465	bti:BTG_30330
ko:K01956	bti:BTG_30335
ko:K01955	bti:BTG_30340
ko:K02823	bti:BTG_30345
ko:K01591	bti:BTG_30355
ko:K11616	bti:BTG_18270
ko:K00762	bti:BTG_30360
ko:K08234	bti:BTG_18120
ko:K11535	bti:BTG_18125
ko:K00763	bti:BTG_18170
ko:K01534	bti:BTG_18175
ko:K03294	bti:BTG_18185
ko:K00259	bti:BTG_18190
ko:K01126	bti:BTG_18195
ko:K00123	bti:BTG_18205
ko:K02379	bti:BTG_18210
ko:K00375	bti:BTG_18250
ko:K00027	bti:BTG_18265
ko:K18925	bti:BTG_17020
ko:K18231	bti:BTG_06725
ko:K18925	bti:BTG_24860
ko:K18924	bti:BTG_17025
ko:K03758	bti:BTG_18015
ko:K02851	bti:BTG_22390
ko:K02171	bti:BTG_00470
ko:K02172	bti:BTG_00475
ko:K07149	bti:BTG_00665
ko:K03297	bti:BTG_19305
ko:K08153	bti:BTG_17010
ko:K01101	bti:BTG_24045
ko:K05592	bti:BTG_21110
ko:K07050	bti:BTG_12370
ko:K09022	bti:BTG_20670
ko:K06147	bti:BTG_08020
ko:K02034	bti:BTG_20020
ko:K12574	bti:BTG_29540
ko:K07149	bti:BTG_21370
ko:K07260	bti:BTG_03025
ko:K03417	bti:BTG_08395
ko:K10040	bti:BTG_17940
ko:K18104	bti:BTG_16895
ko:K18926	bti:BTG_16290
ko:K12574	bti:BTG_12665
