ko:K01992	ply:C530_055
ko:K00033	ply:C530_056
ko:K03386	ply:C530_231
ko:K03593	ply:C530_242
ko:K02433	ply:C530_255
ko:K00674	ply:C530_172
ko:K01439	ply:C530_173
ko:K00845	ply:C530_205
ko:K01409	ply:C530_121
ko:K01496	ply:C530_135
ko:K06179	ply:C530_155
ko:K01523	ply:C530_163
ko:K01885	ply:C530_111
ko:K03686	ply:C530_002
ko:K06180	ply:C530_269
ko:K01652	ply:C530_271
ko:K01653	ply:C530_272
ko:K00053	ply:C530_273
ko:K02959	ply:C530_274
ko:K02860	ply:C530_275
ko:K02884	ply:C530_276
ko:K00003	ply:C530_277
ko:K01733	ply:C530_278
ko:K03664	ply:C530_280
ko:K03687	ply:C530_281
ko:K04043	ply:C530_001
ko:K00164	ply:C530_112
ko:K00658	ply:C530_113
ko:K00382	ply:C530_114
ko:K02963	ply:C530_118
ko:K02939	ply:C530_119
ko:K03086	ply:C530_123
ko:K02297	ply:C530_124
ko:K02298	ply:C530_125
ko:K02299	ply:C530_126
ko:K02300	ply:C530_127
ko:K02956	ply:C530_131
ko:K00962	ply:C530_132
ko:K07400	ply:C530_133
ko:K02426	ply:C530_134
ko:K00627	ply:C530_139
ko:K00163	ply:C530_140
ko:K01714	ply:C530_141
ko:K02945	ply:C530_142
ko:K00800	ply:C530_143
ko:K14170	ply:C530_144
ko:K02469	ply:C530_145
ko:K03070	ply:C530_147
ko:K01703	ply:C530_148
ko:K01736	ply:C530_149
ko:K03704	ply:C530_151
ko:K01649	ply:C530_152
ko:K02078	ply:C530_153
ko:K02911	ply:C530_154
ko:K08300	ply:C530_156
ko:K01735	ply:C530_158
ko:K00891	ply:C530_159
ko:K02909	ply:C530_160
ko:K01419	ply:C530_161
ko:K03667	ply:C530_162
ko:K00549	ply:C530_164
ko:K03073	ply:C530_057
ko:K02601	ply:C530_058
ko:K02867	ply:C530_059
ko:K02863	ply:C530_060
ko:K02864	ply:C530_061
ko:K02935	ply:C530_062
ko:K03043	ply:C530_063
ko:K03046	ply:C530_064
ko:K02950	ply:C530_065
ko:K02992	ply:C530_066
ko:K02355	ply:C530_067
ko:K02358	ply:C530_068
ko:K02946	ply:C530_069
ko:K02906	ply:C530_070
ko:K02926	ply:C530_071
ko:K02892	ply:C530_072
ko:K02886	ply:C530_073
ko:K02965	ply:C530_074
ko:K02890	ply:C530_075
ko:K02982	ply:C530_076
ko:K02878	ply:C530_077
ko:K02904	ply:C530_078
ko:K02961	ply:C530_079
ko:K02874	ply:C530_080
ko:K02895	ply:C530_081
ko:K02931	ply:C530_082
ko:K02954	ply:C530_083
ko:K02994	ply:C530_084
ko:K02933	ply:C530_085
ko:K02881	ply:C530_086
ko:K02988	ply:C530_087
ko:K02876	ply:C530_088
ko:K03076	ply:C530_089
ko:K02919	ply:C530_090
ko:K02952	ply:C530_091
ko:K02948	ply:C530_092
ko:K02986	ply:C530_093
ko:K03040	ply:C530_094
ko:K02879	ply:C530_095
ko:K02888	ply:C530_096
ko:K02899	ply:C530_097
ko:K03979	ply:C530_098
ko:K02968	ply:C530_099
ko:K02836	ply:C530_103
ko:K04567	ply:C530_104
ko:K03089	ply:C530_106
ko:K02902	ply:C530_107
ko:K02913	ply:C530_108
ko:K00343	ply:C530_003
ko:K00342	ply:C530_004
ko:K00341	ply:C530_005
ko:K00340	ply:C530_006
ko:K00339	ply:C530_007
ko:K00338	ply:C530_008
ko:K00337	ply:C530_009
ko:K00334	ply:C530_012
ko:K13378	ply:C530_013
ko:K00331	ply:C530_014
ko:K00330	ply:C530_015
ko:K02914	ply:C530_017
ko:K02470	ply:C530_018
ko:K01878	ply:C530_019
ko:K01754	ply:C530_020
ko:K00528	ply:C530_021
ko:K02108	ply:C530_022
ko:K02110	ply:C530_023
ko:K02109	ply:C530_024
ko:K02113	ply:C530_025
ko:K02111	ply:C530_026
ko:K02115	ply:C530_027
ko:K02112	ply:C530_028
ko:K02114	ply:C530_029
ko:K00611	ply:C530_030
ko:K01704	ply:C530_033
ko:K00052	ply:C530_034
ko:K00133	ply:C530_035
ko:K06173	ply:C530_036
ko:K01817	ply:C530_037
ko:K06895	ply:C530_038
ko:K01875	ply:C530_039
ko:K03977	ply:C530_040
ko:K01892	ply:C530_041
ko:K01338	ply:C530_042
ko:K01687	ply:C530_043
ko:K00791	ply:C530_045
ko:K02502	ply:C530_047
ko:K09014	ply:C530_048
ko:K09013	ply:C530_049
ko:K09015	ply:C530_050
ko:K11717	ply:C530_051
ko:K00566	ply:C530_052
ko:K02518	ply:C530_053
ko:K06131	ply:C530_216
ko:K06213	ply:C530_217
ko:K01876	ply:C530_219
ko:K03644	ply:C530_222
ko:K00928	ply:C530_224
ko:K01872	ply:C530_225
ko:K01869	ply:C530_226
ko:K07042	ply:C530_227
ko:K01696	ply:C530_228
ko:K01695	ply:C530_229
ko:K01873	ply:C530_232
ko:K03596	ply:C530_234
ko:K04077	ply:C530_235
ko:K04078	ply:C530_236
ko:K07390	ply:C530_241
ko:K01657	ply:C530_244
ko:K00766	ply:C530_246
ko:K01609	ply:C530_247
ko:K02897	ply:C530_248
ko:K00948	ply:C530_249
ko:K02835	ply:C530_250
ko:K06443	ply:C530_251
ko:K02434	ply:C530_254
ko:K00765	ply:C530_257
ko:K02871	ply:C530_258
ko:K02996	ply:C530_259
ko:K03438	ply:C530_260
ko:K03555	ply:C530_261
ko:K02204	ply:C530_263
ko:K00817	ply:C530_264
ko:K02500	ply:C530_265
ko:K01814	ply:C530_266
ko:K02501	ply:C530_267
ko:K01693	ply:C530_268
ko:K01626	ply:C530_165
ko:K03628	ply:C530_166
ko:K04075	ply:C530_167
ko:K02337	ply:C530_168
ko:K02357	ply:C530_169
ko:K02967	ply:C530_170
ko:K01265	ply:C530_171
ko:K02221	ply:C530_175
ko:K00215	ply:C530_176
ko:K01956	ply:C530_178
ko:K01955	ply:C530_179
ko:K03624	ply:C530_180
ko:K03798	ply:C530_181
ko:K02600	ply:C530_182
ko:K02519	ply:C530_184
ko:K01890	ply:C530_187
ko:K01889	ply:C530_188
ko:K02887	ply:C530_189
ko:K02916	ply:C530_190
ko:K02520	ply:C530_191
ko:K02471	ply:C530_195
ko:K01881	ply:C530_196
ko:K03786	ply:C530_197
ko:K11102	ply:C530_198
ko:K00297	ply:C530_200
ko:K08137	ply:C530_201
ko:K00036	ply:C530_204
ko:K01462	ply:C530_206
ko:K00014	ply:C530_207
ko:K01886	ply:C530_208
ko:K01883	ply:C530_209
ko:K01358	ply:C530_212
ko:K01358	ply:C530_213
ko:K05595	ply:C530_270
ko:K14219	ply:C530_303
ko:K14224	ply:C530_284
ko:K14225	ply:C530_285
ko:K14225	ply:C530_287
ko:K14233	ply:C530_305
ko:K14232	ply:C530_302
ko:K14226	ply:C530_304
ko:K14222	ply:C530_308
ko:K14229	ply:C530_311
