ko:K03560	rra:RPO_02385
ko:K18923	rra:RPO_07405
ko:K01006	rra:RPO_03825
ko:K02029	rra:RPO_00980
ko:K03070	rra:RPO_04915
ko:K00997	rra:RPO_04925
ko:K03060	rra:RPO_04930
ko:K00790	rra:RPO_04935
ko:K02470	rra:RPO_04940
ko:K06213	rra:RPO_04950
ko:K03210	rra:RPO_04995
ko:K03072	rra:RPO_05000
ko:K07152	rra:RPO_05005
ko:K02197	rra:RPO_05010
ko:K03980	rra:RPO_05020
ko:K03655	rra:RPO_05035
ko:K01028	rra:RPO_05055
ko:K01029	rra:RPO_05060
ko:K05515	rra:RPO_04795
ko:K03587	rra:RPO_04810
ko:K03438	rra:RPO_04820
ko:K03925	rra:RPO_04825
ko:K03703	rra:RPO_04840
ko:K00343	rra:RPO_04455
ko:K01698	rra:RPO_04465
ko:K04066	rra:RPO_04485
ko:K03186	rra:RPO_04490
ko:K06178	rra:RPO_04525
ko:K04485	rra:RPO_04540
ko:K03584	rra:RPO_04550
ko:K02519	rra:RPO_04570
ko:K02600	rra:RPO_04575
ko:K09748	rra:RPO_04580
ko:K13771	rra:RPO_04595
ko:K06442	rra:RPO_04600
ko:K01866	rra:RPO_04605
ko:K03185	rra:RPO_04770
ko:K13599	rra:RPO_04780
ko:K04487	rra:RPO_04110
ko:K04487	rra:RPO_04115
ko:K13643	rra:RPO_04120
ko:K01358	rra:RPO_04190
ko:K02945	rra:RPO_04195
ko:K00945	rra:RPO_04200
ko:K01749	rra:RPO_04255
ko:K06980	rra:RPO_04300
ko:K03684	rra:RPO_04310
ko:K00382	rra:RPO_04325
ko:K02919	rra:RPO_04380
ko:K03926	rra:RPO_01280
ko:K01737	rra:RPO_01285
ko:K00658	rra:RPO_01290
ko:K00164	rra:RPO_01300
ko:K01299	rra:RPO_01305
ko:K03631	rra:RPO_01310
ko:K05807	rra:RPO_01315
ko:K03686	rra:RPO_01325
ko:K04043	rra:RPO_01330
ko:K02340	rra:RPO_01355
ko:K06134	rra:RPO_01360
ko:K02276	rra:RPO_01370
ko:K07080	rra:RPO_01470
ko:K04044	rra:RPO_01485
ko:K04082	rra:RPO_01490
ko:K03470	rra:RPO_01495
ko:K03702	rra:RPO_01500
ko:K02469	rra:RPO_01535
ko:K01462	rra:RPO_01575
ko:K03116	rra:RPO_06435
ko:K01095	rra:RPO_06440
ko:K02888	rra:RPO_06445
ko:K02899	rra:RPO_06450
ko:K00928	rra:RPO_06455
ko:K09888	rra:RPO_06495
ko:K15371	rra:RPO_06510
ko:K03650	rra:RPO_06515
ko:K02078	rra:RPO_06555
ko:K09458	rra:RPO_06560
ko:K15738	rra:RPO_06565
ko:K07133	rra:RPO_06580
ko:K00942	rra:RPO_06585
ko:K03570	rra:RPO_06595
ko:K03569	rra:RPO_06600
ko:K11720	rra:RPO_06605
ko:K03640	rra:RPO_06610
ko:K00648	rra:RPO_06620
ko:K02911	rra:RPO_06625
ko:K03110	rra:RPO_06635
ko:K00789	rra:RPO_06655
ko:K00789	rra:RPO_06665
ko:K02337	rra:RPO_06685
ko:K00012	rra:RPO_06690
ko:K03118	rra:RPO_06705
ko:K01875	rra:RPO_06710
ko:K04566	rra:RPO_02850
ko:K07088	rra:RPO_02855
ko:K00029	rra:RPO_02860
ko:K00024	rra:RPO_02935
ko:K01937	rra:RPO_02960
ko:K00979	rra:RPO_02965
ko:K01495	rra:RPO_02985
ko:K01881	rra:RPO_02990
ko:K03550	rra:RPO_03005
ko:K03551	rra:RPO_03020
ko:K08218	rra:RPO_03030
ko:K03642	rra:RPO_03040
ko:K06190	rra:RPO_03050
ko:K07243	rra:RPO_03055
ko:K00449	rra:RPO_03070
ko:K08309	rra:RPO_03090
ko:K07010	rra:RPO_03115
ko:K03075	rra:RPO_00645
ko:K09125	rra:RPO_00650
ko:K01883	rra:RPO_00660
ko:K02967	rra:RPO_00665
ko:K02357	rra:RPO_00670
ko:K02527	rra:RPO_00685
ko:K09778	rra:RPO_00690
ko:K00812	rra:RPO_00695
ko:K04754	rra:RPO_00715
ko:K00948	rra:RPO_00725
ko:K01775	rra:RPO_00740
ko:K02066	rra:RPO_00745
ko:K02065	rra:RPO_00750
ko:K02902	rra:RPO_00785
ko:K02909	rra:RPO_00790
ko:K03978	rra:RPO_00795
ko:K00930	rra:RPO_00800
ko:K00554	rra:RPO_00870
ko:K02884	rra:RPO_00875
ko:K03074	rra:RPO_00885
ko:K03100	rra:RPO_00895
ko:K03685	rra:RPO_00900
ko:K01159	rra:RPO_00910
ko:K07276	rra:RPO_00935
ko:K04088	rra:RPO_00945
ko:K04087	rra:RPO_00950
ko:K07146	rra:RPO_00960
ko:K08276	rra:RPO_05675
ko:K03704	rra:RPO_05695
ko:K02528	rra:RPO_05700
ko:K04744	rra:RPO_05710
ko:K03601	rra:RPO_05715
ko:K01142	rra:RPO_05730
ko:K03977	rra:RPO_05740
ko:K03688	rra:RPO_05780
ko:K03183	rra:RPO_05785
ko:K03424	rra:RPO_05855
ko:K01874	rra:RPO_05860
ko:K00943	rra:RPO_05865
ko:K03179	rra:RPO_05875
ko:K01873	rra:RPO_05895
ko:K09760	rra:RPO_05920
ko:K03544	rra:RPO_05985
ko:K03790	rra:RPO_05990
ko:K06920	rra:RPO_05995
ko:K07552	rra:RPO_06020
ko:K09808	rra:RPO_06025
ko:K02198	rra:RPO_06050
ko:K01524	rra:RPO_02225
ko:K03555	rra:RPO_02270
ko:K01808	rra:RPO_02275
ko:K07043	rra:RPO_02285
ko:K03641	rra:RPO_02295
ko:K03089	rra:RPO_02300
ko:K00566	rra:RPO_02315
ko:K01892	rra:RPO_02330
ko:K03562	rra:RPO_02380
ko:K00133	rra:RPO_02420
ko:K01419	rra:RPO_02440
ko:K03667	rra:RPO_02445
ko:K07391	rra:RPO_02460
ko:K00748	rra:RPO_02480
ko:K07082	rra:RPO_02490
ko:K06202	rra:RPO_02495
ko:K00324	rra:RPO_07345
ko:K02343	rra:RPO_07355
ko:K09747	rra:RPO_07360
ko:K06985	rra:RPO_07375
ko:K06167	rra:RPO_07415
ko:K07091	rra:RPO_07435
ko:K02339	rra:RPO_07440
ko:K01154	rra:RPO_07455
ko:K03427	rra:RPO_07465
ko:K03313	rra:RPO_07490
ko:K03801	rra:RPO_07500
ko:K11066	rra:RPO_07505
ko:K02959	rra:RPO_07510
ko:K02913	rra:RPO_07515
ko:K03572	rra:RPO_07520
ko:K00019	rra:RPO_07530
ko:K03762	rra:RPO_07545
