ko:K19405	cthf:CTRC852_03640
ko:K08151	cthf:CTRC852_04130
ko:K03559	cthf:CTRC852_03200
ko:K04084	cthf:CTRC852_03190
ko:K02871	cthf:CTRC852_00675
ko:K02996	cthf:CTRC852_00680
ko:K02029	cthf:CTRC852_00695
ko:K07058	cthf:CTRC852_00710
ko:K06999	cthf:CTRC852_00735
ko:K07566	cthf:CTRC852_00740
ko:K09125	cthf:CTRC852_00755
ko:K07039	cthf:CTRC852_00760
ko:K01972	cthf:CTRC852_00790
ko:K02913	cthf:CTRC852_00810
ko:K09808	cthf:CTRC852_00815
ko:K09810	cthf:CTRC852_00820
ko:K02906	cthf:CTRC852_02840
ko:K00604	cthf:CTRC852_02850
ko:K00677	cthf:CTRC852_02855
ko:K02372	cthf:CTRC852_02860
ko:K02535	cthf:CTRC852_02865
ko:K03820	cthf:CTRC852_02870
ko:K06925	cthf:CTRC852_02885
ko:K03671	cthf:CTRC852_02895
ko:K03216	cthf:CTRC852_02900
ko:K01876	cthf:CTRC852_02910
ko:K01892	cthf:CTRC852_02915
ko:K07783	cthf:CTRC852_02925
ko:K02337	cthf:CTRC852_02930
ko:K03311	cthf:CTRC852_02975
ko:K00382	cthf:CTRC852_02990
ko:K03644	cthf:CTRC852_02995
ko:K03222	cthf:CTRC852_03000
ko:K03223	cthf:CTRC852_03015
ko:K03226	cthf:CTRC852_03020
ko:K03228	cthf:CTRC852_03030
ko:K02455	cthf:CTRC852_03060
ko:K02453	cthf:CTRC852_03070
ko:K03572	cthf:CTRC852_03085
ko:K00648	cthf:CTRC852_01270
ko:K06187	cthf:CTRC852_01275
ko:K07277	cthf:CTRC852_01280
ko:K06142	cthf:CTRC852_01285
ko:K02536	cthf:CTRC852_01290
ko:K00161	cthf:CTRC852_01300
ko:K00162	cthf:CTRC852_01305
ko:K00627	cthf:CTRC852_01310
ko:K00688	cthf:CTRC852_01315
ko:K02313	cthf:CTRC852_01325
ko:K03217	cthf:CTRC852_01330
ko:K04487	cthf:CTRC852_01365
ko:K07083	cthf:CTRC852_01390
ko:K02412	cthf:CTRC852_03875
ko:K02411	cthf:CTRC852_03880
ko:K02409	cthf:CTRC852_03885
ko:K13819	cthf:CTRC852_03895
ko:K04487	cthf:CTRC852_03900
ko:K06178	cthf:CTRC852_03915
ko:K03524	cthf:CTRC852_03925
ko:K05837	cthf:CTRC852_03930
ko:K01875	cthf:CTRC852_03945
ko:K11752	cthf:CTRC852_03950
ko:K14652	cthf:CTRC852_03955
ko:K00794	cthf:CTRC852_03960
ko:K03310	cthf:CTRC852_03975
ko:K03466	cthf:CTRC852_03995
ko:K00351	cthf:CTRC852_04005
ko:K03210	cthf:CTRC852_04010
ko:K00231	cthf:CTRC852_04030
ko:K01599	cthf:CTRC852_04040
ko:K03723	cthf:CTRC852_04045
ko:K01872	cthf:CTRC852_04050
ko:K14227	cthf:CTRC852_t04920
ko:K14218	cthf:CTRC852_t04922
ko:K14218	cthf:CTRC852_t04960
ko:K14230	cthf:CTRC852_t04924
ko:K14230	cthf:CTRC852_t04936
ko:K02343	cthf:CTRC852_01775
ko:K09747	cthf:CTRC852_01780
ko:K11381	cthf:CTRC852_01810
ko:K03686	cthf:CTRC852_01815
ko:K02970	cthf:CTRC852_01820
ko:K01338	cthf:CTRC852_01830
ko:K03733	cthf:CTRC852_01850
ko:K06287	cthf:CTRC852_01860
ko:K03075	cthf:CTRC852_01875
ko:K01462	cthf:CTRC852_01880
ko:K02528	cthf:CTRC852_01885
ko:K06888	cthf:CTRC852_01895
ko:K14235	cthf:CTRC852_t04932
ko:K14233	cthf:CTRC852_t04938
ko:K14233	cthf:CTRC852_t04950
ko:K14231	cthf:CTRC852_t04942
ko:K14228	cthf:CTRC852_t04944
ko:K14228	cthf:CTRC852_t04952
ko:K01778	cthf:CTRC852_02290
ko:K01358	cthf:CTRC852_02295
ko:K00600	cthf:CTRC852_02300
ko:K01770	cthf:CTRC852_02315
ko:K02946	cthf:CTRC852_02325
ko:K02355	cthf:CTRC852_02330
ko:K02992	cthf:CTRC852_02335
ko:K02950	cthf:CTRC852_02340
ko:K03797	cthf:CTRC852_02350
ko:K07462	cthf:CTRC852_02390
ko:K12257	cthf:CTRC852_02400
ko:K14221	cthf:CTRC852_t04928
ko:K14233	cthf:CTRC852_t04940
ko:K14228	cthf:CTRC852_t04954
ko:K14228	cthf:CTRC852_t04984
ko:K14219	cthf:CTRC852_t04946
ko:K14219	cthf:CTRC852_t04956
ko:K14219	cthf:CTRC852_t04962
ko:K14232	cthf:CTRC852_t04958
ko:K14229	cthf:CTRC852_t04966
ko:K14224	cthf:CTRC852_t04968
ko:K03720	cthf:CTRC852_00910
ko:K01696	cthf:CTRC852_00920
