ko:K06896	snv:SPNINV200_06710
ko:K12292	snv:SPNINV200_00420
ko:K06400	snv:SPNINV200_09600
ko:K13925	snv:SPNINV200_16570
ko:K01155	snv:SPNINV200_16700
ko:K01215	snv:SPNINV200_03080
ko:K19689	snv:SPNINV200_02590
ko:K10040	snv:SPNINV200_05350
ko:K16169	snv:SPNINV200_16680
ko:K07243	snv:SPNINV200_11940
ko:K16301	snv:SPNINV200_11950
ko:K01271	snv:SPNINV200_14240
ko:K12296	snv:SPNINV200_18180
ko:K03210	snv:SPNINV200_18430
ko:K10041	snv:SPNINV200_05380
ko:K10716	snv:SPNINV200_10130
ko:K10039	snv:SPNINV200_05370
ko:K02029	snv:SPNINV200_06270
ko:K02863	snv:SPNINV200_05580
ko:K02029	snv:SPNINV200_13400
ko:K02114	snv:SPNINV200_13440
ko:K02112	snv:SPNINV200_13450
ko:K02115	snv:SPNINV200_13460
ko:K02111	snv:SPNINV200_13470
ko:K02113	snv:SPNINV200_13480
ko:K02109	snv:SPNINV200_13490
ko:K02108	snv:SPNINV200_13500
ko:K02110	snv:SPNINV200_13510
ko:K03624	snv:SPNINV200_13550
ko:K07082	snv:SPNINV200_13560
ko:K01924	snv:SPNINV200_13590
ko:K14155	snv:SPNINV200_13620
ko:K15580	snv:SPNINV200_13650
ko:K07461	snv:SPNINV200_13720
ko:K02963	snv:SPNINV200_13760
ko:K02990	snv:SPNINV200_13780
ko:K01893	snv:SPNINV200_13790
ko:K09861	snv:SPNINV200_13850
ko:K01951	snv:SPNINV200_12870
ko:K03367	snv:SPNINV200_19870
ko:K02440	snv:SPNINV200_19930
ko:K00864	snv:SPNINV200_19950
ko:K04083	snv:SPNINV200_19970
ko:K03696	snv:SPNINV200_20040
ko:K02939	snv:SPNINV200_20130
ko:K05808	snv:SPNINV200_20150
ko:K01738	snv:SPNINV200_20190
ko:K02357	snv:SPNINV200_20230
ko:K02967	snv:SPNINV200_20240
ko:K03571	snv:SPNINV200_20260
ko:K03570	snv:SPNINV200_20270
ko:K00995	snv:SPNINV200_20310
ko:K05366	snv:SPNINV200_03300
ko:K07444	snv:SPNINV200_03340
ko:K00009	snv:SPNINV200_03610
ko:K01874	snv:SPNINV200_11510
ko:K04096	snv:SPNINV200_11550
ko:K05352	snv:SPNINV200_11590
ko:K01955	snv:SPNINV200_11640
ko:K01956	snv:SPNINV200_11650
ko:K00609	snv:SPNINV200_11660
ko:K02825	snv:SPNINV200_11670
ko:K10773	snv:SPNINV200_11680
ko:K07040	snv:SPNINV200_11690
ko:K03799	snv:SPNINV200_11720
ko:K03744	snv:SPNINV200_11730
ko:K03501	snv:SPNINV200_11740
ko:K03106	snv:SPNINV200_11760
ko:K06885	snv:SPNINV200_11790
ko:K02884	snv:SPNINV200_11870
ko:K06199	snv:SPNINV200_11880
ko:K06199	snv:SPNINV200_11890
ko:K03555	snv:SPNINV200_18890
ko:K03402	snv:SPNINV200_18900
ko:K01887	snv:SPNINV200_18910
ko:K07636	snv:SPNINV200_18950
ko:K02040	snv:SPNINV200_18960
ko:K02037	snv:SPNINV200_18970
ko:K02038	snv:SPNINV200_18980
ko:K02036	snv:SPNINV200_18990
ko:K02039	snv:SPNINV200_19000
ko:K00057	snv:SPNINV200_19030
ko:K00963	snv:SPNINV200_19040
ko:K05823	snv:SPNINV200_19070
ko:K01866	snv:SPNINV200_19110
ko:K00563	snv:SPNINV200_19140
ko:K00688	snv:SPNINV200_19170
ko:K00705	snv:SPNINV200_19180
ko:K02529	snv:SPNINV200_19230
ko:K01876	snv:SPNINV200_19250
ko:K01892	snv:SPNINV200_19340
ko:K01589	snv:SPNINV200_00530
ko:K01756	snv:SPNINV200_00550
ko:K12308	snv:SPNINV200_00580
ko:K02082	snv:SPNINV200_00630
ko:K10682	snv:SPNINV200_00770
ko:K10681	snv:SPNINV200_00780
ko:K02986	snv:SPNINV200_00790
ko:K07146	snv:SPNINV200_00840
ko:K03449	snv:SPNINV200_00900
ko:K01091	snv:SPNINV200_00940
ko:K01752	snv:SPNINV200_00950
ko:K01752	snv:SPNINV200_00960
ko:K02003	snv:SPNINV200_01010
ko:K01940	snv:SPNINV200_01030
