ko:K16235	bbrc:B7019_1155
ko:K06147	bbrc:B7019_2012
ko:K18926	bbrc:B7019_1678
ko:K18955	bbrc:B7019_0710
ko:K18955	bbrc:B7019_0713
ko:K01802	bbrc:B7019_0706
ko:K02483	bbrc:B7019_1550
ko:K00991	bbrc:B7019_1870
ko:K02313	bbrc:B7019_0001
ko:K02338	bbrc:B7019_0002
ko:K03629	bbrc:B7019_0003
ko:K02470	bbrc:B7019_0005
ko:K02469	bbrc:B7019_0006
ko:K02529	bbrc:B7019_0008
ko:K01190	bbrc:B7019_0010
ko:K00262	bbrc:B7019_0012
ko:K03466	bbrc:B7019_0018
ko:K07043	bbrc:B7019_0024
ko:K07133	bbrc:B7019_0025
ko:K04047	bbrc:B7019_0026
ko:K03699	bbrc:B7019_0027
ko:K01872	bbrc:B7019_0881
ko:K07447	bbrc:B7019_0882
ko:K07082	bbrc:B7019_0883
ko:K02654	bbrc:B7019_0884
ko:K01736	bbrc:B7019_0885
ko:K13829	bbrc:B7019_0886
ko:K03786	bbrc:B7019_0887
ko:K01937	bbrc:B7019_0888
ko:K09014	bbrc:B7019_0890
ko:K09015	bbrc:B7019_0891
ko:K09013	bbrc:B7019_0892
ko:K11717	bbrc:B7019_0893
ko:K04488	bbrc:B7019_0894
ko:K00975	bbrc:B7019_0896
ko:K09761	bbrc:B7019_0898
ko:K02503	bbrc:B7019_0899
ko:K07042	bbrc:B7019_0901
ko:K02996	bbrc:B7019_1823
ko:K02871	bbrc:B7019_1824
ko:K00705	bbrc:B7019_1825
ko:K07282	bbrc:B7019_1829
ko:K05350	bbrc:B7019_1830
ko:K02026	bbrc:B7019_1831
ko:K02025	bbrc:B7019_1832
ko:K02027	bbrc:B7019_1833
ko:K02529	bbrc:B7019_1834
ko:K11939	bbrc:B7019_1836
ko:K02346	bbrc:B7019_1838
ko:K03294	bbrc:B7019_1841
ko:K00075	bbrc:B7019_1842
ko:K02913	bbrc:B7019_1843
ko:K04078	bbrc:B7019_1844
ko:K03790	bbrc:B7019_1846
ko:K01934	bbrc:B7019_1847
ko:K02935	bbrc:B7019_1853
ko:K02864	bbrc:B7019_1854
ko:K06901	bbrc:B7019_1856
ko:K02036	bbrc:B7019_1857
ko:K02038	bbrc:B7019_1858
ko:K02037	bbrc:B7019_1859
ko:K02040	bbrc:B7019_1860
ko:K07776	bbrc:B7019_1861
ko:K07768	bbrc:B7019_1862
ko:K01243	bbrc:B7019_1864
ko:K01626	bbrc:B7019_1865
ko:K01626	bbrc:B7019_1866
ko:K01372	bbrc:B7019_1867
ko:K02435	bbrc:B7019_0261
ko:K02433	bbrc:B7019_0262
ko:K02434	bbrc:B7019_0263
ko:K03628	bbrc:B7019_0267
ko:K02619	bbrc:B7019_0268
ko:K10188	bbrc:B7019_0272
ko:K10189	bbrc:B7019_0273
ko:K10190	bbrc:B7019_0274
ko:K07407	bbrc:B7019_0275
ko:K04092	bbrc:B7019_0278
ko:K01873	bbrc:B7019_0280
ko:K10773	bbrc:B7019_0282
ko:K01507	bbrc:B7019_0286
ko:K16147	bbrc:B7019_0287
ko:K00651	bbrc:B7019_0289
ko:K02108	bbrc:B7019_0290
ko:K02110	bbrc:B7019_0291
ko:K02109	bbrc:B7019_0292
ko:K02113	bbrc:B7019_0293
ko:K02111	bbrc:B7019_0294
ko:K02115	bbrc:B7019_0295
ko:K02112	bbrc:B7019_0296
ko:K02114	bbrc:B7019_0297
ko:K07503	bbrc:B7019_0298
ko:K05838	bbrc:B7019_0302
ko:K00057	bbrc:B7019_0307
ko:K01921	bbrc:B7019_0308
ko:K02055	bbrc:B7019_0309
ko:K02054	bbrc:B7019_0310
ko:K02053	bbrc:B7019_0311
ko:K02052	bbrc:B7019_0312
ko:K03217	bbrc:B7019_1152
ko:K09974	bbrc:B7019_1160
ko:K01657	bbrc:B7019_1161
ko:K01496	bbrc:B7019_1162
ko:K02500	bbrc:B7019_1163
ko:K05520	bbrc:B7019_1164
ko:K06941	bbrc:B7019_1165
ko:K00981	bbrc:B7019_1166
ko:K02838	bbrc:B7019_1167
ko:K09903	bbrc:B7019_1168
ko:K02357	bbrc:B7019_1169
ko:K02967	bbrc:B7019_1170
ko:K01462	bbrc:B7019_1171
ko:K01897	bbrc:B7019_1172
ko:K00088	bbrc:B7019_1174
ko:K00031	bbrc:B7019_1175
ko:K07154	bbrc:B7019_1180
ko:K01409	bbrc:B7019_1192
ko:K03789	bbrc:B7019_1193
ko:K06925	bbrc:B7019_1195
ko:K02340	bbrc:B7019_1196
ko:K02237	bbrc:B7019_1198
ko:K01869	bbrc:B7019_1199
ko:K03284	bbrc:B7019_1201
ko:K01834	bbrc:B7019_1202
ko:K07006	bbrc:B7019_1204
ko:K10112	bbrc:B7019_2077
ko:K03710	bbrc:B7019_2078
ko:K03475	bbrc:B7019_2079
ko:K02822	bbrc:B7019_2080
ko:K02821	bbrc:B7019_2081
ko:K03647	bbrc:B7019_2086
ko:K05349	bbrc:B7019_2088
ko:K02528	bbrc:B7019_2092
ko:K00919	bbrc:B7019_2093
ko:K00970	bbrc:B7019_2095
ko:K03980	bbrc:B7019_2098
ko:K00384	bbrc:B7019_2099
ko:K03501	bbrc:B7019_2102
ko:K06346	bbrc:B7019_2103
ko:K03217	bbrc:B7019_2104
ko:K03536	bbrc:B7019_2105
ko:K02914	bbrc:B7019_2106
ko:K07243	bbrc:B7019_0203
ko:K07230	bbrc:B7019_0204
ko:K02004	bbrc:B7019_0206
ko:K02004	bbrc:B7019_0207
ko:K02003	bbrc:B7019_0208
ko:K01421	bbrc:B7019_0211
ko:K01421	bbrc:B7019_0212
ko:K00033	bbrc:B7019_0214
ko:K01057	bbrc:B7019_0215
ko:K00036	bbrc:B7019_0217
ko:K17836	bbrc:B7019_0218
ko:K08659	bbrc:B7019_0219
ko:K03110	bbrc:B7019_0222
ko:K03320	bbrc:B7019_0223
ko:K04751	bbrc:B7019_0224
ko:K00990	bbrc:B7019_0226
ko:K07009	bbrc:B7019_0230
ko:K03688	bbrc:B7019_0232
ko:K06997	bbrc:B7019_0235
ko:K00948	bbrc:B7019_0236
ko:K02990	bbrc:B7019_0237
ko:K02963	bbrc:B7019_0239
ko:K02939	bbrc:B7019_0240
ko:K01990	bbrc:B7019_0243
ko:K02440	bbrc:B7019_0251
ko:K17686	bbrc:B7019_0252
ko:K09760	bbrc:B7019_0254
ko:K01990	bbrc:B7019_0257
ko:K06178	bbrc:B7019_1098
ko:K03977	bbrc:B7019_1099
ko:K00963	bbrc:B7019_1101
ko:K03727	bbrc:B7019_1104
ko:K01091	bbrc:B7019_1106
ko:K00765	bbrc:B7019_1115
