ko:K08744	mtuu:HKBT2_1919
ko:K07029	mtuu:HKBT2_2378
ko:K08884	mtuu:HKBT2_3064
ko:K07497	mtuu:HKBT2_3639
ko:K12349	mtuu:HKBT2_0705
ko:K22476	mtuu:HKBT2_0445
ko:K07171	mtuu:HKBT2_2097
ko:K07171	mtuu:HKBT2_0474
ko:K03297	mtuu:HKBT2_3225
ko:K21431	mtuu:HKBT2_0897
ko:K22316	mtuu:HKBT2_2352
ko:K07171	mtuu:HKBT2_1173
ko:K18956	mtuu:HKBT2_0027
ko:K18957	mtuu:HKBT2_4086
ko:K18958	mtuu:HKBT2_3375
ko:K18955	mtuu:HKBT2_3443
ko:K07068	mtuu:HKBT2_1724
ko:K07448	mtuu:HKBT2_2672
ko:K00561	mtuu:HKBT2_2093
ko:K19311	mtuu:HKBT2_3383
ko:K09144	mtuu:HKBT2_2973
ko:K00344	mtuu:HKBT2_3310
ko:K07493	mtuu:HKBT2_3642
ko:K07493	mtuu:HKBT2_3849
ko:K07064	mtuu:HKBT2_3013
ko:K07064	mtuu:HKBT2_3507
ko:K07064	mtuu:HKBT2_3912
ko:K21688	mtuu:HKBT2_1066
ko:K07485	mtuu:HKBT2_4020
ko:K07100	mtuu:HKBT2_0595
ko:K07486	mtuu:HKBT2_2297
ko:K00897	mtuu:HKBT2_4040
ko:K19139	mtuu:HKBT2_2967
ko:K00135	mtuu:HKBT2_0250
ko:K16648	mtuu:HKBT2_0252
ko:K01207	mtuu:HKBT2_0254
ko:K00059	mtuu:HKBT2_0259
ko:K00626	mtuu:HKBT2_0260
ko:K00240	mtuu:HKBT2_0264
ko:K00239	mtuu:HKBT2_0265
ko:K00362	mtuu:HKBT2_0269
ko:K00363	mtuu:HKBT2_0270
ko:K02231	mtuu:HKBT2_0271
ko:K02232	mtuu:HKBT2_0272
ko:K02065	mtuu:HKBT2_0688
ko:K07052	mtuu:HKBT2_0691
ko:K01130	mtuu:HKBT2_0696
ko:K03043	mtuu:HKBT2_0701
ko:K03046	mtuu:HKBT2_0702
ko:K01151	mtuu:HKBT2_0706
ko:K03932	mtuu:HKBT2_0707
ko:K09456	mtuu:HKBT2_0708
ko:K01692	mtuu:HKBT2_0709
ko:K02616	mtuu:HKBT2_0710
ko:K01692	mtuu:HKBT2_0711
ko:K06994	mtuu:HKBT2_0712
ko:K00666	mtuu:HKBT2_1124
ko:K07001	mtuu:HKBT2_1128
ko:K07001	mtuu:HKBT2_1129
ko:K01692	mtuu:HKBT2_1136
ko:K01692	mtuu:HKBT2_1137
ko:K00626	mtuu:HKBT2_1140
ko:K01697	mtuu:HKBT2_1143
ko:K01739	mtuu:HKBT2_1145
ko:K02259	mtuu:HKBT2_1557
ko:K01992	mtuu:HKBT2_1558
ko:K01990	mtuu:HKBT2_1559
ko:K14339	mtuu:HKBT2_1560
ko:K09014	mtuu:HKBT2_1562
ko:K09015	mtuu:HKBT2_1563
ko:K09013	mtuu:HKBT2_1564
ko:K11717	mtuu:HKBT2_1565
ko:K04488	mtuu:HKBT2_1566
ko:K12951	mtuu:HKBT2_1572
ko:K00384	mtuu:HKBT2_1574
ko:K01692	mtuu:HKBT2_1575
ko:K01681	mtuu:HKBT2_1579
ko:K08178	mtuu:HKBT2_2001
ko:K08972	mtuu:HKBT2_2002
ko:K03782	mtuu:HKBT2_2008
ko:K00666	mtuu:HKBT2_2020
ko:K09166	mtuu:HKBT2_2022
ko:K11065	mtuu:HKBT2_2027
ko:K16905	mtuu:HKBT2_2832
ko:K16906	mtuu:HKBT2_2833
ko:K16907	mtuu:HKBT2_2834
ko:K03499	mtuu:HKBT2_2837
ko:K03499	mtuu:HKBT2_2838
ko:K01092	mtuu:HKBT2_2847
ko:K00886	mtuu:HKBT2_2848
ko:K03086	mtuu:HKBT2_2849
ko:K07058	mtuu:HKBT2_2853
ko:K03087	mtuu:HKBT2_2856
ko:K03709	mtuu:HKBT2_2857
ko:K00322	mtuu:HKBT2_2859
ko:K07738	mtuu:HKBT2_2864
ko:K01356	mtuu:HKBT2_2866
ko:K05794	mtuu:HKBT2_2869
ko:K03665	mtuu:HKBT2_2871
ko:K01778	mtuu:HKBT2_2872
ko:K00791	mtuu:HKBT2_2873
ko:K06168	mtuu:HKBT2_2879
ko:K03565	mtuu:HKBT2_2882
ko:K00697	mtuu:HKBT2_3700
ko:K18481	mtuu:HKBT2_3702
ko:K18481	mtuu:HKBT2_3703
ko:K02067	mtuu:HKBT2_3704
ko:K02067	mtuu:HKBT2_3705
ko:K02067	mtuu:HKBT2_3706
ko:K02067	mtuu:HKBT2_3707
ko:K02067	mtuu:HKBT2_3708
ko:K02067	mtuu:HKBT2_3709
ko:K02066	mtuu:HKBT2_3710
ko:K02066	mtuu:HKBT2_3711
ko:K00059	mtuu:HKBT2_3712
ko:K05337	mtuu:HKBT2_3713
ko:K00666	mtuu:HKBT2_3716
ko:K01652	mtuu:HKBT2_3719
ko:K07045	mtuu:HKBT2_3720
ko:K01692	mtuu:HKBT2_3726
ko:K16046	mtuu:HKBT2_3728
ko:K07068	mtuu:HKBT2_3731
ko:K00626	mtuu:HKBT2_3733
ko:K15982	mtuu:HKBT2_3736
ko:K01666	mtuu:HKBT2_3744
ko:K04073	mtuu:HKBT2_3745
ko:K02554	mtuu:HKBT2_3746
ko:K06911	mtuu:HKBT2_0196
ko:K03088	mtuu:HKBT2_0198
ko:K05349	mtuu:HKBT2_0201
ko:K01687	mtuu:HKBT2_0205
ko:K07386	mtuu:HKBT2_0214
ko:K00965	mtuu:HKBT2_0648
ko:K00965	mtuu:HKBT2_0649
ko:K00849	mtuu:HKBT2_0650
ko:K03581	mtuu:HKBT2_0660
ko:K03582	mtuu:HKBT2_0661
ko:K02528	mtuu:HKBT2_1067
ko:K00919	mtuu:HKBT2_1068
ko:K00666	mtuu:HKBT2_1070
ko:K01056	mtuu:HKBT2_1071
ko:K02897	mtuu:HKBT2_1072
ko:K00948	mtuu:HKBT2_1074
ko:K04042	mtuu:HKBT2_1075
ko:K03723	mtuu:HKBT2_1077
ko:K02428	mtuu:HKBT2_1078
ko:K09009	mtuu:HKBT2_1082
ko:K01524	mtuu:HKBT2_1083
ko:K07667	mtuu:HKBT2_1085
ko:K07646	mtuu:HKBT2_1086
ko:K01546	mtuu:HKBT2_1088
ko:K01547	mtuu:HKBT2_1089
ko:K01548	mtuu:HKBT2_1090
ko:K07656	mtuu:HKBT2_1091
ko:K04066	mtuu:HKBT2_1499
ko:K00604	mtuu:HKBT2_1503
ko:K03500	mtuu:HKBT2_1504
