ko:K01006	pach:PAGK_1960
ko:K15634	pach:PAGK_0431
ko:K02469	pach:PAGK_0009
ko:K02313	pach:PAGK_0001
ko:K02338	pach:PAGK_0002
ko:K01990	pach:PAGK_0176
ko:K01990	pach:PAGK_0427
ko:K01990	pach:PAGK_0624
ko:K01990	pach:PAGK_2105
ko:K15582	pach:PAGK_2053
ko:K10823	pach:PAGK_2055
ko:K00016	pach:PAGK_0011
ko:K10440	pach:PAGK_0014
ko:K10439	pach:PAGK_0015
ko:K00852	pach:PAGK_0016
ko:K01066	pach:PAGK_2221
ko:K02004	pach:PAGK_0049
ko:K01222	pach:PAGK_0057
ko:K12373	pach:PAGK_0062
ko:K09704	pach:PAGK_0061
ko:K01784	pach:PAGK_0065
ko:K01191	pach:PAGK_0058
ko:K06994	pach:PAGK_0067
ko:K10200	pach:PAGK_0084
ko:K10201	pach:PAGK_0085
ko:K00135	pach:PAGK_0076
ko:K10202	pach:PAGK_0086
ko:K00368	pach:PAGK_0092
ko:K11189	pach:PAGK_0146
ko:K16370	pach:PAGK_0148
ko:K03405	pach:PAGK_0100
ko:K03404	pach:PAGK_0101
ko:K10254	pach:PAGK_0109
ko:K03436	pach:PAGK_0149
ko:K16012	pach:PAGK_0201
ko:K16013	pach:PAGK_0202
ko:K06147	pach:PAGK_0206
ko:K06877	pach:PAGK_0268
ko:K03709	pach:PAGK_0502
ko:K01934	pach:PAGK_0511
ko:K03635	pach:PAGK_0518
ko:K02017	pach:PAGK_0523
ko:K02018	pach:PAGK_0523
ko:K00374	pach:PAGK_0525
ko:K07307	pach:PAGK_0534
ko:K06196	pach:PAGK_0347
ko:K08483	pach:PAGK_0372
ko:K11189	pach:PAGK_0373
ko:K02025	pach:PAGK_0415
ko:K00639	pach:PAGK_0418
ko:K03153	pach:PAGK_0539
ko:K07776	pach:PAGK_0380
ko:K07768	pach:PAGK_0381
ko:K01834	pach:PAGK_0384
ko:K01424	pach:PAGK_0387
ko:K01727	pach:PAGK_0394
ko:K02009	pach:PAGK_0447
ko:K00595	pach:PAGK_0451
ko:K02303	pach:PAGK_0454
ko:K00274	pach:PAGK_0281
ko:K01507	pach:PAGK_0286
ko:K03488	pach:PAGK_0319
ko:K02778	pach:PAGK_0321
ko:K02779	pach:PAGK_0321
ko:K01719	pach:PAGK_0326
ko:K07067	pach:PAGK_0333
ko:K00027	pach:PAGK_0335
ko:K01496	pach:PAGK_1027
ko:K02433	pach:PAGK_1030
ko:K00700	pach:PAGK_1042
ko:K02755	pach:PAGK_1044
ko:K02756	pach:PAGK_1044
ko:K02757	pach:PAGK_1044
ko:K01835	pach:PAGK_1048
ko:K07503	pach:PAGK_1051
ko:K03768	pach:PAGK_1053
ko:K01243	pach:PAGK_1060
ko:K07305	pach:PAGK_1086
ko:K03499	pach:PAGK_1093
ko:K03499	pach:PAGK_1094
ko:K06902	pach:PAGK_1107
ko:K01814	pach:PAGK_0997
ko:K01817	pach:PAGK_0997
ko:K16926	pach:PAGK_1979
ko:K00758	pach:PAGK_0813
ko:K07052	pach:PAGK_0815
ko:K07670	pach:PAGK_0845
ko:K07654	pach:PAGK_0846
ko:K07177	pach:PAGK_0872
ko:K02035	pach:PAGK_0877
ko:K02033	pach:PAGK_0878
ko:K00058	pach:PAGK_0882
ko:K05602	pach:PAGK_0883
ko:K02851	pach:PAGK_0905
ko:K00721	pach:PAGK_0931
ko:K01619	pach:PAGK_0938
ko:K00852	pach:PAGK_0941
ko:K07442	pach:PAGK_0951
ko:K02428	pach:PAGK_0563
ko:K09009	pach:PAGK_0567
ko:K00033	pach:PAGK_0590
ko:K06976	pach:PAGK_0673
ko:K02782	pach:PAGK_0693
ko:K02783	pach:PAGK_0693
ko:K02783	pach:PAGK_0694
ko:K03177	pach:PAGK_0700
ko:K02035	pach:PAGK_0716
ko:K01191	pach:PAGK_0723
ko:K02025	pach:PAGK_0726
ko:K10563	pach:PAGK_0731
ko:K00241	pach:PAGK_0745
ko:K00567	pach:PAGK_0755
ko:K01523	pach:PAGK_0764
ko:K16784	pach:PAGK_0782
ko:K01515	pach:PAGK_0792
ko:K04763	pach:PAGK_0793
ko:K01885	pach:PAGK_0798
ko:K13573	pach:PAGK_0800
ko:K03727	pach:PAGK_0804
ko:K08676	pach:PAGK_0612
ko:K15770	pach:PAGK_0629
ko:K04488	pach:PAGK_0636
ko:K10797	pach:PAGK_0638
ko:K02348	pach:PAGK_0640
ko:K00059	pach:PAGK_0646
ko:K03475	pach:PAGK_0462
ko:K00616	pach:PAGK_0471
ko:K00010	pach:PAGK_0486
ko:K07052	pach:PAGK_0487
ko:K06201	pach:PAGK_0488
ko:K10843	pach:PAGK_0490
ko:K02564	pach:PAGK_0493
ko:K18682	pach:PAGK_1139
ko:K02032	pach:PAGK_0717
ko:K02031	pach:PAGK_0718
ko:K01478	pach:PAGK_1547
ko:K12503	pach:PAGK_1566
ko:K07304	pach:PAGK_1574
ko:K14162	pach:PAGK_1580
ko:K07009	pach:PAGK_1584
ko:K03079	pach:PAGK_1268
ko:K07048	pach:PAGK_1270
ko:K01834	pach:PAGK_1324
ko:K16163	pach:PAGK_1327
ko:K05794	pach:PAGK_1329
ko:K03404	pach:PAGK_1342
ko:K03405	pach:PAGK_1343
ko:K09762	pach:PAGK_1319
ko:K01885	pach:PAGK_1788
ko:K03299	pach:PAGK_1389
ko:K13787	pach:PAGK_1395
ko:K00845	pach:PAGK_1405
ko:K03889	pach:PAGK_1416
ko:K03890	pach:PAGK_1417
ko:K03891	pach:PAGK_1418
ko:K00088	pach:PAGK_1420
ko:K02274	pach:PAGK_1427
ko:K02428	pach:PAGK_1602
ko:K01966	pach:PAGK_1636
ko:K11263	pach:PAGK_1648
ko:K03783	pach:PAGK_1651
ko:K18955	pach:PAGK_0251
ko:K02351	pach:PAGK_1438
ko:K07245	pach:PAGK_1438
ko:K01186	pach:PAGK_1443
ko:K01186	pach:PAGK_1444
ko:K13671	pach:PAGK_1447
ko:K01262	pach:PAGK_1479
ko:K01119	pach:PAGK_1790
ko:K01692	pach:PAGK_1814
ko:K07386	pach:PAGK_1825
ko:K02228	pach:PAGK_1835
ko:K00805	pach:PAGK_1836
ko:K03593	pach:PAGK_1484
ko:K03469	pach:PAGK_1658
ko:K01489	pach:PAGK_1659
ko:K01192	pach:PAGK_1120
ko:K03743	pach:PAGK_1145
ko:K03699	pach:PAGK_1665
ko:K02056	pach:PAGK_1662
ko:K00088	pach:PAGK_1696
ko:K00088	pach:PAGK_1697
ko:K01409	pach:PAGK_1711
ko:K02823	pach:PAGK_1152
ko:K07114	pach:PAGK_1175
ko:K07114	pach:PAGK_1176
ko:K00241	pach:PAGK_1204
ko:K16148	pach:PAGK_1490
ko:K01439	pach:PAGK_1493
ko:K00674	pach:PAGK_1499
ko:K02077	pach:PAGK_1512
ko:K02074	pach:PAGK_1513
ko:K02075	pach:PAGK_1514
ko:K01206	pach:PAGK_1521
ko:K14761	pach:PAGK_1529
ko:K07588	pach:PAGK_1531
ko:K01847	pach:PAGK_1532
ko:K01847	pach:PAGK_1533
ko:K12583	pach:PAGK_1719
ko:K00867	pach:PAGK_1725
ko:K00059	pach:PAGK_1739
ko:K14335	pach:PAGK_1747
ko:K00939	pach:PAGK_1756
ko:K02035	pach:PAGK_1761
ko:K03711	pach:PAGK_1207
ko:K01259	pach:PAGK_1222
ko:K00972	pach:PAGK_1230
ko:K02552	pach:PAGK_1247
ko:K02549	pach:PAGK_1249
ko:K05341	pach:PAGK_1251
ko:K02238	pach:PAGK_1255
ko:K00027	pach:PAGK_1261
ko:K00016	pach:PAGK_1262
ko:K00008	pach:PAGK_1234
ko:K06177	pach:PAGK_2219
ko:K00853	pach:PAGK_2227
ko:K06346	pach:PAGK_2260
ko:K02552	pach:PAGK_1853
ko:K02004	pach:PAGK_1859
ko:K00016	pach:PAGK_1868
ko:K02566	pach:PAGK_1870
ko:K02025	pach:PAGK_1874
ko:K03386	pach:PAGK_1902
ko:K01788	pach:PAGK_1910
ko:K03776	pach:PAGK_1922
ko:K02004	pach:PAGK_1942
ko:K11105	pach:PAGK_2077
ko:K03307	pach:PAGK_2092
ko:K02619	pach:PAGK_2165
ko:K01488	pach:PAGK_2182
ko:K01679	pach:PAGK_2201
ko:K02025	pach:PAGK_2203
ko:K00970	pach:PAGK_2210
ko:K08372	pach:PAGK_2216
ko:K01209	pach:PAGK_2217
ko:K13640	pach:PAGK_1949
ko:K01619	pach:PAGK_1957
ko:K09992	pach:PAGK_1958
ko:K00564	pach:PAGK_1962
ko:K06147	pach:PAGK_1977
ko:K06147	pach:PAGK_1978
ko:K01104	pach:PAGK_2004
ko:K07669	pach:PAGK_2006
ko:K07653	pach:PAGK_2007
ko:K01823	pach:PAGK_2009
ko:K06221	pach:PAGK_2027
ko:K06910	pach:PAGK_2037
ko:K10112	pach:PAGK_0409
ko:K03457	pach:PAGK_2111
ko:K02529	pach:PAGK_0012
ko:K10441	pach:PAGK_0013
ko:K02774	pach:PAGK_0021
ko:K06726	pach:PAGK_0017
ko:K00817	pach:PAGK_0031
ko:K01938	pach:PAGK_0045
ko:K02003	pach:PAGK_0050
ko:K10242	pach:PAGK_0053
ko:K10241	pach:PAGK_0054
ko:K10240	pach:PAGK_0055
ko:K02016	pach:PAGK_0073
ko:K02015	pach:PAGK_0074
ko:K02013	pach:PAGK_0075
ko:K02003	pach:PAGK_0071
ko:K00688	pach:PAGK_0078
ko:K15533	pach:PAGK_0081
ko:K01744	pach:PAGK_0094
ko:K07791	pach:PAGK_0095
ko:K06975	pach:PAGK_0096
ko:K03781	pach:PAGK_0097
ko:K03885	pach:PAGK_0157
ko:K03579	pach:PAGK_0159
ko:K16925	pach:PAGK_0184
ko:K03737	pach:PAGK_0190
ko:K03303	pach:PAGK_0194
ko:K00782	pach:PAGK_0197
ko:K00426	pach:PAGK_0203
ko:K02230	pach:PAGK_0102
ko:K06871	pach:PAGK_0103
ko:K02013	pach:PAGK_0104
ko:K02015	pach:PAGK_0105
ko:K02016	pach:PAGK_0106
ko:K02016	pach:PAGK_0107
ko:K00941	pach:PAGK_0110
ko:K00788	pach:PAGK_0112
ko:K01546	pach:PAGK_0115
ko:K01547	pach:PAGK_0116
ko:K01548	pach:PAGK_0117
ko:K07646	pach:PAGK_0118
ko:K07667	pach:PAGK_0119
ko:K03305	pach:PAGK_0143
ko:K02768	pach:PAGK_0147
ko:K02769	pach:PAGK_0147
ko:K02770	pach:PAGK_0147
ko:K00425	pach:PAGK_0204
ko:K04567	pach:PAGK_0209
ko:K04762	pach:PAGK_0232
ko:K02343	pach:PAGK_0234
ko:K09747	pach:PAGK_0235
ko:K06187	pach:PAGK_0236
ko:K02003	pach:PAGK_0238
ko:K01870	pach:PAGK_0246
ko:K10773	pach:PAGK_0255
ko:K03313	pach:PAGK_0259
ko:K02283	pach:PAGK_0262
ko:K12510	pach:PAGK_0263
ko:K03168	pach:PAGK_0271
ko:K00943	pach:PAGK_0273
ko:K02341	pach:PAGK_0274
ko:K07173	pach:PAGK_0467
ko:K01809	pach:PAGK_0468
ko:K04077	pach:PAGK_0470
ko:K03338	pach:PAGK_0473
ko:K03337	pach:PAGK_0475
ko:K03336	pach:PAGK_0476
ko:K00140	pach:PAGK_0478
ko:K03335	pach:PAGK_0485
ko:K03704	pach:PAGK_0494
ko:K06901	pach:PAGK_0497
ko:K00831	pach:PAGK_0500
ko:K01443	pach:PAGK_0501
ko:K00963	pach:PAGK_0506
ko:K03282	pach:PAGK_0508
ko:K03750	pach:PAGK_0512
ko:K03790	pach:PAGK_0513
ko:K03637	pach:PAGK_0516
ko:K03750	pach:PAGK_0517
ko:K03639	pach:PAGK_0520
ko:K02020	pach:PAGK_0522
ko:K00373	pach:PAGK_0526
ko:K00371	pach:PAGK_0527
ko:K00370	pach:PAGK_0528
ko:K02575	pach:PAGK_0529
ko:K07306	pach:PAGK_0535
ko:K00318	pach:PAGK_0338
ko:K00133	pach:PAGK_0340
ko:K00286	pach:PAGK_0341
ko:K13542	pach:PAGK_0344
ko:K07399	pach:PAGK_0348
ko:K07124	pach:PAGK_0351
ko:K01356	pach:PAGK_1130
ko:K03705	pach:PAGK_1237
ko:K03665	pach:PAGK_1132
ko:K01778	pach:PAGK_1133
ko:K00791	pach:PAGK_1134
ko:K06168	pach:PAGK_1136
ko:K03565	pach:PAGK_1140
ko:K00995	pach:PAGK_1146
ko:K00762	pach:PAGK_1149
ko:K01591	pach:PAGK_1150
ko:K01955	pach:PAGK_1153
ko:K01956	pach:PAGK_1154
ko:K01465	pach:PAGK_1155
ko:K00609	pach:PAGK_1156
ko:K02825	pach:PAGK_1157
ko:K08281	pach:PAGK_1159
ko:K00163	pach:PAGK_1163
ko:K00077	pach:PAGK_1168
ko:K00645	pach:PAGK_1169
ko:K00648	pach:PAGK_1170
ko:K02078	pach:PAGK_1171
ko:K09458	pach:PAGK_1172
ko:K06997	pach:PAGK_1174
ko:K03924	pach:PAGK_1178
ko:K01935	pach:PAGK_1186
ko:K00833	pach:PAGK_1187
ko:K08681	pach:PAGK_1188
ko:K06215	pach:PAGK_1189
ko:K00375	pach:PAGK_1190
ko:K01738	pach:PAGK_1191
ko:K01087	pach:PAGK_1192
ko:K00697	pach:PAGK_1193
ko:K02069	pach:PAGK_1198
ko:K01129	pach:PAGK_1199
ko:K00240	pach:PAGK_1202
ko:K00239	pach:PAGK_1203
ko:K01880	pach:PAGK_1206
ko:K03584	pach:PAGK_1211
ko:K00806	pach:PAGK_1213
ko:K01649	pach:PAGK_1214
ko:K07042	pach:PAGK_1218
ko:K09125	pach:PAGK_1223
ko:K00773	pach:PAGK_1228
ko:K11939	pach:PAGK_1229
ko:K03654	pach:PAGK_1231
ko:K09761	pach:PAGK_1235
ko:K03686	pach:PAGK_1236
ko:K14233	pach:PAGK_2318
ko:K14235	pach:PAGK_2304
ko:K02016	pach:PAGK_0355
ko:K02013	pach:PAGK_0356
ko:K02015	pach:PAGK_0357
ko:K02036	pach:PAGK_0359
ko:K02038	pach:PAGK_0360
ko:K02037	pach:PAGK_0361
ko:K02040	pach:PAGK_0362
ko:K00937	pach:PAGK_0364
ko:K07560	pach:PAGK_0367
ko:K06980	pach:PAGK_0369
ko:K00991	pach:PAGK_0374
ko:K01770	pach:PAGK_0375
ko:K02781	pach:PAGK_0376
ko:K02774	pach:PAGK_0377
ko:K07736	pach:PAGK_0378
ko:K03088	pach:PAGK_0406
ko:K01752	pach:PAGK_0411
ko:K00060	pach:PAGK_0417
ko:K05845	pach:PAGK_0419
ko:K05846	pach:PAGK_0420
ko:K05846	pach:PAGK_0421
ko:K05847	pach:PAGK_0422
ko:K07693	pach:PAGK_0430
ko:K02227	pach:PAGK_0432
ko:K02232	pach:PAGK_0433
ko:K03394	pach:PAGK_0435
ko:K05936	pach:PAGK_0436
ko:K02015	pach:PAGK_0441
ko:K02013	pach:PAGK_0442
ko:K02016	pach:PAGK_0443
ko:K07133	pach:PAGK_0444
ko:K06042	pach:PAGK_0445
ko:K02007	pach:PAGK_0446
ko:K03149	pach:PAGK_0537
ko:K03154	pach:PAGK_0538
ko:K07056	pach:PAGK_0543
ko:K03424	pach:PAGK_0544
ko:K02528	pach:PAGK_0545
ko:K00919	pach:PAGK_0546
ko:K04042	pach:PAGK_0549
ko:K00948	pach:PAGK_0550
ko:K02897	pach:PAGK_0554
ko:K01056	pach:PAGK_0555
ko:K02039	pach:PAGK_0382
ko:K02773	pach:PAGK_0385
ko:K02774	pach:PAGK_0386
ko:K11738	pach:PAGK_0388
ko:K00600	pach:PAGK_0389
ko:K00874	pach:PAGK_0390
ko:K01625	pach:PAGK_0391
ko:K03218	pach:PAGK_0396
ko:K01883	pach:PAGK_0397
ko:K02008	pach:PAGK_0448
ko:K02006	pach:PAGK_0449
ko:K02224	pach:PAGK_0453
ko:K02233	pach:PAGK_0457
ko:K08296	pach:PAGK_0283
ko:K01060	pach:PAGK_0284
ko:K07259	pach:PAGK_0287
ko:K04075	pach:PAGK_0288
ko:K00760	pach:PAGK_0289
ko:K03798	pach:PAGK_0290
ko:K01495	pach:PAGK_0291
ko:K00796	pach:PAGK_0298
ko:K01633	pach:PAGK_0299
ko:K00950	pach:PAGK_0300
ko:K00333	pach:PAGK_0303
ko:K03696	pach:PAGK_0305
ko:K07160	pach:PAGK_0309
ko:K07071	pach:PAGK_0313
ko:K03575	pach:PAGK_0323
ko:K01845	pach:PAGK_0324
ko:K01698	pach:PAGK_0325
ko:K01749	pach:PAGK_0327
ko:K00231	pach:PAGK_0328
ko:K02492	pach:PAGK_0330
ko:K01772	pach:PAGK_0331
ko:K04485	pach:PAGK_0334
ko:K00826	pach:PAGK_0812
ko:K01703	pach:PAGK_0817
ko:K01703	pach:PAGK_0818
ko:K01704	pach:PAGK_0819
ko:K01921	pach:PAGK_0821
ko:K00946	pach:PAGK_0823
ko:K03466	pach:PAGK_0825
ko:K02836	pach:PAGK_0827
ko:K09812	pach:PAGK_0828
ko:K09811	pach:PAGK_0829
ko:K03664	pach:PAGK_0830
ko:K00145	pach:PAGK_0831
ko:K00620	pach:PAGK_0832
