ko:K11707	cpsd:BN356_4331
ko:K01921	cpsd:BN356_8471
ko:K01924	cpsd:BN356_8471
ko:K01985	cpsd:BN356_8721
ko:K08719	cpsd:BN356_9021
ko:K02067	cpsd:BN356_6181
ko:K11709	cpsd:BN356_4361
ko:K11708	cpsd:BN356_4351
ko:K11710	cpsd:BN356_4341
ko:K03310	cpsd:BN356_2171
ko:K03101	cpsd:BN356_2181
ko:K06204	cpsd:BN356_2191
ko:K07738	cpsd:BN356_2201
ko:K00793	cpsd:BN356_2211
ko:K06969	cpsd:BN356_2221
ko:K03437	cpsd:BN356_2231
ko:K00912	cpsd:BN356_2241
ko:K00658	cpsd:BN356_2261
ko:K06041	cpsd:BN356_2271
ko:K07164	cpsd:BN356_2281
ko:K00600	cpsd:BN356_2321
ko:K01358	cpsd:BN356_2331
ko:K01778	cpsd:BN356_2341
ko:K03183	cpsd:BN356_2361
ko:K07042	cpsd:BN356_2421
ko:K03652	cpsd:BN356_2461
ko:K12573	cpsd:BN356_2471
ko:K04043	cpsd:BN356_2481
ko:K03687	cpsd:BN356_2491
ko:K03705	cpsd:BN356_2501
ko:K01881	cpsd:BN356_2511
ko:K09131	cpsd:BN356_2541
ko:K10206	cpsd:BN356_2561
ko:K06966	cpsd:BN356_2591
ko:K09996	cpsd:BN356_2671
ko:K06167	cpsd:BN356_2691
ko:K03665	cpsd:BN356_2701
ko:K03524	cpsd:BN356_8901
ko:K06178	cpsd:BN356_8921
ko:K04487	cpsd:BN356_8941
ko:K13819	cpsd:BN356_8951
ko:K02409	cpsd:BN356_8961
ko:K02411	cpsd:BN356_8971
ko:K02412	cpsd:BN356_8981
ko:K00057	cpsd:BN356_9011
ko:K03569	cpsd:BN356_9061
ko:K03545	cpsd:BN356_9091
ko:K01358	cpsd:BN356_9101
ko:K03544	cpsd:BN356_9111
ko:K03977	cpsd:BN356_9131
ko:K03070	cpsd:BN356_9151
ko:K01613	cpsd:BN356_9171
ko:K03650	cpsd:BN356_9181
ko:K10773	cpsd:BN356_9191
ko:K03311	cpsd:BN356_9201
ko:K00382	cpsd:BN356_9231
ko:K03644	cpsd:BN356_9241
ko:K03222	cpsd:BN356_9251
ko:K03223	cpsd:BN356_9271
ko:K03226	cpsd:BN356_9281
ko:K03228	cpsd:BN356_9301
ko:K09779	cpsd:BN356_2901
ko:K02435	cpsd:BN356_2911
ko:K02434	cpsd:BN356_2931
ko:K06888	cpsd:BN356_3041
ko:K02528	cpsd:BN356_3061
ko:K01662	cpsd:BN356_3071
ko:K03602	cpsd:BN356_3091
ko:K03601	cpsd:BN356_3101
ko:K01803	cpsd:BN356_3111
ko:K03075	cpsd:BN356_3121
ko:K01462	cpsd:BN356_3131
ko:K06287	cpsd:BN356_3161
ko:K03733	cpsd:BN356_3181
ko:K01338	cpsd:BN356_3211
ko:K02970	cpsd:BN356_3231
ko:K03686	cpsd:BN356_3241
ko:K11381	cpsd:BN356_3251
ko:K09747	cpsd:BN356_3311
ko:K02343	cpsd:BN356_3321
ko:K07037	cpsd:BN356_3331
ko:K01749	cpsd:BN356_3371
ko:K04485	cpsd:BN356_3381
