ko:K01991	bmw:BMNI_II0380
ko:K06998	bmw:BMNI_I1329
ko:K18893	bmw:BMNI_I1489
ko:K13967	bmw:BMNI_II0374
ko:K22617	bmw:BMNI_I2049
ko:K01006	bmw:BMNI_I0511
ko:K06016	bmw:BMNI_I0305
ko:K21909	bmw:BMNI_II0806
ko:K01533	bmw:BMNI_I0379
ko:K01271	bmw:BMNI_I1035
ko:K00344	bmw:BMNI_II0537
ko:K00001	bmw:BMNI_II0683
ko:K17103	bmw:BMNI_I0458
ko:K03297	bmw:BMNI_I0913
ko:K07492	bmw:BMNI_I0538
ko:K08305	bmw:BMNI_II0068
ko:K22616	bmw:BMNI_I1497
ko:K07050	bmw:BMNI_I1027
ko:K03296	bmw:BMNI_II0764
ko:K00035	bmw:BMNI_II0882
ko:K10010	bmw:BMNI_II0636
ko:K19232	bmw:BMNI_I0070
ko:K19231	bmw:BMNI_II1091
ko:K11741	bmw:BMNI_I0774
ko:K00426	bmw:BMNI_II0477
ko:K03710	bmw:BMNI_II0479
ko:K00166	bmw:BMNI_II0489
ko:K00167	bmw:BMNI_II0490
ko:K09699	bmw:BMNI_II0491
ko:K00382	bmw:BMNI_II0492
ko:K03466	bmw:BMNI_II0494
ko:K01266	bmw:BMNI_II0495
ko:K08369	bmw:BMNI_II0496
ko:K03919	bmw:BMNI_II0497
ko:K15581	bmw:BMNI_II0500
ko:K15580	bmw:BMNI_II0501
ko:K00425	bmw:BMNI_II0476
ko:K11068	bmw:BMNI_I0065
ko:K14161	bmw:BMNI_I0067
ko:K14160	bmw:BMNI_I0068
ko:K01940	bmw:BMNI_I0073
ko:K06941	bmw:BMNI_I0076
ko:K01975	bmw:BMNI_I0082
ko:K06890	bmw:BMNI_I0087
ko:K03823	bmw:BMNI_I0088
ko:K01681	bmw:BMNI_I0091
ko:K02194	bmw:BMNI_I0093
ko:K02195	bmw:BMNI_I0094
ko:K02199	bmw:BMNI_I0096
ko:K01687	bmw:BMNI_I0097
ko:K02048	bmw:BMNI_I0108
ko:K02046	bmw:BMNI_I0109
ko:K02047	bmw:BMNI_I0110
ko:K02045	bmw:BMNI_I0111
ko:K13688	bmw:BMNI_I0112
ko:K00763	bmw:BMNI_I0113
ko:K09803	bmw:BMNI_I0957
ko:K00773	bmw:BMNI_I0958
ko:K03642	bmw:BMNI_I0968
ko:K00943	bmw:BMNI_I0970
ko:K02341	bmw:BMNI_I0971
ko:K01874	bmw:BMNI_I0973
ko:K03424	bmw:BMNI_I0974
ko:K06167	bmw:BMNI_I0975
ko:K01091	bmw:BMNI_I0979
ko:K01915	bmw:BMNI_I0981
ko:K04751	bmw:BMNI_I0982
ko:K01091	bmw:BMNI_I0985
ko:K01807	bmw:BMNI_I0986
ko:K09924	bmw:BMNI_I0987
ko:K01626	bmw:BMNI_I0989
ko:K00901	bmw:BMNI_I0990
ko:K00029	bmw:BMNI_I0993
ko:K02066	bmw:BMNI_I0995
ko:K02065	bmw:BMNI_I0996
ko:K04755	bmw:BMNI_I1000
ko:K00384	bmw:BMNI_I1001
