ko:K19504	seno:AU37_22215
ko:K01977	seno:AU37_19545
ko:K01977	seno:AU37_01270
ko:K00632	seno:AU37_19515
ko:K19595	seno:AU37_01695
ko:K19555	seno:AU37_22745
ko:K01990	seno:AU37_03940
ko:K18816	seno:AU37_07420
ko:K21430	seno:AU37_04175
ko:K19611	seno:AU37_13315
ko:K02495	seno:AU37_19620
ko:K19697	seno:AU37_10380
ko:K19789	seno:AU37_11210
ko:K08348	seno:AU37_07665
ko:K14228	seno:AU37_19285
ko:K14228	seno:AU37_22285
ko:K14228	seno:AU37_22295
ko:K14228	seno:AU37_22290
ko:K14228	seno:AU37_21880
ko:K14225	seno:AU37_20355
ko:K03292	seno:AU37_19945
ko:K04103	seno:AU37_12115
ko:K00001	seno:AU37_19835
ko:K12979	seno:AU37_20980
ko:K01007	seno:AU37_08780
ko:K21469	seno:AU37_12475
ko:K08156	seno:AU37_01910
ko:K10678	seno:AU37_04245
ko:K21905	seno:AU37_22535
ko:K19597	seno:AU37_01700
ko:K07005	seno:AU37_03410
ko:K07493	seno:AU37_06050
ko:K01801	seno:AU37_10975
ko:K12453	seno:AU37_10550
ko:K00984	seno:AU37_09265
ko:K04753	seno:AU37_15340
ko:K01023	seno:AU37_15440
ko:K05874	seno:AU37_22185
ko:K21645	seno:AU37_22050
ko:K20861	seno:AU37_04210
ko:K20866	seno:AU37_19725
ko:K20881	seno:AU37_17140
ko:K20862	seno:AU37_19355
ko:K13450	seno:AU37_22770
ko:K08970	seno:AU37_14575
ko:K08351	seno:AU37_17895
ko:K00090	seno:AU37_17905
ko:K07726	seno:AU37_17915
ko:K03704	seno:AU37_17920
ko:K03830	seno:AU37_17940
ko:K01879	seno:AU37_17950
ko:K01878	seno:AU37_17955
ko:K00854	seno:AU37_17975
ko:K01805	seno:AU37_17980
ko:K02529	seno:AU37_17985
ko:K03796	seno:AU37_17990
ko:K01176	seno:AU37_18000
ko:K00835	seno:AU37_18005
ko:K08092	seno:AU37_18020
ko:K00880	seno:AU37_18050
ko:K09955	seno:AU37_18075
ko:K00138	seno:AU37_18080
ko:K03833	seno:AU37_18090
ko:K01042	seno:AU37_18095
ko:K00123	seno:AU37_19785
ko:K00123	seno:AU37_19790
ko:K02379	seno:AU37_19795
ko:K03534	seno:AU37_19830
ko:K01629	seno:AU37_19840
ko:K01813	seno:AU37_19845
