ko:K07591	eok:G2583_3841
ko:K00042	eok:G2583_3847
ko:K01630	eok:G2583_3848
ko:K02081	eok:G2583_3853
ko:K15581	eok:G2583_1516
ko:K00974	eok:G2583_3780
ko:K07491	eok:G2583_5034
ko:K04753	eok:G2583_3740
ko:K03779	eok:G2583_3785
ko:K00932	eok:G2583_3837
ko:K13888	eok:G2583_1115
ko:K03316	eok:G2583_4890
ko:K07229	eok:G2583_3794
ko:K01897	eok:G2583_2253
ko:K18919	eok:G2583_0016
ko:K18919	eok:G2583_1548
ko:K18919	eok:G2583_1715
ko:K18919	eok:G2583_1955
ko:K18919	eok:G2583_2470
ko:K13895	eok:G2583_2722
ko:K01961	eok:G2583_3975
ko:K12786	eok:G2583_4405
ko:K08234	eok:G2583_0190
ko:K18928	eok:G2583_0405
ko:K18138	eok:G2583_0574
ko:K19092	eok:G2583_2608
ko:K01524	eok:G2583_3025
ko:K05396	eok:G2583_2370
ko:K07349	eok:G2583_5120
ko:K18922	eok:G2583_0744
ko:K08970	eok:G2583_2642
ko:K18923	eok:G2583_pO550147
ko:K15555	eok:G2583_1168
ko:K21905	eok:G2583_4252
ko:K01534	eok:G2583_4172
ko:K14762	eok:G2583_4338
ko:K01185	eok:G2583_0688
ko:K00884	eok:G2583_1379
ko:K03761	eok:G2583_3170
ko:K13735	eok:G2583_5134
ko:K02455	eok:G2583_pO550058
ko:K14225	eok:G2583_4793
ko:K14225	eok:G2583_5265
ko:K03297	eok:G2583_0675
ko:K16345	eok:G2583_4391
ko:K12789	eok:G2583_2429
ko:K00371	eok:G2583_1829
ko:K00373	eok:G2583_1828
ko:K00374	eok:G2583_1827
ko:K07172	eok:G2583_3435
ko:K00799	eok:G2583_2030
ko:K02226	eok:G2583_0801
ko:K10038	eok:G2583_1037
ko:K04772	eok:G2583_3954
ko:K05540	eok:G2583_3979
ko:K01664	eok:G2583_4066
ko:K03767	eok:G2583_4069
ko:K10708	eok:G2583_4077
ko:K10709	eok:G2583_4078
ko:K10711	eok:G2583_4080
ko:K03445	eok:G2583_4451
ko:K08177	eok:G2583_4289
ko:K08351	eok:G2583_4293
ko:K07726	eok:G2583_4297
ko:K00835	eok:G2583_4314
ko:K07274	eok:G2583_4319
ko:K01139	eok:G2583_4386
ko:K08154	eok:G2583_4468
ko:K01271	eok:G2583_4645
ko:K00124	eok:G2583_4697
ko:K11201	eok:G2583_4704
ko:K01739	eok:G2583_4751
ko:K00297	eok:G2583_4753
ko:K00344	eok:G2583_4875
ko:K04017	eok:G2583_4900
ko:K03762	eok:G2583_4937
ko:K01582	eok:G2583_4958
ko:K00537	eok:G2583_3018
ko:K13892	eok:G2583_1057
ko:K10985	eok:G2583_3863
ko:K02057	eok:G2583_3076
ko:K05812	eok:G2583_3166
ko:K02001	eok:G2583_3326
ko:K08305	eok:G2583_3349
ko:K00956	eok:G2583_3399
ko:K00652	eok:G2583_3704
ko:K05685	eok:G2583_1116
ko:K00879	eok:G2583_3456
ko:K01766	eok:G2583_3464
ko:K00087	eok:G2583_3520
ko:K01487	eok:G2583_3537
ko:K02799	eok:G2583_3591
ko:K02800	eok:G2583_3591
ko:K02798	eok:G2583_3592
ko:K01150	eok:G2583_3604
ko:K13889	eok:G2583_1058
ko:K13890	eok:G2583_1059
ko:K05817	eok:G2583_3067
ko:K00529	eok:G2583_3072
ko:K01420	eok:G2583_1682
ko:K13637	eok:G2583_5125
ko:K03892	eok:G2583_4227
ko:K19124	eok:G2583_3406
ko:K11991	eok:G2583_3090
ko:K13926	eok:G2583_4213
ko:K00971	eok:G2583_2572
ko:K00537	eok:G2583_4229
ko:K07459	eok:G2583_1113
ko:K02485	eok:G2583_1509
ko:K00007	eok:G2583_2617
ko:K07246	eok:G2583_2247
ko:K13788	eok:G2583_2834
ko:K02462	eok:G2583_pO550067
ko:K02462	eok:G2583_3677
ko:K04091	eok:G2583_1170
ko:K04750	eok:G2583_4933
ko:K01187	eok:G2583_0511
ko:K01169	eok:G2583_0775
ko:K01835	eok:G2583_0849
ko:K13053	eok:G2583_1193
ko:K01708	eok:G2583_3850
ko:K01079	eok:G2583_5247
ko:K07353	eok:G2583_0651
ko:K07346	eok:G2583_5117
ko:K11745	eok:G2583_0049
ko:K02099	eok:G2583_0067
ko:K01582	eok:G2583_0189
ko:K01069	eok:G2583_0216
ko:K06887	eok:G2583_0225
ko:K11905	eok:G2583_0237
ko:K11904	eok:G2583_0244
ko:K01270	eok:G2583_0273
ko:K13735	eok:G2583_0397
ko:K00108	eok:G2583_0415
ko:K00130	eok:G2583_0416
ko:K12678	eok:G2583_0419
ko:K02057	eok:G2583_0434
ko:K02057	eok:G2583_0433
ko:K02056	eok:G2583_0432
ko:K02058	eok:G2583_0431
ko:K03417	eok:G2583_0442
ko:K01659	eok:G2583_0443
ko:K01485	eok:G2583_0448
ko:K05712	eok:G2583_0460
ko:K02554	eok:G2583_0463
ko:K01077	eok:G2583_0491
ko:K00564	eok:G2583_5172
