ko:K02058	mhal:N220_07840
ko:K03495	mhal:N220_00005
ko:K03297	mhal:N220_00630
ko:K02487	mhal:N220_08360
ko:K07464	mhal:N220_05445
ko:K18136	mhal:N220_06225
ko:K01185	mhal:N220_05905
ko:K21449	mhal:N220_01820
ko:K19227	mhal:N220_05830
ko:K01791	mhal:N220_13925
ko:K01156	mhal:N220_06725
ko:K01139	mhal:N220_02065
ko:K19230	mhal:N220_10405
ko:K07012	mhal:N220_08695
ko:K07316	mhal:N220_06720
ko:K19229	mhal:N220_05840
ko:K04017	mhal:N220_02815
ko:K01420	mhal:N220_06165
ko:K01185	mhal:N220_05555
ko:K08316	mhal:N220_10885
ko:K11070	mhal:N220_10935
ko:K07113	mhal:N220_02520
ko:K06181	mhal:N220_02530
ko:K03426	mhal:N220_02535
ko:K05539	mhal:N220_02560
ko:K01704	mhal:N220_02575
ko:K01703	mhal:N220_02580
ko:K15580	mhal:N220_02585
ko:K01512	mhal:N220_02590
ko:K01256	mhal:N220_02595
ko:K07226	mhal:N220_02600
ko:K16087	mhal:N220_02610
ko:K03834	mhal:N220_02620
ko:K03723	mhal:N220_02625
ko:K09803	mhal:N220_02630
ko:K11605	mhal:N220_02685
ko:K11606	mhal:N220_02690
ko:K06941	mhal:N220_02705
ko:K02656	mhal:N220_02720
ko:K06959	mhal:N220_02725
ko:K04773	mhal:N220_02735
ko:K14153	mhal:N220_02750
ko:K00878	mhal:N220_02760
ko:K11258	mhal:N220_02775
ko:K01652	mhal:N220_02780
ko:K03385	mhal:N220_02785
ko:K04013	mhal:N220_02790
ko:K04014	mhal:N220_02795
ko:K04016	mhal:N220_02805
ko:K01000	mhal:N220_11660
ko:K01925	mhal:N220_11665
ko:K03588	mhal:N220_11670
ko:K02563	mhal:N220_11675
ko:K01924	mhal:N220_11680
ko:K01921	mhal:N220_11685
ko:K03589	mhal:N220_11690
ko:K03590	mhal:N220_11695
ko:K03531	mhal:N220_11700
ko:K02535	mhal:N220_11705
ko:K03631	mhal:N220_11710
ko:K02339	mhal:N220_11780
ko:K01873	mhal:N220_11815
ko:K01057	mhal:N220_11840
ko:K00036	mhal:N220_11845
ko:K08312	mhal:N220_11855
ko:K04762	mhal:N220_11860
ko:K04083	mhal:N220_11870
ko:K11755	mhal:N220_11880
ko:K02500	mhal:N220_11890
ko:K01814	mhal:N220_11895
ko:K02501	mhal:N220_11905
ko:K01089	mhal:N220_11920
ko:K00817	mhal:N220_11925
ko:K18828	mhal:N220_02645
ko:K00951	mhal:N220_04480
ko:K01897	mhal:N220_10530
ko:K01897	mhal:N220_04440
ko:K07316	mhal:N220_06715
ko:K03559	mhal:N220_10715
ko:K03604	mhal:N220_08610
ko:K01190	mhal:N220_12320
ko:K01990	mhal:N220_03560
ko:K14237	mhal:N220_06135
ko:K14220	mhal:N220_00760
ko:K14220	mhal:N220_00770
ko:K14220	mhal:N220_09255
ko:K14233	mhal:N220_09435
ko:K14233	mhal:N220_11760
ko:K14232	mhal:N220_09600
ko:K14232	mhal:N220_12955
ko:K01985	mhal:N220_02485
ko:K01985	mhal:N220_12760
ko:K01985	mhal:N220_13810
ko:K01985	mhal:N220_12930
ko:K01985	mhal:N220_10275
ko:K01985	mhal:N220_13505
ko:K01980	mhal:N220_10280
ko:K01980	mhal:N220_13815
ko:K01980	mhal:N220_12935
ko:K01980	mhal:N220_02480
ko:K01980	mhal:N220_12765
ko:K01980	mhal:N220_13510
ko:K14224	mhal:N220_02475
ko:K14224	mhal:N220_13515
ko:K14224	mhal:N220_12770
ko:K01977	mhal:N220_02470
ko:K01977	mhal:N220_10295
ko:K01977	mhal:N220_12950
ko:K01977	mhal:N220_13830
ko:K01977	mhal:N220_12775
ko:K01977	mhal:N220_13520
ko:K14228	mhal:N220_11175
ko:K14219	mhal:N220_12965
ko:K10439	mhal:N220_02370
ko:K00852	mhal:N220_02375
ko:K02564	mhal:N220_02405
ko:K01572	mhal:N220_02425
ko:K01571	mhal:N220_02430
ko:K04085	mhal:N220_02510
ko:K01258	mhal:N220_02650
ko:K02017	mhal:N220_03580
ko:K01270	mhal:N220_03600
ko:K00769	mhal:N220_03615
ko:K08357	mhal:N220_03635
ko:K08359	mhal:N220_03640
ko:K08358	mhal:N220_03645
ko:K13040	mhal:N220_03670
ko:K13041	mhal:N220_03675
ko:K00568	mhal:N220_03685
ko:K07343	mhal:N220_03755
ko:K01785	mhal:N220_03815
ko:K07098	mhal:N220_03840
ko:K01409	mhal:N220_04050
ko:K02549	mhal:N220_04130
ko:K06183	mhal:N220_04135
ko:K06177	mhal:N220_04175
ko:K01760	mhal:N220_04210
ko:K09909	mhal:N220_04300
ko:K02824	mhal:N220_03900
ko:K07034	mhal:N220_03950
ko:K03972	mhal:N220_03965
ko:K02778	mhal:N220_03980
ko:K02779	mhal:N220_03980
ko:K11179	mhal:N220_03995
ko:K11069	mhal:N220_04375
ko:K03803	mhal:N220_04435
ko:K02031	mhal:N220_04505
ko:K02034	mhal:N220_04505
ko:K02033	mhal:N220_04510
ko:K02035	mhal:N220_04515
ko:K06889	mhal:N220_04585
ko:K15583	mhal:N220_04745
ko:K10823	mhal:N220_04750
ko:K01674	mhal:N220_04755
ko:K01674	mhal:N220_04760
ko:K00652	mhal:N220_04780
ko:K00567	mhal:N220_05015
ko:K04488	mhal:N220_05035
ko:K13628	mhal:N220_05040
ko:K00974	mhal:N220_05085
ko:K02506	mhal:N220_05130
ko:K00882	mhal:N220_05340
ko:K00700	mhal:N220_05350
ko:K07491	mhal:N220_05405
ko:K10439	mhal:N220_00075
ko:K10440	mhal:N220_00080
ko:K02116	mhal:N220_00140
ko:K03718	mhal:N220_00190
ko:K01639	mhal:N220_00280
ko:K01788	mhal:N220_00290
ko:K03499	mhal:N220_00345
ko:K10439	mhal:N220_00370
ko:K10440	mhal:N220_00375
ko:K02783	mhal:N220_00515
ko:K02782	mhal:N220_00520
ko:K02783	mhal:N220_00520
ko:K00068	mhal:N220_00530
ko:K02466	mhal:N220_00535
ko:K02798	mhal:N220_00565
ko:K02799	mhal:N220_00565
ko:K02800	mhal:N220_00565
ko:K00854	mhal:N220_00625
ko:K07792	mhal:N220_00645
ko:K02050	mhal:N220_00675
