ko:K22617	pfx:A7318_06110
ko:K21430	pfx:A7318_14025
ko:K21449	pfx:A7318_28070
ko:K01007	pfx:A7318_19800
ko:K12979	pfx:A7318_14045
ko:K12979	pfx:A7318_06865
ko:K12979	pfx:A7318_07135
ko:K22589	pfx:A7318_11950
ko:K03892	pfx:A7318_13000
ko:K01800	pfx:A7318_04465
ko:K21645	pfx:A7318_26970
ko:K14235	pfx:A7318_23470
ko:K14223	pfx:A7318_02860
ko:K14228	pfx:A7318_21915
ko:K22468	pfx:A7318_12885
ko:K14219	pfx:A7318_16585
ko:K14225	pfx:A7318_23460
ko:K14230	pfx:A7318_02995
ko:K14228	pfx:A7318_23035
ko:K21699	pfx:A7318_01695
ko:K14221	pfx:A7318_08515
ko:K14224	pfx:A7318_08270
ko:K22003	pfx:A7318_06605
ko:K01046	pfx:A7318_02200
ko:K22486	pfx:A7318_19730
ko:K00066	pfx:A7318_04290
ko:K09861	pfx:A7318_04295
ko:K07175	pfx:A7318_04305
ko:K03637	pfx:A7318_04310
ko:K03636	pfx:A7318_04315
ko:K03635	pfx:A7318_04320
ko:K03732	pfx:A7318_04325
ko:K06999	pfx:A7318_04330
ko:K09969	pfx:A7318_04335
ko:K09970	pfx:A7318_04340
ko:K09971	pfx:A7318_04345
ko:K09972	pfx:A7318_04350
ko:K13655	pfx:A7318_04355
ko:K03449	pfx:A7318_04365
ko:K07687	pfx:A7318_04420
ko:K07461	pfx:A7318_04430
ko:K02014	pfx:A7318_04440
ko:K07259	pfx:A7318_04445
ko:K00451	pfx:A7318_04455
ko:K01555	pfx:A7318_04460
ko:K08195	pfx:A7318_04470
ko:K00263	pfx:A7318_04480
ko:K09918	pfx:A7318_04485
ko:K03837	pfx:A7318_04500
ko:K16135	pfx:A7318_08725
ko:K01704	pfx:A7318_08730
ko:K01703	pfx:A7318_08735
ko:K09815	pfx:A7318_08760
ko:K09817	pfx:A7318_08765
ko:K09816	pfx:A7318_08770
ko:K05515	pfx:A7318_08780
ko:K02014	pfx:A7318_08795
ko:K02336	pfx:A7318_08800
ko:K11208	pfx:A7318_08810
ko:K21005	pfx:A7318_08820
ko:K21004	pfx:A7318_08825
ko:K21003	pfx:A7318_08830
ko:K21002	pfx:A7318_08835
ko:K21001	pfx:A7318_08840
ko:K21000	pfx:A7318_08845
ko:K20999	pfx:A7318_08850
ko:K20998	pfx:A7318_08855
ko:K20987	pfx:A7318_08860
ko:K12992	pfx:A7318_08865
ko:K16011	pfx:A7318_08870
ko:K20997	pfx:A7318_08875
ko:K18199	pfx:A7318_08895
ko:K00034	pfx:A7318_08920
ko:K00616	pfx:A7318_08930
ko:K00059	pfx:A7318_08940
ko:K18896	pfx:A7318_08950
ko:K00860	pfx:A7318_08960
ko:K03088	pfx:A7318_08970
ko:K07165	pfx:A7318_08975
ko:K16091	pfx:A7318_08980
ko:K11904	pfx:A7318_09005
ko:K00575	pfx:A7318_13260
ko:K03412	pfx:A7318_13265
ko:K08482	pfx:A7318_13290
ko:K00626	pfx:A7318_13310
ko:K01692	pfx:A7318_13320
ko:K07168	pfx:A7318_13335
ko:K11901	pfx:A7318_13340
ko:K00012	pfx:A7318_13350
ko:K12963	pfx:A7318_13355
ko:K12962	pfx:A7318_13360
ko:K07264	pfx:A7318_13365
ko:K13014	pfx:A7318_13370
ko:K10011	pfx:A7318_13375
ko:K10012	pfx:A7318_13380
ko:K07552	pfx:A7318_13400
ko:K03406	pfx:A7318_13405
ko:K01003	pfx:A7318_13420
ko:K18093	pfx:A7318_13425
ko:K03406	pfx:A7318_13430
ko:K08303	pfx:A7318_13445
ko:K03719	pfx:A7318_13455
ko:K00854	pfx:A7318_13465
ko:K02529	pfx:A7318_13470
ko:K10439	pfx:A7318_13475
ko:K10440	pfx:A7318_13480
ko:K10441	pfx:A7318_13485
ko:K11443	pfx:A7318_13495
ko:K01560	pfx:A7318_13510
ko:K01817	pfx:A7318_17735
ko:K06173	pfx:A7318_17740
ko:K08086	pfx:A7318_17745
ko:K00133	pfx:A7318_17755
ko:K00052	pfx:A7318_17760
ko:K01704	pfx:A7318_17770
ko:K01703	pfx:A7318_17775
ko:K05541	pfx:A7318_17805
ko:K07107	pfx:A7318_17810
ko:K01885	pfx:A7318_17860
ko:K03702	pfx:A7318_17865
ko:K00832	pfx:A7318_17870
ko:K08324	pfx:A7318_17885
ko:K01173	pfx:A7318_17910
ko:K02016	pfx:A7318_17925
ko:K02015	pfx:A7318_17930
ko:K02013	pfx:A7318_17935
ko:K03789	pfx:A7318_17950
ko:K05770	pfx:A7318_17960
ko:K09962	pfx:A7318_17965
ko:K00799	pfx:A7318_18005
ko:K03710	pfx:A7318_22170
ko:K08289	pfx:A7318_22200
ko:K03106	pfx:A7318_22220
ko:K02959	pfx:A7318_22225
ko:K02860	pfx:A7318_22230
ko:K00554	pfx:A7318_22235
ko:K02884	pfx:A7318_22240
ko:K04763	pfx:A7318_22250
ko:K03981	pfx:A7318_22255
ko:K00003	pfx:A7318_22260
ko:K01733	pfx:A7318_22265
ko:K07462	pfx:A7318_22290
ko:K14205	pfx:A7318_22300
ko:K02346	pfx:A7318_22310
ko:K01881	pfx:A7318_22320
ko:K08218	pfx:A7318_22325
ko:K07443	pfx:A7318_22330
ko:K07226	pfx:A7318_22340
ko:K07113	pfx:A7318_22345
ko:K04078	pfx:A7318_22350
ko:K04077	pfx:A7318_22355
ko:K18138	pfx:A7318_22385
ko:K03585	pfx:A7318_22390
ko:K09947	pfx:A7318_22395
ko:K07338	pfx:A7318_22400
ko:K03406	pfx:A7318_22415
ko:K09790	pfx:A7318_22420
ko:K07215	pfx:A7318_22425
ko:K16087	pfx:A7318_22430
ko:K07165	pfx:A7318_22435
