ko:K01966	cpz:CpPAT10_0492
ko:K01992	cpz:CpPAT10_0333
ko:K01992	cpz:CpPAT10_1093
ko:K01992	cpz:CpPAT10_1625
ko:K12574	cpz:CpPAT10_1260
ko:K00849	cpz:CpPAT10_0808
ko:K05592	cpz:CpPAT10_0809
ko:K00782	cpz:CpPAT10_0825
ko:K03303	cpz:CpPAT10_0828
ko:K01887	cpz:CpPAT10_0829
ko:K01586	cpz:CpPAT10_0830
ko:K00003	cpz:CpPAT10_0831
ko:K00872	cpz:CpPAT10_0832
ko:K03628	cpz:CpPAT10_0835
ko:K02835	cpz:CpPAT10_0836
ko:K02493	cpz:CpPAT10_0837
ko:K02108	cpz:CpPAT10_0841
ko:K02110	cpz:CpPAT10_0842
ko:K02109	cpz:CpPAT10_0843
ko:K02113	cpz:CpPAT10_0844
ko:K02111	cpz:CpPAT10_0845
ko:K02115	cpz:CpPAT10_0846
ko:K02112	cpz:CpPAT10_0847
ko:K02114	cpz:CpPAT10_0848
ko:K05606	cpz:CpPAT10_0851
ko:K05838	cpz:CpPAT10_0853
ko:K02013	cpz:CpPAT10_0856
ko:K03521	cpz:CpPAT10_0859
ko:K03522	cpz:CpPAT10_0860
ko:K04487	cpz:CpPAT10_0861
ko:K07124	cpz:CpPAT10_1635
ko:K13288	cpz:CpPAT10_1636
ko:K01714	cpz:CpPAT10_1637
ko:K08281	cpz:CpPAT10_1640
ko:K03564	cpz:CpPAT10_1643
ko:K00997	cpz:CpPAT10_1645
ko:K11533	cpz:CpPAT10_1646
ko:K00989	cpz:CpPAT10_1656
ko:K01776	cpz:CpPAT10_1658
ko:K00763	cpz:CpPAT10_1662
ko:K01079	cpz:CpPAT10_1665
ko:K02217	cpz:CpPAT10_1674
ko:K06891	cpz:CpPAT10_1661
ko:K03648	cpz:CpPAT10_0914
ko:K03655	cpz:CpPAT10_0916
ko:K00954	cpz:CpPAT10_0919
ko:K07090	cpz:CpPAT10_0920
ko:K02029	cpz:CpPAT10_0923
ko:K02945	cpz:CpPAT10_0929
ko:K00859	cpz:CpPAT10_0932
ko:K03702	cpz:CpPAT10_0934
ko:K03701	cpz:CpPAT10_0939
ko:K02520	cpz:CpPAT10_0940
ko:K02916	cpz:CpPAT10_0941
ko:K02887	cpz:CpPAT10_0942
ko:K03437	cpz:CpPAT10_0944
ko:K01889	cpz:CpPAT10_0945
ko:K01890	cpz:CpPAT10_0946
ko:K00145	cpz:CpPAT10_0946a
ko:K00620	cpz:CpPAT10_0947
ko:K00930	cpz:CpPAT10_0948
ko:K00611	cpz:CpPAT10_0950
ko:K03402	cpz:CpPAT10_0951
ko:K01940	cpz:CpPAT10_0952
ko:K01755	cpz:CpPAT10_0953
ko:K09791	cpz:CpPAT10_0954
ko:K01866	cpz:CpPAT10_0955
ko:K06442	cpz:CpPAT10_0959
ko:K00858	cpz:CpPAT10_0960
ko:K03631	cpz:CpPAT10_0961
ko:K01952	cpz:CpPAT10_1730
ko:K00432	cpz:CpPAT10_1731
ko:K01354	cpz:CpPAT10_1732
ko:K01923	cpz:CpPAT10_1734
ko:K01756	cpz:CpPAT10_1735
ko:K01945	cpz:CpPAT10_1738
ko:K00156	cpz:CpPAT10_1749
ko:K00697	cpz:CpPAT10_1753
ko:K01087	cpz:CpPAT10_1755
ko:K03218	cpz:CpPAT10_1758
ko:K01883	cpz:CpPAT10_1759
ko:K01770	cpz:CpPAT10_1760
ko:K00991	cpz:CpPAT10_1761
ko:K07736	cpz:CpPAT10_1762
ko:K04485	cpz:CpPAT10_1767
ko:K01673	cpz:CpPAT10_1769
ko:K03575	cpz:CpPAT10_1770
ko:K03696	cpz:CpPAT10_1773
ko:K04567	cpz:CpPAT10_1779
ko:K02313	cpz:CpPAT10_0001
ko:K02338	cpz:CpPAT10_0003
ko:K03629	cpz:CpPAT10_0004
ko:K02470	cpz:CpPAT10_0006
ko:K01012	cpz:CpPAT10_0061
ko:K01241	cpz:CpPAT10_0064
ko:K01858	cpz:CpPAT10_0067
ko:K06966	cpz:CpPAT10_0074
ko:K07090	cpz:CpPAT10_0081
ko:K06207	cpz:CpPAT10_0766
ko:K06966	cpz:CpPAT10_0779
ko:K00796	cpz:CpPAT10_0780
ko:K00563	cpz:CpPAT10_0783
ko:K01193	cpz:CpPAT10_0784
ko:K01575	cpz:CpPAT10_0785
ko:K00975	cpz:CpPAT10_0787
ko:K03088	cpz:CpPAT10_0789
ko:K03117	cpz:CpPAT10_0791
ko:K00014	cpz:CpPAT10_0799
ko:K00965	cpz:CpPAT10_0807
ko:K00931	cpz:CpPAT10_1584
ko:K03979	cpz:CpPAT10_1585
ko:K02899	cpz:CpPAT10_1586
ko:K02888	cpz:CpPAT10_1587
ko:K00940	cpz:CpPAT10_1591
ko:K11754	cpz:CpPAT10_1594
ko:K01873	cpz:CpPAT10_1595
ko:K00024	cpz:CpPAT10_1596
ko:K03544	cpz:CpPAT10_1599
ko:K13950	cpz:CpPAT10_1600
ko:K01358	cpz:CpPAT10_1601
ko:K01358	cpz:CpPAT10_1602
ko:K03545	cpz:CpPAT10_1603
ko:K06911	cpz:CpPAT10_1606
ko:K01808	cpz:CpPAT10_1607
ko:K06886	cpz:CpPAT10_1611
ko:K09936	cpz:CpPAT10_1612
ko:K07107	cpz:CpPAT10_1614
ko:K09136	cpz:CpPAT10_1619
ko:K09136	cpz:CpPAT10_1624
ko:K06200	cpz:CpPAT10_1630
ko:K14645	cpz:CpPAT10_1632
ko:K03820	cpz:CpPAT10_1016
ko:K07113	cpz:CpPAT10_1017
ko:K02230	cpz:CpPAT10_1018
ko:K02229	cpz:CpPAT10_1019
ko:K06042	cpz:CpPAT10_1020
ko:K05895	cpz:CpPAT10_1022
ko:K05936	cpz:CpPAT10_1023
ko:K03118	cpz:CpPAT10_1028
ko:K03116	cpz:CpPAT10_1029
ko:K01938	cpz:CpPAT10_1040
ko:K01744	cpz:CpPAT10_1041
ko:K07791	cpz:CpPAT10_1042
ko:K00765	cpz:CpPAT10_1043
ko:K06153	cpz:CpPAT10_1049
ko:K05881	cpz:CpPAT10_1056
ko:K05879	cpz:CpPAT10_1057
ko:K05878	cpz:CpPAT10_1058
ko:K08289	cpz:CpPAT10_1839
ko:K07101	cpz:CpPAT10_1840
ko:K07399	cpz:CpPAT10_1848
ko:K03385	cpz:CpPAT10_1850
ko:K15876	cpz:CpPAT10_1851
ko:K01939	cpz:CpPAT10_1852
ko:K01624	cpz:CpPAT10_1864
ko:K00762	cpz:CpPAT10_1867
ko:K00111	cpz:CpPAT10_1870
ko:K03695	cpz:CpPAT10_1878
ko:K03312	cpz:CpPAT10_1882
ko:K02003	cpz:CpPAT10_1889
ko:K02469	cpz:CpPAT10_0011
ko:K02057	cpz:CpPAT10_0017
ko:K02013	cpz:CpPAT10_0028
ko:K02015	cpz:CpPAT10_0029
ko:K02015	cpz:CpPAT10_0030
ko:K02016	cpz:CpPAT10_0031
ko:K02016	cpz:CpPAT10_0043
ko:K02013	cpz:CpPAT10_0044
ko:K02015	cpz:CpPAT10_0045
ko:K06213	cpz:CpPAT10_0046
ko:K05343	cpz:CpPAT10_0047
ko:K03088	cpz:CpPAT10_0052
ko:K05846	cpz:CpPAT10_0056
ko:K05846	cpz:CpPAT10_0057
ko:K05847	cpz:CpPAT10_0058
