ko:K11749	dmx:X792_01775
ko:K19221	dmx:X792_05630
ko:K02031	dmx:X792_06975
ko:K02032	dmx:X792_06970
ko:K01985	dmx:X792_00280
ko:K14218	dmx:X792_07810
ko:K03551	dmx:X792_00995
ko:K02227	dmx:X792_00380
ko:K17734	dmx:X792_01075
ko:K04763	dmx:X792_01100
ko:K07164	dmx:X792_01720
ko:K03469	dmx:X792_01725
ko:K06940	dmx:X792_03045
ko:K03273	dmx:X792_01410
ko:K03284	dmx:X792_02035
ko:K06966	dmx:X792_03145
ko:K01999	dmx:X792_04270
ko:K02650	dmx:X792_06370
ko:K01007	dmx:X792_02685
ko:K19221	dmx:X792_05345
ko:K00180	dmx:X792_04295
ko:K04488	dmx:X792_04310
ko:K08982	dmx:X792_04315
ko:K17686	dmx:X792_04320
ko:K13993	dmx:X792_04325
ko:K03594	dmx:X792_04330
ko:K04564	dmx:X792_04335
ko:K02500	dmx:X792_04370
ko:K09720	dmx:X792_04375
ko:K18707	dmx:X792_04380
ko:K09458	dmx:X792_04385
ko:K07462	dmx:X792_04390
ko:K08591	dmx:X792_04395
ko:K13292	dmx:X792_04400
ko:K06877	dmx:X792_04405
ko:K09764	dmx:X792_04410
ko:K02956	dmx:X792_04415
ko:K00962	dmx:X792_04420
ko:K00215	dmx:X792_04425
ko:K00133	dmx:X792_04430
ko:K01714	dmx:X792_04435
ko:K01939	dmx:X792_04450
ko:K00995	dmx:X792_04455
ko:K08256	dmx:X792_04460
ko:K01858	dmx:X792_04465
ko:K03177	dmx:X792_04475
ko:K02834	dmx:X792_04480
ko:K02519	dmx:X792_04485
ko:K07742	dmx:X792_04490
ko:K02600	dmx:X792_04495
ko:K07391	dmx:X792_04500
ko:K02935	dmx:X792_04520
ko:K02864	dmx:X792_04525
ko:K02863	dmx:X792_04530
ko:K02867	dmx:X792_04535
ko:K02601	dmx:X792_04540
ko:K03073	dmx:X792_04545
ko:K02913	dmx:X792_04550
ko:K02358	dmx:X792_04555
ko:K15521	dmx:X792_04580
ko:K07089	dmx:X792_04595
ko:K01912	dmx:X792_04640
ko:K03685	dmx:X792_04710
ko:K01512	dmx:X792_04720
ko:K01255	dmx:X792_04730
ko:K01897	dmx:X792_04745
ko:K06001	dmx:X792_04755
ko:K01870	dmx:X792_04770
ko:K06346	dmx:X792_04775
ko:K03217	dmx:X792_04780
ko:K03536	dmx:X792_04790
ko:K02914	dmx:X792_04795
ko:K02963	dmx:X792_04800
ko:K03111	dmx:X792_04805
ko:K02990	dmx:X792_04810
ko:K15383	dmx:X792_04985
ko:K09022	dmx:X792_05155
ko:K03631	dmx:X792_05170
ko:K10823	dmx:X792_05195
ko:K15583	dmx:X792_05200
ko:K15582	dmx:X792_05205
ko:K15581	dmx:X792_05210
ko:K15580	dmx:X792_05215
ko:K07576	dmx:X792_05220
ko:K03215	dmx:X792_05240
ko:K01673	dmx:X792_05245
ko:K06287	dmx:X792_05250
ko:K01950	dmx:X792_05260
ko:K01915	dmx:X792_05265
ko:K04751	dmx:X792_05270
ko:K03320	dmx:X792_05275
ko:K02500	dmx:X792_05295
ko:K02501	dmx:X792_05310
ko:K00196	dmx:X792_05315
ko:K01738	dmx:X792_05325
ko:K02227	dmx:X792_05340
ko:K03711	dmx:X792_05390
ko:K06147	dmx:X792_05405
ko:K06147	dmx:X792_05410
ko:K03523	dmx:X792_05425
ko:K00794	dmx:X792_05440
ko:K14652	dmx:X792_05445
ko:K00793	dmx:X792_05450
ko:K11752	dmx:X792_05455
ko:K09807	dmx:X792_05460
ko:K03100	dmx:X792_05465
ko:K00762	dmx:X792_05470
ko:K03572	dmx:X792_05480
ko:K03657	dmx:X792_05485
ko:K02825	dmx:X792_05495
ko:K07343	dmx:X792_05795
ko:K02669	dmx:X792_05835
ko:K00620	dmx:X792_05840
ko:K00930	dmx:X792_05845
ko:K01940	dmx:X792_05860
ko:K01755	dmx:X792_05865
ko:K02902	dmx:X792_05870
ko:K07030	dmx:X792_05875
ko:K03655	dmx:X792_05900
ko:K01887	dmx:X792_05910
ko:K00208	dmx:X792_05920
ko:K02911	dmx:X792_05935
ko:K00645	dmx:X792_05940
ko:K00059	dmx:X792_05945
ko:K03625	dmx:X792_05950
ko:K02078	dmx:X792_05955
ko:K03723	dmx:X792_05965
ko:K00931	dmx:X792_05970
ko:K00147	dmx:X792_06000
ko:K00989	dmx:X792_06005
ko:K03743	dmx:X792_06015
ko:K09131	dmx:X792_06020
ko:K06207	dmx:X792_06050
ko:K02654	dmx:X792_06375
ko:K05947	dmx:X792_06380
ko:K01885	dmx:X792_06390
ko:K04070	dmx:X792_06405
ko:K07042	dmx:X792_06415
ko:K17828	dmx:X792_06425
ko:K03101	dmx:X792_06435
ko:K06180	dmx:X792_06440
ko:K00767	dmx:X792_06470
ko:K00278	dmx:X792_06475
ko:K03210	dmx:X792_06480
ko:K06168	dmx:X792_06485
ko:K03282	dmx:X792_06495
ko:K10563	dmx:X792_06505
ko:K00611	dmx:X792_06535
ko:K03977	dmx:X792_06540
ko:K08591	dmx:X792_06545
ko:K00057	dmx:X792_06550
ko:K03686	dmx:X792_06555
ko:K04043	dmx:X792_06560
ko:K03687	dmx:X792_06565
ko:K03705	dmx:X792_06570
ko:K07502	dmx:X792_06585
ko:K03628	dmx:X792_06600
ko:K00616	dmx:X792_06605
ko:K01937	dmx:X792_06610
ko:K03686	dmx:X792_06615
ko:K13640	dmx:X792_06620
ko:K03696	dmx:X792_06625
ko:K00764	dmx:X792_06635
ko:K01933	dmx:X792_06640
ko:K00602	dmx:X792_06650
ko:K00763	dmx:X792_06655
ko:K02034	dmx:X792_06980
ko:K02033	dmx:X792_06985
ko:K02035	dmx:X792_06990
ko:K06199	dmx:X792_07005
ko:K07730	dmx:X792_07010
ko:K04759	dmx:X792_07025
ko:K04758	dmx:X792_07030
ko:K03664	dmx:X792_07040
ko:K07667	dmx:X792_07115
ko:K07667	dmx:X792_07150
ko:K12141	dmx:X792_07870
ko:K12140	dmx:X792_07875
ko:K03386	dmx:X792_07920
ko:K09981	dmx:X792_07940
ko:K03744	dmx:X792_07945
ko:K03799	dmx:X792_07950
ko:K00640	dmx:X792_07955
ko:K03926	dmx:X792_07960
ko:K03517	dmx:X792_07965
ko:K03183	dmx:X792_07970
ko:K03734	dmx:X792_07990
ko:K03118	dmx:X792_08005
ko:K03116	dmx:X792_08010
ko:K03116	dmx:X792_08015
ko:K03116	dmx:X792_08020
ko:K00796	dmx:X792_08025
ko:K00950	dmx:X792_08030
ko:K01737	dmx:X792_08035
ko:K03565	dmx:X792_08045
ko:K18682	dmx:X792_08050
ko:K09769	dmx:X792_08055
ko:K07053	dmx:X792_08060
ko:K07457	dmx:X792_08070
ko:K02594	dmx:X792_08080
ko:K01990	dmx:X792_08105
ko:K01992	dmx:X792_08110
