ko:K01980	tpas:TPSea814_00r05413
ko:K06881	tpas:TPSea814_000436
ko:K03406	tpas:TPSea814_000040
ko:K07507	tpas:TPSea814_000774
ko:K10773	tpas:TPSea814_000775
ko:K01950	tpas:TPSea814_000780
ko:K06861	tpas:TPSea814_000786
ko:K07003	tpas:TPSea814_000790
ko:K02406	tpas:TPSea814_000792
ko:K00789	tpas:TPSea814_000794
ko:K03734	tpas:TPSea814_000796
ko:K00286	tpas:TPSea814_000797
ko:K07258	tpas:TPSea814_000800
ko:K03694	tpas:TPSea814_000801
ko:K10112	tpas:TPSea814_000804
ko:K01147	tpas:TPSea814_000805
ko:K02911	tpas:TPSea814_000807
ko:K02078	tpas:TPSea814_000808
ko:K03685	tpas:TPSea814_000809
ko:K00384	tpas:TPSea814_000814
ko:K06976	tpas:TPSea814_000815
ko:K01689	tpas:TPSea814_000817
ko:K00784	tpas:TPSea814_000819
ko:K02073	tpas:TPSea814_000821
ko:K05919	tpas:TPSea814_000823
ko:K01662	tpas:TPSea814_000824
ko:K00997	tpas:TPSea814_000828
ko:K09766	tpas:TPSea814_000829
ko:K06173	tpas:TPSea814_000830
ko:K01887	tpas:TPSea814_000831
ko:K02064	tpas:TPSea814_000144
ko:K01897	tpas:TPSea814_000145
ko:K07240	tpas:TPSea814_000145a
ko:K07240	tpas:TPSea814_000145b
ko:K09775	tpas:TPSea814_000153
ko:K07107	tpas:TPSea814_000156
ko:K07025	tpas:TPSea814_000158
ko:K01881	tpas:TPSea814_000160
ko:K03551	tpas:TPSea814_000162
ko:K11707	tpas:TPSea814_000163
ko:K11710	tpas:TPSea814_000164
ko:K11708	tpas:TPSea814_000165
ko:K11709	tpas:TPSea814_000166
ko:K03709	tpas:TPSea814_000167
ko:K01834	tpas:TPSea814_000168
ko:K01243	tpas:TPSea814_000170
ko:K07566	tpas:TPSea814_000182
ko:K03664	tpas:TPSea814_000184
ko:K03100	tpas:TPSea814_000185
ko:K02358	tpas:TPSea814_000187
ko:K02946	tpas:TPSea814_000188
ko:K02906	tpas:TPSea814_000189
ko:K02926	tpas:TPSea814_000190
ko:K02892	tpas:TPSea814_000191
ko:K02886	tpas:TPSea814_000192
ko:K02965	tpas:TPSea814_000193
ko:K02890	tpas:TPSea814_000194
ko:K02982	tpas:TPSea814_000195
ko:K02878	tpas:TPSea814_000196
ko:K02904	tpas:TPSea814_000197
ko:K02338	tpas:TPSea814_000002
ko:K03629	tpas:TPSea814_000003
ko:K02469	tpas:TPSea814_000005
ko:K01890	tpas:TPSea814_000015
ko:K03308	tpas:TPSea814_000023
ko:K03499	tpas:TPSea814_000024
ko:K06972	tpas:TPSea814_000025
ko:K02410	tpas:TPSea814_000026
ko:K00790	tpas:TPSea814_000029
ko:K04077	tpas:TPSea814_000030
ko:K09761	tpas:TPSea814_000032
ko:K09815	tpas:TPSea814_000034
ko:K09817	tpas:TPSea814_000035
ko:K09816	tpas:TPSea814_000036
ko:K03778	tpas:TPSea814_0000037
ko:K07035	tpas:TPSea814_000038
ko:K01866	tpas:TPSea814_000834
ko:K01868	tpas:TPSea814_000837
ko:K01265	tpas:TPSea814_000842
ko:K00134	tpas:TPSea814_000844
ko:K09768	tpas:TPSea814_000845
ko:K02887	tpas:TPSea814_000848
ko:K02916	tpas:TPSea814_000849
ko:K02520	tpas:TPSea814_000850
ko:K13292	tpas:TPSea814_000852
ko:K04562	tpas:TPSea814_000853
ko:K00820	tpas:TPSea814_000861
ko:K03773	tpas:TPSea814_000862
ko:K04487	tpas:TPSea814_000863
ko:K07391	tpas:TPSea814_000865a
ko:K02406	tpas:TPSea814_000868
ko:K02406	tpas:TPSea814_000870
ko:K06925	tpas:TPSea814_000875
ko:K01992	tpas:TPSea814_000880
ko:K01990	tpas:TPSea814_000881
ko:K11720	tpas:TPSea814_000883
ko:K07091	tpas:TPSea814_000884
ko:K00962	tpas:TPSea814_000886
ko:K00057	tpas:TPSea814_001009
ko:K00940	tpas:TPSea814_001010
ko:K01056	tpas:TPSea814_001011
ko:K04078	tpas:TPSea814_001013
ko:K03625	tpas:TPSea814_001015
ko:K01872	tpas:TPSea814_001017
ko:K02435	tpas:TPSea814_001019
ko:K02433	tpas:TPSea814_001020
ko:K02434	tpas:TPSea814_001021
ko:K04485	tpas:TPSea814_001022
ko:K03565	tpas:TPSea814_001023
ko:K02996	tpas:TPSea814_001024
ko:K02871	tpas:TPSea814_001025
ko:K00757	tpas:TPSea814_001027
ko:K07001	tpas:TPSea814_001033
ko:K07301	tpas:TPSea814_001034
ko:K01873	tpas:TPSea814_001035
ko:K17686	tpas:TPSea814_001036
ko:K11068	tpas:TPSea814_001037
ko:K04047	tpas:TPSea814_001038
ko:K00759	tpas:TPSea814_001039
ko:K04568	tpas:TPSea814_001040
ko:K01358	tpas:TPSea814_001041
ko:K02961	tpas:TPSea814_000198
ko:K02874	tpas:TPSea814_000199
ko:K02895	tpas:TPSea814_000200
ko:K02931	tpas:TPSea814_000201
ko:K02954	tpas:TPSea814_000202
ko:K02994	tpas:TPSea814_000203
ko:K02933	tpas:TPSea814_000204
ko:K02881	tpas:TPSea814_000205
ko:K02988	tpas:TPSea814_000206
ko:K02907	tpas:TPSea814_000206a
ko:K02876	tpas:TPSea814_000207
ko:K03076	tpas:TPSea814_000208
ko:K02919	tpas:TPSea814_000209
ko:K02952	tpas:TPSea814_000210
ko:K02948	tpas:TPSea814_000211
ko:K03040	tpas:TPSea814_000212
ko:K02879	tpas:TPSea814_000213
ko:K03687	tpas:TPSea814_000215
ko:K04043	tpas:TPSea814_000216
ko:K03686	tpas:TPSea814_000217
ko:K07260	tpas:TPSea814_000221
ko:K16784	tpas:TPSea814_000227
ko:K03523	tpas:TPSea814_000228
ko:K04066	tpas:TPSea814_000230
ko:K06179	tpas:TPSea814_000231
ko:K02913	tpas:TPSea814_000234
ko:K03073	tpas:TPSea814_000235
ko:K02601	tpas:TPSea814_000236
ko:K02867	tpas:TPSea814_000237
ko:K02863	tpas:TPSea814_000238
ko:K02864	tpas:TPSea814_000239
ko:K02935	tpas:TPSea814_000240
ko:K03043	tpas:TPSea814_000241
ko:K03046	tpas:TPSea814_000242
ko:K02950	tpas:TPSea814_000243
ko:K02992	tpas:TPSea814_000244
ko:K08309	tpas:TPSea814_000043
ko:K03495	tpas:TPSea814_000044
ko:K01488	tpas:TPSea814_000045
ko:K09770	tpas:TPSea814_000047
ko:K07101	tpas:TPSea814_000050
ko:K02835	tpas:TPSea814_000051
ko:K02493	tpas:TPSea814_000052
ko:K01573	tpas:TPSea814_000055
ko:K01571	tpas:TPSea814_000056
ko:K01572	tpas:TPSea814_000057
ko:K02939	tpas:TPSea814_000060
ko:K02963	tpas:TPSea814_000061
ko:K02990	tpas:TPSea814_000063
ko:K06941	tpas:TPSea814_000068
ko:K03695	tpas:TPSea814_000071
ko:K02027	tpas:TPSea814_000074
ko:K02025	tpas:TPSea814_000075
ko:K02026	tpas:TPSea814_000076
ko:K12146	tpas:TPSea814_000082
ko:K09005	tpas:TPSea814_000087
ko:K00075	tpas:TPSea814_000090
ko:K01883	tpas:TPSea814_000091
ko:K03088	tpas:TPSea814_000092
ko:K02956	tpas:TPSea814_000887
ko:K11753	tpas:TPSea814_000888
ko:K03177	tpas:TPSea814_000889
ko:K02834	tpas:TPSea814_000890
ko:K02519	tpas:TPSea814_000891
ko:K02600	tpas:TPSea814_000892
ko:K09748	tpas:TPSea814_000893
ko:K03928	tpas:TPSea814_000902
ko:K01925	tpas:TPSea814_000903
ko:K02959	tpas:TPSea814_000905
ko:K06960	tpas:TPSea814_000906
ko:K02860	tpas:TPSea814_000907
ko:K00554	tpas:TPSea814_000908
ko:K02884	tpas:TPSea814_000909
ko:K04061	tpas:TPSea814_000911
ko:K07460	tpas:TPSea814_000913
ko:K06213	tpas:TPSea814_000917
ko:K03671	tpas:TPSea814_000919
ko:K03100	tpas:TPSea814_000926
ko:K01928	tpas:TPSea814_000933
ko:K07095	tpas:TPSea814_000937
ko:K03737	tpas:TPSea814_000939
ko:K02422	tpas:TPSea814_000943
ko:K01783	tpas:TPSea814_000945
ko:K01448	tpas:TPSea814_000247
ko:K02968	tpas:TPSea814_000249a
ko:K04764	tpas:TPSea814_000250
ko:K03820	tpas:TPSea814_000252
ko:K03628	tpas:TPSea814_000254
ko:K02909	tpas:TPSea814_000255
ko:K00995	tpas:TPSea814_000256
ko:K01126	tpas:TPSea814_000257
ko:K01619	tpas:TPSea814_000264
ko:K03311	tpas:TPSea814_000265
ko:K00974	tpas:TPSea814_000270
ko:K05946	tpas:TPSea814_000275
ko:K09761	tpas:TPSea814_000276
ko:K03797	tpas:TPSea814_000277
ko:K02945	tpas:TPSea814_000279
ko:K00954	tpas:TPSea814_000283
ko:K00948	tpas:TPSea814_000294
ko:K00859	tpas:TPSea814_000296
ko:K02058	tpas:TPSea814_000298
ko:K02056	tpas:TPSea814_000300
ko:K02057	tpas:TPSea814_000301
ko:K02057	tpas:TPSea814_000302
ko:K00625	tpas:TPSea814_000094
ko:K02518	tpas:TPSea814_000097
ko:K03686	tpas:TPSea814_000098
ko:K09903	tpas:TPSea814_000099
ko:K06196	tpas:TPSea814_000101
ko:K03654	tpas:TPSea814_000103
ko:K03451	tpas:TPSea814_000106
ko:K00850	tpas:TPSea814_000108
ko:K03218	tpas:TPSea814_000109
ko:K03092	tpas:TPSea814_000111
ko:K04088	tpas:TPSea814_000113
ko:K04087	tpas:TPSea814_000114
ko:K00868	tpas:TPSea814_000115
ko:K03702	tpas:TPSea814_000116
ko:K02072	tpas:TPSea814_000119
ko:K02071	tpas:TPSea814_000120
ko:K01596	tpas:TPSea814_000122
ko:K06942	tpas:TPSea814_000124
ko:K01142	tpas:TPSea814_000125
ko:K03499	tpas:TPSea814_000139
ko:K00567	tpas:TPSea814_000141
ko:K02062	tpas:TPSea814_000142
ko:K03501	tpas:TPSea814_000946
ko:K06346	tpas:TPSea814_000948
ko:K03217	tpas:TPSea814_000949
ko:K08998	tpas:TPSea814_000949a
ko:K03536	tpas:TPSea814_000949b
ko:K02914	tpas:TPSea814_000951
ko:K02395	tpas:TPSea814_000959
ko:K02392	tpas:TPSea814_000960
ko:K02004	tpas:TPSea814_000962
ko:K02004	tpas:TPSea814_000963
ko:K02003	tpas:TPSea814_000964
ko:K07230	tpas:TPSea814_000971
ko:K07243	tpas:TPSea814_000972
ko:K01889	tpas:TPSea814_000973
ko:K07056	tpas:TPSea814_000975
ko:K03101	tpas:TPSea814_000978
ko:K03424	tpas:TPSea814_000979
ko:K04079	tpas:TPSea814_000984
ko:K01876	tpas:TPSea814_000985
ko:K03642	tpas:TPSea814_000993
ko:K03572	tpas:TPSea814_000303
ko:K01937	tpas:TPSea814_000305
ko:K02986	tpas:TPSea814_000306
ko:K02030	tpas:TPSea814_000308
ko:K02030	tpas:TPSea814_000309
ko:K08974	tpas:TPSea814_000312
ko:K07335	tpas:TPSea814_000319
ko:K02056	tpas:TPSea814_000321
ko:K02057	tpas:TPSea814_000322
ko:K02057	tpas:TPSea814_000323
ko:K07277	tpas:TPSea814_000326
ko:K06142	tpas:TPSea814_000327
ko:K03555	tpas:TPSea814_000328
ko:K00600	tpas:TPSea814_000329
ko:K00033	tpas:TPSea814_000331
ko:K07052	tpas:TPSea814_000335
ko:K02528	tpas:TPSea814_000337
ko:K06180	tpas:TPSea814_000339
ko:K11754	tpas:TPSea814_000340
ko:K01924	tpas:TPSea814_000341
ko:K00945	tpas:TPSea814_000342
ko:K03575	tpas:TPSea814_000343
ko:K03723	tpas:TPSea814_000344
ko:K01000	tpas:TPSea814_000345
ko:K03775	tpas:TPSea814_000349
ko:K00147	tpas:TPSea814_000350
ko:K00931	tpas:TPSea814_000351
ko:K03469	tpas:TPSea814_000353
ko:K00943	tpas:TPSea814_000354
ko:K03524	tpas:TPSea814_000357
ko:K03424	tpas:TPSea814_000994
ko:K04773	tpas:TPSea814_000997
ko:K03310	tpas:TPSea814_000998
ko:K03466	tpas:TPSea814_000999
ko:K06187	tpas:TPSea814_001004
ko:K02343	tpas:TPSea814_001005
ko:K02470	tpas:TPSea814_001006
