ko:K14233	ctrz:A7249_00900
ko:K11645	ctrz:A7249_00229
ko:K02897	ctrz:A7249_00859
ko:K01056	ctrz:A7249_00860
ko:K02990	ctrz:A7249_00861
ko:K02963	ctrz:A7249_00862
ko:K02939	ctrz:A7249_00863
ko:K00919	ctrz:A7249_00864
ko:K00630	ctrz:A7249_00868
ko:K08301	ctrz:A7249_00869
ko:K02911	ctrz:A7249_00871
ko:K03621	ctrz:A7249_00872
ko:K03431	ctrz:A7249_00877
ko:K00820	ctrz:A7249_00878
ko:K03834	ctrz:A7249_00879
ko:K03834	ctrz:A7249_00881
ko:K06890	ctrz:A7249_00882
ko:K03110	ctrz:A7249_00883
ko:K01903	ctrz:A7249_00884
ko:K01902	ctrz:A7249_00885
ko:K09760	ctrz:A7249_00888
ko:K00075	ctrz:A7249_00894
ko:K02520	ctrz:A7249_00896
ko:K02916	ctrz:A7249_00897
ko:K02887	ctrz:A7249_00898
ko:K01889	ctrz:A7249_00899
ko:K11720	ctrz:A7249_00902
ko:K07091	ctrz:A7249_00903
ko:K04075	ctrz:A7249_00904
ko:K03798	ctrz:A7249_00905
ko:K00962	ctrz:A7249_00906
ko:K02956	ctrz:A7249_00907
ko:K01214	ctrz:A7249_00044
ko:K03733	ctrz:A7249_00369
ko:K06287	ctrz:A7249_00371
ko:K03075	ctrz:A7249_00374
ko:K01462	ctrz:A7249_00375
ko:K02528	ctrz:A7249_00376
ko:K06888	ctrz:A7249_00378
ko:K03523	ctrz:A7249_00382
ko:K01714	ctrz:A7249_00385
ko:K00928	ctrz:A7249_00386
ko:K00133	ctrz:A7249_00387
ko:K00215	ctrz:A7249_00388
ko:K00800	ctrz:A7249_00390
ko:K00891	ctrz:A7249_00391
ko:K01736	ctrz:A7249_00392
ko:K01735	ctrz:A7249_00393
ko:K13832	ctrz:A7249_00394
ko:K03758	ctrz:A7249_00398
ko:K03758	ctrz:A7249_00399
ko:K00024	ctrz:A7249_00402
ko:K01810	ctrz:A7249_00404
ko:K03665	ctrz:A7249_00405
ko:K06167	ctrz:A7249_00406
ko:K09996	ctrz:A7249_00407
ko:K06966	ctrz:A7249_00414
ko:K09131	ctrz:A7249_00415
ko:K10206	ctrz:A7249_00417
ko:K01881	ctrz:A7249_00420
ko:K03705	ctrz:A7249_00421
ko:K03687	ctrz:A7249_00422
ko:K01265	ctrz:A7249_00916
ko:K03321	ctrz:A7249_00921
ko:K03527	ctrz:A7249_00924
ko:K03641	ctrz:A7249_00640
ko:K03640	ctrz:A7249_00641
ko:K03648	ctrz:A7249_00650
ko:K03657	ctrz:A7249_00651
ko:K03092	ctrz:A7249_00652
ko:K06137	ctrz:A7249_00653
ko:K13941	ctrz:A7249_00656
ko:K01633	ctrz:A7249_00657
ko:K03086	ctrz:A7249_00658
ko:K02968	ctrz:A7249_00660
ko:K03980	ctrz:A7249_00667
ko:K01151	ctrz:A7249_00668
ko:K02986	ctrz:A7249_00669
ko:K07146	ctrz:A7249_00670
ko:K13789	ctrz:A7249_00671
ko:K01698	ctrz:A7249_00677
ko:K00346	ctrz:A7249_00678
ko:K03582	ctrz:A7249_00684
ko:K03583	ctrz:A7249_00685
ko:K03168	ctrz:A7249_00688
ko:K02221	ctrz:A7249_00690
ko:K04043	ctrz:A7249_00423
ko:K12573	ctrz:A7249_00424
ko:K07164	ctrz:A7249_00425
ko:K06041	ctrz:A7249_00426
ko:K00658	ctrz:A7249_00427
ko:K00912	ctrz:A7249_00429
ko:K03437	ctrz:A7249_00430
ko:K06969	ctrz:A7249_00431
ko:K00793	ctrz:A7249_00432
ko:K07738	ctrz:A7249_00433
ko:K06204	ctrz:A7249_00434
ko:K03101	ctrz:A7249_00435
ko:K03310	ctrz:A7249_00436
ko:K00748	ctrz:A7249_00438
ko:K09817	ctrz:A7249_00444
ko:K09816	ctrz:A7249_00445
ko:K03979	ctrz:A7249_00446
ko:K02899	ctrz:A7249_00447
ko:K02888	ctrz:A7249_00448
ko:K07042	ctrz:A7249_00453
ko:K03183	ctrz:A7249_00459
ko:K01778	ctrz:A7249_00461
ko:K01358	ctrz:A7249_00462
ko:K00600	ctrz:A7249_00463
ko:K01770	ctrz:A7249_00465
ko:K02946	ctrz:A7249_00467
