ko:K01212	bsy:I653_16755
ko:K02030	bsy:I653_11500
ko:K21900	bsy:I653_18470
ko:K21613	bsy:I653_14005
ko:K06979	bsy:I653_01230
ko:K16961	bsy:I653_19415
ko:K19551	bsy:I653_17020
ko:K22044	bsy:I653_07295
ko:K10040	bsy:I653_13045
ko:K19578	bsy:I653_11515
ko:K05592	bsy:I653_19205
ko:K19689	bsy:I653_07420
ko:K03297	bsy:I653_16260
ko:K18198	bsy:I653_03565
ko:K11741	bsy:I653_16775
ko:K18924	bsy:I653_16770
ko:K19417	bsy:I653_16705
ko:K18939	bsy:I653_01320
ko:K18939	bsy:I653_19625
ko:K07260	bsy:I653_10165
ko:K18926	bsy:I653_01315
ko:K07155	bsy:I653_19620
ko:K01732	bsy:I653_09705
ko:K19427	bsy:I653_16655
ko:K03296	bsy:I653_03350
ko:K03497	bsy:I653_20175
ko:K14742	bsy:I653_02980
ko:K03293	bsy:I653_16525
ko:K00571	bsy:I653_14100
ko:K18682	bsy:I653_08700
ko:K19563	bsy:I653_14470
ko:K09022	bsy:I653_00240
ko:K17234	bsy:I653_13730
ko:K07029	bsy:I653_03355
ko:K01233	bsy:I653_12750
ko:K06421	bsy:I653_06905
ko:K16202	bsy:I653_06635
ko:K13614	bsy:I653_08835
ko:K13611	bsy:I653_08815
ko:K11620	bsy:I653_16010
ko:K13037	bsy:I653_18500
ko:K13274	bsy:I653_05450
ko:K15656	bsy:I653_01770
ko:K06337	bsy:I653_14820
ko:K11640	bsy:I653_01345
ko:K08166	bsy:I653_18425
ko:K06344	bsy:I653_05965
ko:K06343	bsy:I653_05970
ko:K16962	bsy:I653_19410
ko:K07315	bsy:I653_16575
ko:K03339	bsy:I653_19495
ko:K16706	bsy:I653_17315
ko:K16699	bsy:I653_17305
ko:K13276	bsy:I653_07875
ko:K16043	bsy:I653_05490
ko:K16593	bsy:I653_14450
ko:K00128	bsy:I653_18625
ko:K00128	bsy:I653_19590
ko:K06389	bsy:I653_06565
ko:K15657	bsy:I653_01775
ko:K16247	bsy:I653_03045
ko:K06359	bsy:I653_06340
ko:K11440	bsy:I653_14910
ko:K06290	bsy:I653_15985
ko:K06339	bsy:I653_06165
ko:K16170	bsy:I653_15630
ko:K11195	bsy:I653_12840
ko:K13615	bsy:I653_08840
ko:K06321	bsy:I653_10265
ko:K06319	bsy:I653_10270
ko:K06322	bsy:I653_10260
ko:K16044	bsy:I653_16240
ko:K06338	bsy:I653_14825
ko:K13277	bsy:I653_18845
ko:K06376	bsy:I653_07000
ko:K11639	bsy:I653_03820
ko:K06362	bsy:I653_17770
ko:K04757	bsy:I653_02415
ko:K00980	bsy:I653_17430
ko:K02277	bsy:I653_07665
ko:K09681	bsy:I653_09600
ko:K06320	bsy:I653_10275
ko:K06336	bsy:I653_11830
ko:K06340	bsy:I653_05985
ko:K07698	bsy:I653_07440
ko:K11814	bsy:I653_08885
ko:K11815	bsy:I653_08880
ko:K06323	bsy:I653_10255
ko:K06352	bsy:I653_06345
ko:K06360	bsy:I653_17940
ko:K06364	bsy:I653_18335
ko:K06366	bsy:I653_03445
ko:K06368	bsy:I653_01390
ko:K06372	bsy:I653_11820
ko:K15327	bsy:I653_08775
ko:K15468	bsy:I653_08845
ko:K06292	bsy:I653_17480
ko:K13613	bsy:I653_08830
ko:K16248	bsy:I653_03055
ko:K06293	bsy:I653_17485
ko:K06361	bsy:I653_01905
ko:K14219	bsy:I653_t20275
ko:K14219	bsy:I653_t20365
ko:K14224	bsy:I653_t20251
