ko:K01006	lmt:LMRG_01014
ko:K01699	lmt:LMRG_00596
ko:K22010	lmt:LMRG_00618
ko:K11051	lmt:LMRG_02087
ko:K05350	lmt:LMRG_00064
ko:K11741	lmt:LMRG_02276
ko:K11741	lmt:LMRG_02277
ko:K09692	lmt:LMRG_00536
ko:K18926	lmt:LMRG_00200
ko:K01421	lmt:LMRG_00136
ko:K01442	lmt:LMRG_00138
ko:K03924	lmt:LMRG_00146
ko:K09703	lmt:LMRG_00149
ko:K06885	lmt:LMRG_00157
ko:K06941	lmt:LMRG_00163
ko:K13653	lmt:LMRG_00164
ko:K02911	lmt:LMRG_00167
ko:K00014	lmt:LMRG_00171
ko:K03785	lmt:LMRG_00172
ko:K06978	lmt:LMRG_00174
ko:K01808	lmt:LMRG_00179
ko:K01783	lmt:LMRG_00180
ko:K02773	lmt:LMRG_00184
ko:K01783	lmt:LMRG_00186
ko:K02774	lmt:LMRG_00188
ko:K00948	lmt:LMRG_00190
ko:K03555	lmt:LMRG_00855
ko:K03572	lmt:LMRG_00856
ko:K00656	lmt:LMRG_00858
ko:K04069	lmt:LMRG_00859
ko:K07727	lmt:LMRG_00863
ko:K00075	lmt:LMRG_00872
ko:K05847	lmt:LMRG_00873
ko:K03322	lmt:LMRG_00876
ko:K05846	lmt:LMRG_00877
ko:K05845	lmt:LMRG_00878
ko:K05846	lmt:LMRG_00879
ko:K05847	lmt:LMRG_00880
ko:K01714	lmt:LMRG_00887
ko:K00928	lmt:LMRG_00888
ko:K00133	lmt:LMRG_00889
ko:K04564	lmt:LMRG_00891
ko:K09816	lmt:LMRG_00898
ko:K09817	lmt:LMRG_00899
ko:K01151	lmt:LMRG_00901
ko:K03527	lmt:LMRG_00903
ko:K06967	lmt:LMRG_00905
ko:K03086	lmt:LMRG_00906
ko:K09768	lmt:LMRG_00908
ko:K09773	lmt:LMRG_00909
ko:K03306	lmt:LMRG_01582
ko:K06901	lmt:LMRG_01577
ko:K05520	lmt:LMRG_01575
ko:K02759	lmt:LMRG_01572
ko:K02250	lmt:LMRG_01560
ko:K07282	lmt:LMRG_00197
ko:K08987	lmt:LMRG_00199
ko:K07166	lmt:LMRG_00215
ko:K09157	lmt:LMRG_00216
ko:K02083	lmt:LMRG_00219
ko:K02016	lmt:LMRG_00223
ko:K02781	lmt:LMRG_00224
ko:K08325	lmt:LMRG_00236
ko:K03305	lmt:LMRG_00237
ko:K00262	lmt:LMRG_00242
ko:K02500	lmt:LMRG_00245
ko:K01814	lmt:LMRG_00246
ko:K02501	lmt:LMRG_00247
ko:K01693	lmt:LMRG_00248
ko:K00013	lmt:LMRG_00249
ko:K00765	lmt:LMRG_00250
ko:K02502	lmt:LMRG_00251
ko:K01879	lmt:LMRG_00910
ko:K01878	lmt:LMRG_00911
ko:K03584	lmt:LMRG_00912
ko:K07042	lmt:LMRG_00917
ko:K07037	lmt:LMRG_00918
ko:K09117	lmt:LMRG_00921
ko:K02970	lmt:LMRG_00922
ko:K09761	lmt:LMRG_00923
ko:K02687	lmt:LMRG_00924
ko:K03686	lmt:LMRG_00925
ko:K04043	lmt:LMRG_00926
ko:K03687	lmt:LMRG_00927
ko:K03705	lmt:LMRG_00928
ko:K03596	lmt:LMRG_00932
ko:K02968	lmt:LMRG_00933
ko:K02340	lmt:LMRG_00934
ko:K02237	lmt:LMRG_00937
ko:K09710	lmt:LMRG_00939
ko:K00969	lmt:LMRG_00941
ko:K07574	lmt:LMRG_00942
ko:K00014	lmt:LMRG_00943
ko:K07015	lmt:LMRG_00945
ko:K03624	lmt:LMRG_01474
ko:K00876	lmt:LMRG_01473
ko:K07082	lmt:LMRG_01471
ko:K07447	lmt:LMRG_01468
ko:K01872	lmt:LMRG_01466
ko:K02003	lmt:LMRG_01465
ko:K03581	lmt:LMRG_01461
ko:K00566	lmt:LMRG_01458
ko:K04487	lmt:LMRG_01457
ko:K02250	lmt:LMRG_01510
ko:K02768	lmt:LMRG_01508
ko:K02769	lmt:LMRG_01508
ko:K02770	lmt:LMRG_01508
ko:K00299	lmt:LMRG_01492
ko:K01421	lmt:LMRG_01482
ko:K00691	lmt:LMRG_01275
ko:K15780	lmt:LMRG_02641
ko:K14234	lmt:LMRG_05003
ko:K14234	lmt:LMRG_05037
ko:K00140	lmt:LMRG_00076
ko:K03337	lmt:LMRG_00077
ko:K03338	lmt:LMRG_00078
ko:K03336	lmt:LMRG_02971
ko:K03648	lmt:LMRG_00083
ko:K00286	lmt:LMRG_00089
ko:K03306	lmt:LMRG_00098
ko:K07238	lmt:LMRG_00106
ko:K03088	lmt:LMRG_00115
ko:K00605	lmt:LMRG_00798
ko:K00282	lmt:LMRG_00799
ko:K00283	lmt:LMRG_00800
ko:K02356	lmt:LMRG_00805
ko:K02160	lmt:LMRG_00806
ko:K01961	lmt:LMRG_00807
ko:K03625	lmt:LMRG_00809
ko:K01491	lmt:LMRG_00810
ko:K03601	lmt:LMRG_00811
ko:K03602	lmt:LMRG_00812
ko:K13789	lmt:LMRG_00813
ko:K03704	lmt:LMRG_00814
ko:K01662	lmt:LMRG_00815
ko:K06442	lmt:LMRG_00816
ko:K03402	lmt:LMRG_00817
ko:K03631	lmt:LMRG_00818
ko:K00382	lmt:LMRG_00821
ko:K00166	lmt:LMRG_00822
ko:K00167	lmt:LMRG_00823
ko:K09699	lmt:LMRG_00824
ko:K03217	lmt:LMRG_00831
ko:K01512	lmt:LMRG_00833
ko:K07146	lmt:LMRG_00836
ko:K03466	lmt:LMRG_00838
ko:K00286	lmt:LMRG_00839
ko:K07335	lmt:LMRG_00840
ko:K02057	lmt:LMRG_00842
ko:K02057	lmt:LMRG_00843
ko:K02313	lmt:LMRG_02429
ko:K02338	lmt:LMRG_02430
ko:K03629	lmt:LMRG_02433
ko:K02470	lmt:LMRG_02434
ko:K02469	lmt:LMRG_02435
ko:K06131	lmt:LMRG_02436
ko:K02826	lmt:LMRG_02442
ko:K02827	lmt:LMRG_02443
ko:K02828	lmt:LMRG_02444
ko:K02829	lmt:LMRG_02445
ko:K07282	lmt:LMRG_02446
ko:K01223	lmt:LMRG_02447
ko:K03652	lmt:LMRG_02027
ko:K03800	lmt:LMRG_02030
ko:K03216	lmt:LMRG_02034
ko:K04079	lmt:LMRG_02040
ko:K04047	lmt:LMRG_02041
ko:K03449	lmt:LMRG_02046
ko:K01443	lmt:LMRG_02055
ko:K03710	lmt:LMRG_02057
ko:K08303	lmt:LMRG_02060
ko:K03744	lmt:LMRG_02061
ko:K03799	lmt:LMRG_02062
ko:K00858	lmt:LMRG_02067
ko:K06180	lmt:LMRG_02068
ko:K00208	lmt:LMRG_02069
ko:K03740	lmt:LMRG_02070
ko:K14188	lmt:LMRG_02071
ko:K03739	lmt:LMRG_02072
ko:K03367	lmt:LMRG_02073
ko:K01807	lmt:LMRG_02075
ko:K00826	lmt:LMRG_02078
ko:K01783	lmt:LMRG_00965
ko:K06949	lmt:LMRG_00966
ko:K03500	lmt:LMRG_00969
ko:K00604	lmt:LMRG_00970
ko:K04066	lmt:LMRG_00971
ko:K13038	lmt:LMRG_00972
ko:K03060	lmt:LMRG_00973
ko:K00942	lmt:LMRG_00974
ko:K00762	lmt:LMRG_00978
ko:K01591	lmt:LMRG_00979
ko:K01955	lmt:LMRG_00982
ko:K01956	lmt:LMRG_00983
ko:K01465	lmt:LMRG_00984
ko:K00609	lmt:LMRG_00985
ko:K02825	lmt:LMRG_00987
ko:K06180	lmt:LMRG_00990
ko:K03101	lmt:LMRG_00991
ko:K06901	lmt:LMRG_00992
ko:K03327	lmt:LMRG_00993
ko:K03797	lmt:LMRG_00998
ko:K11068	lmt:LMRG_01011
ko:K09773	lmt:LMRG_01013
ko:K07667	lmt:LMRG_02223
ko:K07646	lmt:LMRG_02224
ko:K01548	lmt:LMRG_02225
ko:K01547	lmt:LMRG_02226
ko:K01546	lmt:LMRG_02227
ko:K02760	lmt:LMRG_02228
ko:K02761	lmt:LMRG_02229
ko:K02759	lmt:LMRG_02230
ko:K01531	lmt:LMRG_02235
ko:K00943	lmt:LMRG_02240
ko:K05878	lmt:LMRG_02002
ko:K05879	lmt:LMRG_02001
ko:K06187	lmt:LMRG_01995
ko:K09747	lmt:LMRG_01994
ko:K02343	lmt:LMRG_01993
ko:K02761	lmt:LMRG_01989
ko:K00426	lmt:LMRG_01979
ko:K00425	lmt:LMRG_01978
ko:K01895	lmt:LMRG_01976
ko:K00995	lmt:LMRG_00848
ko:K03823	lmt:LMRG_00852
ko:K09769	lmt:LMRG_00853
ko:K15581	lmt:LMRG_01637
ko:K15580	lmt:LMRG_01636
ko:K01867	lmt:LMRG_01634
ko:K09458	lmt:LMRG_01631
ko:K00648	lmt:LMRG_01630
ko:K03695	lmt:LMRG_01626
ko:K06890	lmt:LMRG_01625
ko:K01772	lmt:LMRG_01621
ko:K01599	lmt:LMRG_01620
ko:K02503	lmt:LMRG_01616
ko:K00014	lmt:LMRG_01596
ko:K13531	lmt:LMRG_01590
ko:K13530	lmt:LMRG_01589
ko:K06180	lmt:LMRG_01588
ko:K07220	lmt:LMRG_01583
ko:K00847	lmt:LMRG_02784
ko:K03324	lmt:LMRG_02251
ko:K03737	lmt:LMRG_02252
ko:K04041	lmt:LMRG_02253
ko:K07088	lmt:LMRG_02254
ko:K13256	lmt:LMRG_02259
ko:K01921	lmt:LMRG_02278
ko:K01929	lmt:LMRG_02279
ko:K02529	lmt:LMRG_02281
ko:K05592	lmt:LMRG_02289
ko:K02759	lmt:LMRG_02552
ko:K02760	lmt:LMRG_02551
ko:K02529	lmt:LMRG_02544
ko:K05349	lmt:LMRG_02542
ko:K00266	lmt:LMRG_02538
ko:K08317	lmt:LMRG_02534
ko:K02029	lmt:LMRG_02531
ko:K01486	lmt:LMRG_02529
ko:K02003	lmt:LMRG_02524
ko:K00891	lmt:LMRG_02522
ko:K03215	lmt:LMRG_02977
ko:K02434	lmt:LMRG_02517
ko:K02435	lmt:LMRG_02515
ko:K01972	lmt:LMRG_02513
ko:K03657	lmt:LMRG_02512
ko:K03308	lmt:LMRG_02510
ko:K01945	lmt:LMRG_02507
ko:K00602	lmt:LMRG_02506
ko:K11175	lmt:LMRG_02505
ko:K01933	lmt:LMRG_02504
ko:K02003	lmt:LMRG_02687
ko:K02379	lmt:LMRG_02683
ko:K00123	lmt:LMRG_02681
ko:K02996	lmt:LMRG_02140
ko:K02871	lmt:LMRG_02141
ko:K06173	lmt:LMRG_02142
ko:K07507	lmt:LMRG_02146
ko:K02879	lmt:LMRG_02149
ko:K03040	lmt:LMRG_02150
ko:K02948	lmt:LMRG_02151
ko:K02952	lmt:LMRG_02152
ko:K02919	lmt:LMRG_02153
ko:K02518	lmt:LMRG_02906
ko:K03076	lmt:LMRG_02156
ko:K02876	lmt:LMRG_02157
ko:K02907	lmt:LMRG_02158
ko:K02988	lmt:LMRG_02159
ko:K02881	lmt:LMRG_02160
ko:K02933	lmt:LMRG_02161
ko:K02994	lmt:LMRG_02162
ko:K02954	lmt:LMRG_02163
ko:K02931	lmt:LMRG_02164
ko:K02895	lmt:LMRG_02165
ko:K02072	lmt:LMRG_02588
ko:K02071	lmt:LMRG_02587
ko:K02073	lmt:LMRG_02586
ko:K00783	lmt:LMRG_02578
ko:K01154	lmt:LMRG_02577
ko:K03427	lmt:LMRG_02576
ko:K01153	lmt:LMRG_02575
ko:K02761	lmt:LMRG_02570
ko:K02760	lmt:LMRG_02569
ko:K02759	lmt:LMRG_02567
ko:K03707	lmt:LMRG_00008
ko:K00878	lmt:LMRG_00009
ko:K00941	lmt:LMRG_00010
ko:K00788	lmt:LMRG_00011
ko:K01223	lmt:LMRG_00012
ko:K09888	lmt:LMRG_00675
ko:K02347	lmt:LMRG_00677
ko:K07456	lmt:LMRG_00678
ko:K03671	lmt:LMRG_00679
ko:K03703	lmt:LMRG_00680
ko:K00928	lmt:LMRG_00681
ko:K01776	lmt:LMRG_00683
ko:K00989	lmt:LMRG_00684
ko:K07095	lmt:LMRG_00686
ko:K02818	lmt:LMRG_00704
ko:K02819	lmt:LMRG_00704
ko:K00147	lmt:LMRG_00708
ko:K00931	lmt:LMRG_00709
ko:K03545	lmt:LMRG_00716
ko:K03544	lmt:LMRG_00718
ko:K03100	lmt:LMRG_00719
ko:K03100	lmt:LMRG_00720
ko:K03100	lmt:LMRG_00721
ko:K14540	lmt:LMRG_00722
ko:K03470	lmt:LMRG_00723
ko:K04096	lmt:LMRG_00724
ko:K03168	lmt:LMRG_00725
ko:K04094	lmt:LMRG_00726
ko:K03733	lmt:LMRG_00727
ko:K01419	lmt:LMRG_00728
ko:K03667	lmt:LMRG_00729
ko:K03706	lmt:LMRG_00730
ko:K07107	lmt:LMRG_00731
ko:K08591	lmt:LMRG_00734
ko:K01755	lmt:LMRG_01242
