ko:K04565	ecm:EcSMS35_3163
ko:K15581	ecm:EcSMS35_1896
ko:K06917	ecm:EcSMS35_0546
ko:K02409	ecm:EcSMS35_0250
ko:K13888	ecm:EcSMS35_2282
ko:K02495	ecm:EcSMS35_4251
ko:K07407	ecm:EcSMS35_3114
ko:K02834	ecm:EcSMS35_3463
ko:K02888	ecm:EcSMS35_3482
ko:K02892	ecm:EcSMS35_3613
ko:K02926	ecm:EcSMS35_3614
ko:K01760	ecm:EcSMS35_3292
ko:K06133	ecm:EcSMS35_3759
ko:K01720	ecm:EcSMS35_0365
ko:K07229	ecm:EcSMS35_3364
ko:K11746	ecm:EcSMS35_0048
ko:K11733	ecm:EcSMS35_2303
ko:K00850	ecm:EcSMS35_4356
ko:K11734	ecm:EcSMS35_0115
ko:K06889	ecm:EcSMS35_4662
ko:K10680	ecm:EcSMS35_1548
ko:K02340	ecm:EcSMS35_0660
ko:K03555	ecm:EcSMS35_2860
ko:K00833	ecm:EcSMS35_0797
ko:K01232	ecm:EcSMS35_4045
ko:K02337	ecm:EcSMS35_0195
ko:K02506	ecm:EcSMS35_3618
ko:K03557	ecm:EcSMS35_3556
ko:K02948	ecm:EcSMS35_3592
ko:K03752	ecm:EcSMS35_4238
ko:K06726	ecm:EcSMS35_4116
ko:K10857	ecm:EcSMS35_1342
ko:K00325	ecm:EcSMS35_1597
ko:K03186	ecm:EcSMS35_2467
ko:K02196	ecm:EcSMS35_2346
ko:K02195	ecm:EcSMS35_2347
ko:K02194	ecm:EcSMS35_2348
ko:K02361	ecm:EcSMS35_0613
ko:K02364	ecm:EcSMS35_0606
ko:K06203	ecm:EcSMS35_2568
ko:K02338	ecm:EcSMS35_4066
ko:K04047	ecm:EcSMS35_0836
ko:K00627	ecm:EcSMS35_0125
ko:K01610	ecm:EcSMS35_3682
ko:K03573	ecm:EcSMS35_2979
ko:K03624	ecm:EcSMS35_3477
ko:K02552	ecm:EcSMS35_2420
ko:K04568	ecm:EcSMS35_4626
ko:K04567	ecm:EcSMS35_3023
ko:K01252	ecm:EcSMS35_0615
ko:K09024	ecm:EcSMS35_2118
ko:K01889	ecm:EcSMS35_1476
ko:K10679	ecm:EcSMS35_0596
ko:K00954	ecm:EcSMS35_3969
ko:K01704	ecm:EcSMS35_0076
ko:K01892	ecm:EcSMS35_2666
ko:K04762	ecm:EcSMS35_3678
ko:K04066	ecm:EcSMS35_4377
ko:K05851	ecm:EcSMS35_4171
ko:K03789	ecm:EcSMS35_4920
ko:K02317	ecm:EcSMS35_4907
ko:K03547	ecm:EcSMS35_0427
ko:K00112	ecm:EcSMS35_2394
ko:K00111	ecm:EcSMS35_3706
ko:K05787	ecm:EcSMS35_4448
ko:K00813	ecm:EcSMS35_2192
ko:K05788	ecm:EcSMS35_2208
ko:K01808	ecm:EcSMS35_4556
ko:K03654	ecm:EcSMS35_4189
ko:K00111	ecm:EcSMS35_2393
ko:K02336	ecm:EcSMS35_0062
ko:K02346	ecm:EcSMS35_0285
ko:K04567	ecm:EcSMS35_4598
ko:K01584	ecm:EcSMS35_4583
ko:K01585	ecm:EcSMS35_3081
ko:K00872	ecm:EcSMS35_0002
ko:K01955	ecm:EcSMS35_0033
ko:K01546	ecm:EcSMS35_0720
ko:K01547	ecm:EcSMS35_0719
ko:K01548	ecm:EcSMS35_0718
ko:K02575	ecm:EcSMS35_1916
ko:K07684	ecm:EcSMS35_1919
ko:K13895	ecm:EcSMS35_2328
ko:K02420	ecm:EcSMS35_1235
ko:K02846	ecm:EcSMS35_2070
ko:K00123	ecm:EcSMS35_4280
ko:K00124	ecm:EcSMS35_4279
ko:K04764	ecm:EcSMS35_1478
ko:K03500	ecm:EcSMS35_3584
ko:K06187	ecm:EcSMS35_0515
