ko:K11741	rag:B739_1543
ko:K00561	rag:B739_0033
ko:K09022	rag:B739_0999
ko:K08151	rag:B739_1600
ko:K03217	rag:B739_1102
ko:K03470	rag:B739_1103
ko:K01887	rag:B739_1106
ko:K02909	rag:B739_1112
ko:K00800	rag:B739_1115
ko:K05523	rag:B739_1117
ko:K01491	rag:B739_1119
ko:K01810	rag:B739_1120
ko:K00600	rag:B739_1121
ko:K03565	rag:B739_1122
ko:K01991	rag:B739_1124
ko:K03650	rag:B739_2009
ko:K00812	rag:B739_2017
ko:K03118	rag:B739_2023
ko:K06041	rag:B739_2024
ko:K03654	rag:B739_2025
ko:K08973	rag:B739_2029
ko:K01929	rag:B739_2034
ko:K02341	rag:B739_2039
ko:K07259	rag:B739_2041
ko:K03424	rag:B739_2047
ko:K03979	rag:B739_2048
ko:K00760	rag:B739_2050
ko:K02558	rag:B739_0149
ko:K03648	rag:B739_0151
ko:K00826	rag:B739_0153
ko:K00940	rag:B739_0154
ko:K02114	rag:B739_0155
ko:K02112	rag:B739_0156
ko:K11753	rag:B739_0157
ko:K08987	rag:B739_0159
ko:K06861	rag:B739_0164
ko:K02361	rag:B739_0166
ko:K01752	rag:B739_0171
ko:K03734	rag:B739_0178
ko:K07322	rag:B739_0181
ko:K00376	rag:B739_0187
ko:K07218	rag:B739_0190
ko:K08276	rag:B739_0193
ko:K03088	rag:B739_0198
ko:K06911	rag:B739_0199
ko:K11752	rag:B739_0202
ko:K00014	rag:B739_0204
ko:K16091	rag:B739_1068
ko:K00809	rag:B739_1077
ko:K00384	rag:B739_1081
ko:K04755	rag:B739_1082
ko:K15342	rag:B739_1086
ko:K00239	rag:B739_1097
ko:K00240	rag:B739_1098
ko:K02346	rag:B739_1099
ko:K01937	rag:B739_1101
ko:K16091	rag:B739_0094
ko:K03811	rag:B739_0105
ko:K00161	rag:B739_0109
ko:K00627	rag:B739_0110
ko:K03305	rag:B739_0113
ko:K01153	rag:B739_0119
ko:K01154	rag:B739_0122
ko:K03427	rag:B739_0123
ko:K06167	rag:B739_0134
ko:K01845	rag:B739_0144
ko:K00640	rag:B739_1018
ko:K01673	rag:B739_1019
ko:K01056	rag:B739_1024
ko:K03695	rag:B739_1025
ko:K01962	rag:B739_1031
ko:K02357	rag:B739_1033
ko:K10773	rag:B739_1034
ko:K03564	rag:B739_1035
ko:K03269	rag:B739_1038
ko:K01737	rag:B739_1039
ko:K03550	rag:B739_1043
ko:K01159	rag:B739_1047
ko:K06886	rag:B739_1048
ko:K04096	rag:B739_1049
ko:K00262	rag:B739_1050
ko:K06950	rag:B739_1051
ko:K13766	rag:B739_1062
ko:K04485	rag:B739_1063
ko:K02340	rag:B739_1942
ko:K03466	rag:B739_1944
ko:K03832	rag:B739_1948
ko:K00215	rag:B739_1952
ko:K03100	rag:B739_1953
ko:K03088	rag:B739_1956
ko:K01462	rag:B739_0209
ko:K07447	rag:B739_0210
ko:K03723	rag:B739_0212
ko:K07636	rag:B739_0214
ko:K00820	rag:B739_0223
ko:K00703	rag:B739_0225
ko:K01918	rag:B739_0226
ko:K01889	rag:B739_0230
ko:K06173	rag:B739_0233
ko:K07095	rag:B739_0234
ko:K01738	rag:B739_0237
ko:K00640	rag:B739_0238
ko:K07566	rag:B739_0239
ko:K03549	rag:B739_0253
ko:K03305	rag:B739_0261
ko:K01972	rag:B739_0264
ko:K02474	rag:B739_1127
ko:K01790	rag:B739_1138
ko:K00973	rag:B739_1140
ko:K14441	rag:B739_1141
ko:K03744	rag:B739_1143
ko:K06872	rag:B739_1145
ko:K07071	rag:B739_1147
ko:K00748	rag:B739_1148
ko:K06973	rag:B739_1149
ko:K00330	rag:B739_1152
ko:K00331	rag:B739_1153
ko:K00332	rag:B739_1154
ko:K00333	rag:B739_1155
ko:K00334	rag:B739_1156
ko:K00337	rag:B739_1159
ko:K00338	rag:B739_1160
ko:K00339	rag:B739_1161
ko:K00340	rag:B739_1162
ko:K00341	rag:B739_1163
ko:K00342	rag:B739_1164
ko:K00343	rag:B739_1165
ko:K11065	rag:B739_1166
ko:K00281	rag:B739_1169
ko:K06158	rag:B739_1170
ko:K00428	rag:B739_1173
ko:K01911	rag:B739_1175
ko:K03439	rag:B739_1178
ko:K07516	rag:B739_2064
ko:K00208	rag:B739_2067
ko:K06942	rag:B739_2069
ko:K08972	rag:B739_2072
ko:K00648	rag:B739_2073
ko:K03183	rag:B739_2075
ko:K03814	rag:B739_2078
ko:K01714	rag:B739_2094
ko:K03284	rag:B739_2095
ko:K12410	rag:B739_2097
ko:K06213	rag:B739_2101
ko:K02528	rag:B739_2102
ko:K09811	rag:B739_2103
ko:K06153	rag:B739_2105
ko:K09761	rag:B739_2106
ko:K04065	rag:B739_1070
ko:K01809	rag:B739_0896
ko:K03770	rag:B739_0897
ko:K02078	rag:B739_0910
ko:K09458	rag:B739_0911
ko:K03685	rag:B739_0912
ko:K00873	rag:B739_0914
ko:K04075	rag:B739_0918
ko:K01875	rag:B739_0920
ko:K08303	rag:B739_0926
ko:K01869	rag:B739_0929
ko:K03561	rag:B739_0930
ko:K03832	rag:B739_0933
ko:K02040	rag:B739_0935
ko:K15876	rag:B739_0945
ko:K03385	rag:B739_0946
ko:K07007	rag:B739_0949
ko:K03561	rag:B739_0952
ko:K09001	rag:B739_1825
ko:K06949	rag:B739_1826
ko:K00876	rag:B739_1828
ko:K09794	rag:B739_1829
ko:K06207	rag:B739_1830
ko:K01939	rag:B739_1833
ko:K00428	rag:B739_1834
ko:K04567	rag:B739_1835
ko:K00764	rag:B739_1839
ko:K01923	rag:B739_1840
ko:K01952	rag:B739_1841
ko:K00074	rag:B739_1843
ko:K02887	rag:B739_1844
ko:K02916	rag:B739_1845
ko:K02520	rag:B739_1846
ko:K01868	rag:B739_1847
ko:K01657	rag:B739_1848
ko:K00766	rag:B739_1850
ko:K01246	rag:B739_1851
ko:K01609	rag:B739_1852
ko:K01817	rag:B739_1853
ko:K01696	rag:B739_1854
ko:K01695	rag:B739_1856
ko:K01695	rag:B739_1857
ko:K03313	rag:B739_1861
ko:K02621	rag:B739_1863
ko:K02622	rag:B739_1865
ko:K09888	rag:B739_1867
ko:K03113	rag:B739_1869
ko:K00757	rag:B739_1870
ko:K01938	rag:B739_1873
ko:K02884	rag:B739_1875
ko:K01681	rag:B739_0039
ko:K03500	rag:B739_0041
ko:K01201	rag:B739_0046
ko:K00833	rag:B739_0056
ko:K01935	rag:B739_0057
ko:K00297	rag:B739_0060
ko:K00318	rag:B739_0068
ko:K01735	rag:B739_0073
ko:K03924	rag:B739_0082
ko:K03218	rag:B739_0084
ko:K00858	rag:B739_0955
ko:K01624	rag:B739_0956
ko:K01963	rag:B739_0957
ko:K06287	rag:B739_0963
ko:K03270	rag:B739_0965
ko:K02906	rag:B739_0967
ko:K02926	rag:B739_0968
ko:K02892	rag:B739_0969
ko:K02886	rag:B739_0970
ko:K02890	rag:B739_0971
ko:K02982	rag:B739_0972
ko:K02878	rag:B739_0973
ko:K02904	rag:B739_0974
ko:K02961	rag:B739_0975
ko:K02874	rag:B739_0976
ko:K02895	rag:B739_0977
ko:K02931	rag:B739_0978
ko:K02954	rag:B739_0979
ko:K02994	rag:B739_0980
ko:K02933	rag:B739_0981
ko:K02881	rag:B739_0982
ko:K02988	rag:B739_0983
ko:K02907	rag:B739_0984
ko:K02876	rag:B739_0985
ko:K03076	rag:B739_0986
ko:K02518	rag:B739_0987
ko:K02919	rag:B739_0988
ko:K02952	rag:B739_0989
ko:K02948	rag:B739_0990
ko:K02986	rag:B739_0991
ko:K03040	rag:B739_0992
ko:K02879	rag:B739_0993
ko:K01647	rag:B739_0996
ko:K01689	rag:B739_0997
ko:K01448	rag:B739_1001
ko:K00969	rag:B739_1003
ko:K07462	rag:B739_1004
ko:K01465	rag:B739_1007
ko:K03657	rag:B739_1880
ko:K03075	rag:B739_1883
ko:K06187	rag:B739_1885
ko:K00031	rag:B739_1889
ko:K06178	rag:B739_1892
ko:K01953	rag:B739_1894
ko:K01876	rag:B739_1895
ko:K11175	rag:B739_1896
ko:K01933	rag:B739_1897
ko:K00648	rag:B739_1898
ko:K13421	rag:B739_1900
ko:K00243	rag:B739_1907
ko:K15633	rag:B739_1910
ko:K00605	rag:B739_1911
ko:K09158	rag:B739_1916
ko:K01129	rag:B739_1917
ko:K06890	rag:B739_1920
ko:K00831	rag:B739_1924
ko:K01951	rag:B739_1928
ko:K01945	rag:B739_1929
ko:K02473	rag:B739_1126
ko:K00075	rag:B739_0736
ko:K02888	rag:B739_0737
ko:K02899	rag:B739_0738
ko:K00791	rag:B739_0741
ko:K00790	rag:B739_0742
ko:K07636	rag:B739_0745
ko:K03525	rag:B739_0748
ko:K09015	rag:B739_0750
ko:K09013	rag:B739_0751
ko:K07127	rag:B739_0753
ko:K06079	rag:B739_0754
ko:K09014	rag:B739_0757
ko:K03596	rag:B739_0760
ko:K03101	rag:B739_0762
ko:K01870	rag:B739_0764
ko:K00812	rag:B739_0765
ko:K01665	rag:B739_0774
ko:K09954	rag:B739_0777
ko:K01448	rag:B739_1652
ko:K03501	rag:B739_1692
ko:K02338	rag:B739_1696
ko:K01890	rag:B739_1697
ko:K04078	rag:B739_1699
ko:K04077	rag:B739_1700
ko:K01495	rag:B739_0438
ko:K01883	rag:B739_0439
ko:K03210	rag:B739_0443
ko:K03625	rag:B739_0445
ko:K04564	rag:B739_0446
ko:K00789	rag:B739_0447
ko:K04761	rag:B739_0449
ko:K03781	rag:B739_0450
ko:K00064	rag:B739_0451
ko:K02217	rag:B739_0456
ko:K03551	rag:B739_0457
ko:K00859	rag:B739_0459
ko:K03703	rag:B739_0461
ko:K03820	rag:B739_0464
ko:K01772	rag:B739_0470
ko:K02946	rag:B739_0480
ko:K02355	rag:B739_0481
ko:K02992	rag:B739_0482
ko:K02950	rag:B739_0483
ko:K04047	rag:B739_0490
ko:K00763	rag:B739_0491
ko:K09760	rag:B739_0492
ko:K01448	rag:B739_1384
ko:K03544	rag:B739_1389
ko:K02503	rag:B739_1390
ko:K03624	rag:B739_1391
ko:K07560	rag:B739_1393
ko:K04773	rag:B739_1394
ko:K00950	rag:B739_1395
ko:K01284	rag:B739_1398
ko:K09793	rag:B739_1399
ko:K16053	rag:B739_1400
ko:K03969	rag:B739_0267
ko:K00057	rag:B739_0286
ko:K02687	rag:B739_0287
ko:K09808	rag:B739_0288
ko:K00954	rag:B739_0292
ko:K01921	rag:B739_0293
ko:K00641	rag:B739_0294
ko:K12524	rag:B739_0295
ko:K10764	rag:B739_0296
ko:K01903	rag:B739_0301
ko:K14652	rag:B739_0304
ko:K06180	rag:B739_0308
ko:K08301	rag:B739_0313
ko:K03575	rag:B739_0315
ko:K03771	rag:B739_0318
ko:K01872	rag:B739_0319
ko:K01873	rag:B739_1190
ko:K00812	rag:B739_1197
ko:K00979	rag:B739_1199
ko:K00432	rag:B739_1201
ko:K03086	rag:B739_1202
ko:K01783	rag:B739_1203
ko:K01881	rag:B739_1206
ko:K03322	rag:B739_1209
ko:K03687	rag:B739_1210
ko:K03686	rag:B739_1211
ko:K00382	rag:B739_1214
ko:K01555	rag:B739_1216
ko:K00457	rag:B739_1218
ko:K00912	rag:B739_1219
ko:K09807	rag:B739_1223
ko:K01866	rag:B739_1230
ko:K06999	rag:B739_1231
ko:K01588	rag:B739_1233
ko:K01589	rag:B739_1234
ko:K07056	rag:B739_2112
ko:K02313	rag:B739_2114
ko:K07107	rag:B739_2115
ko:K05995	rag:B739_2116
ko:K06182	rag:B739_2121
ko:K09903	rag:B739_2124
ko:K02838	rag:B739_2125
ko:K06199	rag:B739_2137
ko:K00384	rag:B739_2138
ko:K00783	rag:B739_2145
ko:K07058	rag:B739_2146
ko:K03088	rag:B739_2152
ko:K11537	rag:B739_2153
ko:K08999	rag:B739_2154
ko:K03522	rag:B739_2155
ko:K03521	rag:B739_2156
ko:K01627	rag:B739_2160
ko:K04043	rag:B739_2165
ko:K03701	rag:B739_2168
ko:K03474	rag:B739_1401
ko:K00826	rag:B739_1408
ko:K11066	rag:B739_1410
ko:K00937	rag:B739_1413
ko:K01915	rag:B739_0613
ko:K13694	rag:B739_0614
ko:K09940	rag:B739_0615
ko:K07460	rag:B739_0619
ko:K01867	rag:B739_0622
ko:K03088	rag:B739_0625
ko:K07391	rag:B739_0626
ko:K02897	rag:B739_0629
ko:K00948	rag:B739_0630
ko:K06076	rag:B739_0632
ko:K03702	rag:B739_0635
ko:K11749	rag:B739_0639
ko:K03798	rag:B739_0643
ko:K09710	rag:B739_0644
ko:K03524	rag:B739_0645
ko:K00773	rag:B739_0647
ko:K03555	rag:B739_0655
ko:K04487	rag:B739_1536
ko:K03671	rag:B739_1537
ko:K00382	rag:B739_1540
ko:K01697	rag:B739_1544
ko:K07259	rag:B739_1547
ko:K04066	rag:B739_1548
ko:K04043	rag:B739_1551
ko:K02990	rag:B739_1553
ko:K02963	rag:B739_1554
ko:K02939	rag:B739_1555
ko:K07568	rag:B739_1560
ko:K06941	rag:B739_1561
ko:K11927	rag:B739_1562
ko:K03704	rag:B739_1564
ko:K00609	rag:B739_1568
ko:K01956	rag:B739_1569
ko:K01955	rag:B739_1571
ko:K02013	rag:B739_1573
ko:K02015	rag:B739_1574
ko:K02613	rag:B739_1576
ko:K03179	rag:B739_1579
ko:K01886	rag:B739_1580
ko:K00941	rag:B739_1581
ko:K03150	rag:B739_1583
ko:K03149	rag:B739_1584
ko:K00788	rag:B739_1585
ko:K00788	rag:B739_1587
ko:K03585	rag:B739_0782
ko:K01610	rag:B739_0784
ko:K07001	rag:B739_0786
ko:K03495	rag:B739_0790
ko:K00927	rag:B739_0797
ko:K02551	rag:B739_0800
ko:K03572	rag:B739_0811
ko:K00133	rag:B739_0816
ko:K03215	rag:B739_0823
ko:K00981	rag:B739_0826
ko:K01613	rag:B739_0827
ko:K00806	rag:B739_0829
ko:K07277	rag:B739_0830
ko:K06142	rag:B739_0831
