ko:K01175	hix:NTHI723_01512
ko:K07149	hix:NTHI723_01172
ko:K01980	hix:NTHI723_01097
ko:K04753	hix:NTHI723_00930
ko:K07076	hix:NTHI723_01642
ko:K00833	hix:NTHI723_00021
ko:K08306	hix:NTHI723_00851
ko:K03575	hix:NTHI723_00853
ko:K02909	hix:NTHI723_00854
ko:K01834	hix:NTHI723_00855
ko:K09798	hix:NTHI723_00857
ko:K07270	hix:NTHI723_00858
ko:K00351	hix:NTHI723_01534
ko:K00350	hix:NTHI723_01535
ko:K00349	hix:NTHI723_01536
ko:K00348	hix:NTHI723_01537
ko:K00347	hix:NTHI723_01538
ko:K00346	hix:NTHI723_01539
ko:K05527	hix:NTHI723_01540
ko:K07286	hix:NTHI723_01541
ko:K00383	hix:NTHI723_01542
ko:K01613	hix:NTHI723_01543
ko:K07040	hix:NTHI723_01544
ko:K02911	hix:NTHI723_01545
ko:K00648	hix:NTHI723_01546
ko:K00645	hix:NTHI723_01547
ko:K00059	hix:NTHI723_01548
ko:K02078	hix:NTHI723_01549
ko:K07792	hix:NTHI723_01550
ko:K06133	hix:NTHI723_01551
ko:K04088	hix:NTHI723_01552
ko:K04087	hix:NTHI723_01553
ko:K17948	hix:NTHI723_01555
ko:K01788	hix:NTHI723_01558
ko:K00885	hix:NTHI723_01559
ko:K01639	hix:NTHI723_01561
ko:K02564	hix:NTHI723_01562
ko:K01443	hix:NTHI723_01563
ko:K03469	hix:NTHI723_01565
ko:K02342	hix:NTHI723_01566
ko:K03977	hix:NTHI723_01569
ko:K08159	hix:NTHI723_01570
ko:K01494	hix:NTHI723_01572
ko:K00876	hix:NTHI723_01573
ko:K06901	hix:NTHI723_01574
ko:K01507	hix:NTHI723_01575
ko:K00995	hix:NTHI723_01579
ko:K03386	hix:NTHI723_01580
ko:K01760	hix:NTHI723_01581
ko:K02195	hix:NTHI723_00548
ko:K02194	hix:NTHI723_00549
ko:K02193	hix:NTHI723_00550
ko:K04564	hix:NTHI723_00551
ko:K02065	hix:NTHI723_00552
ko:K02066	hix:NTHI723_00553
ko:K02067	hix:NTHI723_00554
ko:K07323	hix:NTHI723_00555
ko:K07122	hix:NTHI723_00556
ko:K00790	hix:NTHI723_00558
ko:K02424	hix:NTHI723_00559
ko:K10009	hix:NTHI723_00560
ko:K10010	hix:NTHI723_00561
ko:K03811	hix:NTHI723_00562
ko:K01937	hix:NTHI723_00563
ko:K00425	hix:NTHI723_00564
ko:K00426	hix:NTHI723_00565
ko:K03578	hix:NTHI723_00569
ko:K03385	hix:NTHI723_00570
ko:K04013	hix:NTHI723_00571
ko:K04014	hix:NTHI723_00572
ko:K04015	hix:NTHI723_00573
ko:K09903	hix:NTHI723_00574
ko:K02372	hix:NTHI723_00576
ko:K00677	hix:NTHI723_00577
ko:K00748	hix:NTHI723_00578
ko:K03470	hix:NTHI723_00579
ko:K07316	hix:NTHI723_00580
ko:K01156	hix:NTHI723_00581
ko:K18991	hix:NTHI723_00584
ko:K18893	hix:NTHI723_00585
ko:K08364	hix:NTHI723_00586
ko:K08363	hix:NTHI723_00587
ko:K07306	hix:NTHI723_00589
ko:K07307	hix:NTHI723_00590
ko:K07308	hix:NTHI723_00591
ko:K00548	hix:NTHI723_00595
ko:K07133	hix:NTHI723_00597
ko:K04067	hix:NTHI723_01360
ko:K07084	hix:NTHI723_01361
ko:K03683	hix:NTHI723_01362
ko:K01759	hix:NTHI723_01363
ko:K18828	hix:NTHI723_01364
ko:K03980	hix:NTHI723_00648
ko:K11753	hix:NTHI723_00649
ko:K01870	hix:NTHI723_00650
ko:K02503	hix:NTHI723_00651
ko:K01207	hix:NTHI723_00653
ko:K03212	hix:NTHI723_00654
ko:K10914	hix:NTHI723_00655
ko:K09898	hix:NTHI723_00656
ko:K05501	hix:NTHI723_00657
ko:K13038	hix:NTHI723_00659
ko:K03630	hix:NTHI723_00660
ko:K02902	hix:NTHI723_00661
ko:K02913	hix:NTHI723_00662
ko:K00836	hix:NTHI723_00663
ko:K18829	hix:NTHI723_00664
ko:K18828	hix:NTHI723_00665
ko:K13745	hix:NTHI723_00666
ko:K10563	hix:NTHI723_00667
ko:K04691	hix:NTHI723_00668
ko:K11752	hix:NTHI723_00669
ko:K07738	hix:NTHI723_00670
ko:K03583	hix:NTHI723_00671
ko:K02681	hix:NTHI723_00672
ko:K02680	hix:NTHI723_00674
ko:K02679	hix:NTHI723_00675
ko:K01092	hix:NTHI723_00676
ko:K04016	hix:NTHI723_00677
ko:K02199	hix:NTHI723_00678
ko:K02200	hix:NTHI723_00679
ko:K07007	hix:NTHI723_00680
ko:K01689	hix:NTHI723_00681
ko:K03781	hix:NTHI723_00685
ko:K01878	hix:NTHI723_00686
ko:K01879	hix:NTHI723_00691
ko:K02340	hix:NTHI723_00693
ko:K03643	hix:NTHI723_00694
ko:K01869	hix:NTHI723_00695
ko:K00806	hix:NTHI723_00696
ko:K00981	hix:NTHI723_00697
ko:K11749	hix:NTHI723_00698
ko:K07277	hix:NTHI723_00699
ko:K18829	hix:NTHI723_01365
ko:K15256	hix:NTHI723_01366
ko:K01876	hix:NTHI723_01368
ko:K08310	hix:NTHI723_01369
ko:K01159	hix:NTHI723_01371
ko:K03550	hix:NTHI723_01372
ko:K03551	hix:NTHI723_01373
ko:K04763	hix:NTHI723_01375
ko:K05820	hix:NTHI723_01376
ko:K00286	hix:NTHI723_01377
ko:K07447	hix:NTHI723_01387
ko:K07735	hix:NTHI723_01388
ko:K09761	hix:NTHI723_01389
ko:K03820	hix:NTHI723_01390
ko:K06189	hix:NTHI723_01391
ko:K03806	hix:NTHI723_01392
ko:K02682	hix:NTHI723_01393
ko:K02504	hix:NTHI723_01394
ko:K02505	hix:NTHI723_01395
ko:K02506	hix:NTHI723_01396
ko:K03628	hix:NTHI723_01397
ko:K03764	hix:NTHI723_01398
ko:K07213	hix:NTHI723_01400
ko:K07213	hix:NTHI723_01401
ko:K07213	hix:NTHI723_01402
ko:K07213	hix:NTHI723_01403
ko:K17686	hix:NTHI723_01404
ko:K03837	hix:NTHI723_01405
ko:K01752	hix:NTHI723_01406
ko:K03835	hix:NTHI723_01407
ko:K14260	hix:NTHI723_01408
ko:K02552	hix:NTHI723_01409
ko:K03218	hix:NTHI723_00749
ko:K03695	hix:NTHI723_00750
ko:K01934	hix:NTHI723_00751
ko:K09888	hix:NTHI723_00752
ko:K07226	hix:NTHI723_00755
ko:K12368	hix:NTHI723_00756
ko:K03753	hix:NTHI723_00758
ko:K03803	hix:NTHI723_00759
ko:K15984	hix:NTHI723_00760
ko:K00557	hix:NTHI723_00761
ko:K09897	hix:NTHI723_00762
ko:K03673	hix:NTHI723_00763
ko:K09896	hix:NTHI723_00764
ko:K03752	hix:NTHI723_00765
ko:K07014	hix:NTHI723_00767
ko:K09904	hix:NTHI723_00768
ko:K06899	hix:NTHI723_00769
ko:K06186	hix:NTHI723_00770
ko:K04568	hix:NTHI723_00772
ko:K00244	hix:NTHI723_00773
ko:K00245	hix:NTHI723_00774
ko:K00246	hix:NTHI723_00775
ko:K00247	hix:NTHI723_00776
ko:K03814	hix:NTHI723_00777
ko:K03720	hix:NTHI723_00778
ko:K08309	hix:NTHI723_00779
ko:K09780	hix:NTHI723_00780
ko:K10806	hix:NTHI723_00781
ko:K06190	hix:NTHI723_00782
ko:K10541	hix:NTHI723_00784
ko:K10542	hix:NTHI723_00785
ko:K10540	hix:NTHI723_00786
ko:K02529	hix:NTHI723_00787
ko:K00965	hix:NTHI723_00788
ko:K00849	hix:NTHI723_00789
ko:K01785	hix:NTHI723_00790
ko:K09895	hix:NTHI723_00791
ko:K01262	hix:NTHI723_00792
ko:K06149	hix:NTHI723_00793
ko:K01872	hix:NTHI723_00794
ko:K03563	hix:NTHI723_00795
