ko:K13060	ypc:BZ23_2820
ko:K08723	ypc:BZ23_1786
ko:K21029	ypc:BZ23_1125
ko:K01990	ypc:BZ23_805
ko:K19298	ypc:BZ23_4032
ko:K15634	ypc:BZ23_74
ko:K19734	ypc:BZ23_2079
ko:K19734	ypc:BZ23_2819
ko:K19230	ypc:BZ23_1845
ko:K19227	ypc:BZ23_1842
ko:K02495	ypc:BZ23_3637
ko:K19229	ypc:BZ23_1844
ko:K19789	ypc:BZ23_906
ko:K07493	ypc:BZ23_1293
ko:K07493	ypc:BZ23_1425
ko:K07493	ypc:BZ23_181
ko:K07493	ypc:BZ23_3533
ko:K07493	ypc:BZ23_896
ko:K00344	ypc:BZ23_4014
ko:K02081	ypc:BZ23_2671
ko:K21908	ypc:BZ23_3064
ko:K01271	ypc:BZ23_3897
ko:K07493	ypc:BZ23_1124
ko:K01138	ypc:BZ23_2682
ko:K01593	ypc:BZ23_833
ko:K07713	ypc:BZ23_799
ko:K00130	ypc:BZ23_790
ko:K03973	ypc:BZ23_1837
ko:K00632	ypc:BZ23_3895
ko:K02032	ypc:BZ23_2531
ko:K12453	ypc:BZ23_521
ko:K03892	ypc:BZ23_261
ko:K05799	ypc:BZ23_189
ko:K03293	ypc:BZ23_3803
ko:K11894	ypc:BZ23_3243
ko:K04753	ypc:BZ23_2959
ko:K05874	ypc:BZ23_1977
ko:K05874	ypc:BZ23_2647
ko:K20881	ypc:BZ23_3380
ko:K07448	ypc:BZ23_3508
ko:K00632	ypc:BZ23_2217
ko:K01154	ypc:BZ23_16
ko:K02387	ypc:BZ23_1304
ko:K02033	ypc:BZ23_1
ko:K02339	ypc:BZ23_8
ko:K11720	ypc:BZ23_11
ko:K01153	ypc:BZ23_15
ko:K01255	ypc:BZ23_9
ko:K02035	ypc:BZ23_2
ko:K00611	ypc:BZ23_4
ko:K09893	ypc:BZ23_5
ko:K03828	ypc:BZ23_6
ko:K01873	ypc:BZ23_7
ko:K07091	ypc:BZ23_10
ko:K11748	ypc:BZ23_3334
ko:K19129	ypc:BZ23_2087
ko:K19221	ypc:BZ23_1699
ko:K19162	ypc:BZ23_499
ko:K19222	ypc:BZ23_1889
ko:K19226	ypc:BZ23_1841
ko:K19236	ypc:BZ23_1882
ko:K16078	ypc:BZ23_2451
ko:K19127	ypc:BZ23_2089
ko:K01120	ypc:BZ23_2498
ko:K00325	ypc:BZ23_1792
ko:K00324	ypc:BZ23_1793
ko:K03758	ypc:BZ23_1795
ko:K07661	ypc:BZ23_1797
ko:K07639	ypc:BZ23_1798
ko:K01299	ypc:BZ23_1799
ko:K11021	ypc:BZ23_1800
ko:K07491	ypc:BZ23_1801
ko:K04775	ypc:BZ23_1805
ko:K03578	ypc:BZ23_1808
ko:K01118	ypc:BZ23_1809
ko:K00007	ypc:BZ23_1811
