ko:K00127	sbm:Shew185_0102
ko:K10563	sbm:Shew185_4324
ko:K13040	sbm:Shew185_3733
ko:K02409	sbm:Shew185_2936
ko:K10773	sbm:Shew185_2059
ko:K03575	sbm:Shew185_3053
ko:K01760	sbm:Shew185_1825
ko:K01755	sbm:Shew185_4091
ko:K19416	sbm:Shew185_2205
ko:K14682	sbm:Shew185_0379
ko:K12297	sbm:Shew185_2610
ko:K03602	sbm:Shew185_1345
ko:K02470	sbm:Shew185_0004
ko:K05788	sbm:Shew185_2278
ko:K01077	sbm:Shew185_0664
ko:K22317	sbm:Shew185_1546
ko:K05515	sbm:Shew185_3317
ko:K03530	sbm:Shew185_1596
ko:K04764	sbm:Shew185_1902
ko:K10126	sbm:Shew185_2828
ko:K01028	sbm:Shew185_2851
ko:K03442	sbm:Shew185_3803
ko:K06879	sbm:Shew185_1425
ko:K03609	sbm:Shew185_1894
ko:K03608	sbm:Shew185_1893
ko:K02478	sbm:Shew185_1659
ko:K02451	sbm:Shew185_1201
ko:K08722	sbm:Shew185_2135
ko:K01142	sbm:Shew185_2737
ko:K04564	sbm:Shew185_1775
ko:K02904	sbm:Shew185_0204
ko:K02911	sbm:Shew185_1712
ko:K01889	sbm:Shew185_1900
ko:K00324	sbm:Shew185_0918
ko:K05786	sbm:Shew185_0381
ko:K01876	sbm:Shew185_2307
ko:K05851	sbm:Shew185_3977
ko:K02879	sbm:Shew185_0222
ko:K02986	sbm:Shew185_0220
ko:K02881	sbm:Shew185_0212
ko:K02954	sbm:Shew185_0209
ko:K00242	sbm:Shew185_2511
ko:K07462	sbm:Shew185_3522
ko:K02501	sbm:Shew185_2422
ko:K02500	sbm:Shew185_2424
ko:K00166	sbm:Shew185_2149
ko:K02878	sbm:Shew185_0203
ko:K02355	sbm:Shew185_0193
ko:K02992	sbm:Shew185_0192
ko:K02950	sbm:Shew185_0191
ko:K02935	sbm:Shew185_0188
ko:K01095	sbm:Shew185_3152
ko:K03547	sbm:Shew185_1639
ko:K02863	sbm:Shew185_0186
ko:K02867	sbm:Shew185_0185
ko:K02463	sbm:Shew185_0159
ko:K02461	sbm:Shew185_0157
ko:K03631	sbm:Shew185_3151
ko:K03111	sbm:Shew185_0556
ko:K03746	sbm:Shew185_2867
ko:K01924	sbm:Shew185_0402
ko:K02535	sbm:Shew185_0406
ko:K02884	sbm:Shew185_1257
ko:K03656	sbm:Shew185_3990
ko:K00609	sbm:Shew185_1205
ko:K01585	sbm:Shew185_1761
ko:K08289	sbm:Shew185_1059
ko:K03686	sbm:Shew185_3410
ko:K02939	sbm:Shew185_0714
ko:K00954	sbm:Shew185_4331
ko:K03557	sbm:Shew185_3965
ko:K03654	sbm:Shew185_0383
ko:K03771	sbm:Shew185_1048
ko:K03648	sbm:Shew185_1034
ko:K03503	sbm:Shew185_2341
ko:K03574	sbm:Shew185_3948
ko:K00794	sbm:Shew185_3155
ko:K02314	sbm:Shew185_0716
ko:K02316	sbm:Shew185_1189
ko:K02926	sbm:Shew185_0197
ko:K03497	sbm:Shew185_4373
ko:K06187	sbm:Shew185_2613
ko:K02886	sbm:Shew185_0199
ko:K00813	sbm:Shew185_2282
ko:K03502	sbm:Shew185_2342
ko:K02454	sbm:Shew185_0150
ko:K02453	sbm:Shew185_0149
ko:K07636	sbm:Shew185_1365
ko:K00382	sbm:Shew185_3932
