ko:K19416	amag:I533_10320
ko:K18923	amag:I533_02735
ko:K12066	amag:I533_05575
ko:K03297	amag:I533_14705
ko:K01563	amag:I533_08400
ko:K11741	amag:I533_00795
ko:K21430	amag:I533_02570
ko:K03111	amag:I533_01060
ko:K19736	amag:I533_07880
ko:K18828	amag:I533_18355
ko:K19226	amag:I533_05215
ko:K13693	amag:I533_10605
ko:K18820	amag:I533_18545
ko:K19092	amag:I533_11925
ko:K19092	amag:I533_15215
ko:K11209	amag:I533_17590
ko:K19092	amag:I533_02790
ko:K01000	amag:I533_14240
ko:K01929	amag:I533_14245
ko:K01928	amag:I533_14250
ko:K03587	amag:I533_14255
ko:K03586	amag:I533_14260
ko:K03438	amag:I533_14265
ko:K03925	amag:I533_14270
ko:K09895	amag:I533_14025
ko:K03782	amag:I533_15690
ko:K02014	amag:I533_15715
ko:K00817	amag:I533_15725
ko:K03410	amag:I533_15735
ko:K02336	amag:I533_15750
ko:K00666	amag:I533_15760
ko:K00322	amag:I533_15790
ko:K00390	amag:I533_15815
ko:K00381	amag:I533_15820
ko:K00380	amag:I533_15825
ko:K03969	amag:I533_15850
ko:K05539	amag:I533_15860
ko:K01070	amag:I533_15895
ko:K16053	amag:I533_15910
ko:K04088	amag:I533_17650
ko:K03665	amag:I533_17655
ko:K03666	amag:I533_17660
ko:K00791	amag:I533_17665
ko:K03572	amag:I533_17670
ko:K01448	amag:I533_17675
ko:K06925	amag:I533_17680
ko:K17758	amag:I533_17685
ko:K17759	amag:I533_17685
ko:K01599	amag:I533_17700
ko:K03426	amag:I533_17705
ko:K07740	amag:I533_17710
ko:K09823	amag:I533_17715
ko:K03409	amag:I533_17720
ko:K03286	amag:I533_17730
ko:K03088	amag:I533_17755
ko:K02939	amag:I533_17775
ko:K02963	amag:I533_17780
ko:K02990	amag:I533_17785
ko:K09918	amag:I533_17795
ko:K02003	amag:I533_17800
ko:K02004	amag:I533_17805
ko:K03776	amag:I533_17810
ko:K16264	amag:I533_17830
ko:K03315	amag:I533_17845
ko:K05349	amag:I533_17850
ko:K02429	amag:I533_17855
