ko:K22220	mava:LA64_17525
ko:K07068	mava:LA64_06090
ko:K14219	mava:LA64_04635
ko:K01563	mava:LA64_01690
ko:K21431	mava:LA64_04305
ko:K19221	mava:LA64_17020
ko:K14233	mava:LA64_01530
ko:K19311	mava:LA64_19205
ko:K02959	mava:LA64_17315
ko:K00941	mava:LA64_22035
ko:K07020	mava:LA64_22040
ko:K07258	mava:LA64_17325
ko:K03106	mava:LA64_17345
ko:K00990	mava:LA64_17360
ko:K04751	mava:LA64_17365
ko:K03320	mava:LA64_17370
ko:K03110	mava:LA64_17375
ko:K03529	mava:LA64_17380
ko:K01512	mava:LA64_17385
ko:K10563	mava:LA64_17400
ko:K03685	mava:LA64_17405
ko:K07040	mava:LA64_17410
ko:K07089	mava:LA64_17425
ko:K01652	mava:LA64_17430
ko:K03466	mava:LA64_17460
ko:K06994	mava:LA64_17490
ko:K00382	mava:LA64_21810
ko:K09959	mava:LA64_21825
ko:K00138	mava:LA64_21830
ko:K01322	mava:LA64_21835
ko:K01692	mava:LA64_21845
ko:K06994	mava:LA64_21855
ko:K04077	mava:LA64_21910
ko:K03750	mava:LA64_21930
ko:K01613	mava:LA64_21940
ko:K17103	mava:LA64_21945
ko:K13525	mava:LA64_21950
ko:K07157	mava:LA64_21975
ko:K06048	mava:LA64_21980
ko:K04565	mava:LA64_21985
ko:K01462	mava:LA64_22000
ko:K01142	mava:LA64_22010
ko:K03147	mava:LA64_22030
ko:K05337	mava:LA64_03040
ko:K00059	mava:LA64_03045
ko:K02066	mava:LA64_03055
ko:K02067	mava:LA64_03060
ko:K02067	mava:LA64_03065
ko:K02067	mava:LA64_03070
ko:K02067	mava:LA64_03075
ko:K02067	mava:LA64_03080
ko:K02067	mava:LA64_03085
ko:K18481	mava:LA64_03090
ko:K18481	mava:LA64_03095
ko:K00697	mava:LA64_03105
ko:K02068	mava:LA64_03115
ko:K02069	mava:LA64_03120
ko:K01692	mava:LA64_03125
ko:K14953	mava:LA64_03170
ko:K02484	mava:LA64_03295
ko:K00121	mava:LA64_03310
ko:K05917	mava:LA64_03325
ko:K00128	mava:LA64_03345
ko:K01607	mava:LA64_03360
ko:K01945	mava:LA64_03365
ko:K00681	mava:LA64_03370
ko:K03752	mava:LA64_07830
ko:K01873	mava:LA64_07845
ko:K11754	mava:LA64_07850
ko:K00940	mava:LA64_07860
ko:K02888	mava:LA64_07870
ko:K02899	mava:LA64_07875
ko:K03979	mava:LA64_07880
ko:K00931	mava:LA64_07885
ko:K01950	mava:LA64_07910
ko:K01704	mava:LA64_07920
ko:K01703	mava:LA64_07925
ko:K03710	mava:LA64_07940
ko:K00852	mava:LA64_07945
ko:K00147	mava:LA64_07960
ko:K07161	mava:LA64_07970
ko:K00969	mava:LA64_07975
ko:K09710	mava:LA64_07980
ko:K06994	mava:LA64_08000
ko:K12423	mava:LA64_08020
ko:K02237	mava:LA64_08060
ko:K02238	mava:LA64_08065
ko:K02340	mava:LA64_08070
ko:K02968	mava:LA64_08075
ko:K00784	mava:LA64_08100
ko:K03596	mava:LA64_08115
ko:K15981	mava:LA64_12670
ko:K18851	mava:LA64_12690
ko:K04093	mava:LA64_12695
ko:K07045	mava:LA64_12745
ko:K01915	mava:LA64_12750
ko:K03594	mava:LA64_12770
ko:K04761	mava:LA64_12795
ko:K03386	mava:LA64_12800
ko:K04756	mava:LA64_12805
ko:K00101	mava:LA64_12820
ko:K00626	mava:LA64_12860
ko:K06153	mava:LA64_12870
ko:K07052	mava:LA64_12885
ko:K13953	mava:LA64_12890
ko:K02017	mava:LA64_12905
ko:K02018	mava:LA64_12910
ko:K02020	mava:LA64_12920
ko:K03733	mava:LA64_17225
ko:K04096	mava:LA64_17240
ko:K07391	mava:LA64_17250
ko:K07460	mava:LA64_17255
ko:K02379	mava:LA64_17260
ko:K03470	mava:LA64_17280
ko:K03100	mava:LA64_17285
ko:K02884	mava:LA64_17290
ko:K00554	mava:LA64_17300
ko:K02860	mava:LA64_17305
ko:K06960	mava:LA64_17310
ko:K00344	mava:LA64_18550
ko:K21688	mava:LA64_05145
ko:K21691	mava:LA64_07835
ko:K14228	mava:LA64_10825
ko:K22311	mava:LA64_15960
ko:K14234	mava:LA64_03280
ko:K21672	mava:LA64_08010
ko:K21672	mava:LA64_11365
ko:K21672	mava:LA64_04655
ko:K01214	mava:LA64_18945
ko:K14237	mava:LA64_16175
ko:K14233	mava:LA64_01200
ko:K14218	mava:LA64_18320
ko:K06912	mava:LA64_01160
ko:K00273	mava:LA64_12595
ko:K07448	mava:LA64_02105
ko:K01822	mava:LA64_05465
ko:K16229	mava:LA64_14770
ko:K16048	mava:LA64_02745
ko:K00798	mava:LA64_06905
ko:K03704	mava:LA64_04435
ko:K07393	mava:LA64_04445
ko:K00831	mava:LA64_04500
ko:K00528	mava:LA64_04510
ko:K04750	mava:LA64_04515
ko:K01647	mava:LA64_04520
ko:K00275	mava:LA64_04525
ko:K01647	mava:LA64_04530
ko:K07655	mava:LA64_04545
ko:K07671	mava:LA64_04550
ko:K07068	mava:LA64_09020
ko:K18481	mava:LA64_09040
ko:K18481	mava:LA64_09045
ko:K03624	mava:LA64_09110
ko:K05337	mava:LA64_09165
ko:K01992	mava:LA64_09195
ko:K01626	mava:LA64_09210
ko:K04787	mava:LA64_09215
ko:K04788	mava:LA64_09220
ko:K04790	mava:LA64_09230
ko:K04791	mava:LA64_09235
ko:K04789	mava:LA64_09240
ko:K04792	mava:LA64_09245
ko:K04793	mava:LA64_09250
ko:K03088	mava:LA64_09270
ko:K03705	mava:LA64_09285
ko:K03686	mava:LA64_09290
ko:K09761	mava:LA64_09295
ko:K07042	mava:LA64_09305
ko:K01426	mava:LA64_09335
ko:K03584	mava:LA64_09340
ko:K14215	mava:LA64_09345
ko:K01953	mava:LA64_13845
ko:K03977	mava:LA64_13880
ko:K00945	mava:LA64_13885
ko:K06178	mava:LA64_13890
ko:K06024	mava:LA64_13895
ko:K05896	mava:LA64_13900
ko:K03496	mava:LA64_13905
ko:K00545	mava:LA64_13910
ko:K04763	mava:LA64_13915
ko:K01515	mava:LA64_13920
ko:K01937	mava:LA64_13925
ko:K03631	mava:LA64_13940
ko:K00858	mava:LA64_13945
ko:K06442	mava:LA64_13950
ko:K01866	mava:LA64_13975
ko:K03652	mava:LA64_13980
ko:K03320	mava:LA64_13985
ko:K01990	mava:LA64_13990
ko:K03822	mava:LA64_14010
ko:K01644	mava:LA64_18360
ko:K03664	mava:LA64_18455
ko:K09811	mava:LA64_18460
ko:K09812	mava:LA64_18465
ko:K02836	mava:LA64_18480
ko:K00528	mava:LA64_18485
ko:K06886	mava:LA64_18495
ko:K04561	mava:LA64_18505
ko:K05602	mava:LA64_18535
ko:K00451	mava:LA64_18555
ko:K01640	mava:LA64_18570
ko:K00330	mava:LA64_18610
ko:K00331	mava:LA64_18615
ko:K00332	mava:LA64_18620
ko:K00333	mava:LA64_18625
ko:K00334	mava:LA64_18630
ko:K00335	mava:LA64_18635
ko:K16648	mava:LA64_22980
ko:K03781	mava:LA64_22995
ko:K03781	mava:LA64_23000
ko:K00122	mava:LA64_23015
ko:K01759	mava:LA64_23025
ko:K01652	mava:LA64_23040
ko:K00135	mava:LA64_23045
ko:K07048	mava:LA64_23065
ko:K00128	mava:LA64_23095
ko:K01692	mava:LA64_23120
ko:K01596	mava:LA64_23180
ko:K03439	mava:LA64_23195
ko:K06860	mava:LA64_23200
ko:K07386	mava:LA64_23245
ko:K04047	mava:LA64_23250
ko:K01239	mava:LA64_20135
ko:K01756	mava:LA64_03390
ko:K01923	mava:LA64_03405
ko:K01354	mava:LA64_03410
ko:K06986	mava:LA64_03435
ko:K07077	mava:LA64_03440
ko:K01952	mava:LA64_03455
ko:K01952	mava:LA64_03460
ko:K03710	mava:LA64_03470
ko:K07223	mava:LA64_03485
ko:K01952	mava:LA64_03500
ko:K07052	mava:LA64_03505
ko:K00764	mava:LA64_03515
ko:K01933	mava:LA64_03520
ko:K06980	mava:LA64_03530
ko:K02619	mava:LA64_03535
ko:K01011	mava:LA64_03560
ko:K15520	mava:LA64_03585
ko:K02037	mava:LA64_03595
ko:K02038	mava:LA64_03600
ko:K02036	mava:LA64_03605
ko:K02039	mava:LA64_03610
ko:K03921	mava:LA64_03625
ko:K02048	mava:LA64_08140
ko:K02046	mava:LA64_08145
ko:K02047	mava:LA64_08150
ko:K02045	mava:LA64_08155
ko:K00390	mava:LA64_08160
ko:K00392	mava:LA64_08165
ko:K07086	mava:LA64_08175
ko:K04781	mava:LA64_08185
ko:K03921	mava:LA64_08190
ko:K00626	mava:LA64_08290
ko:K01692	mava:LA64_08295
ko:K07107	mava:LA64_08300
ko:K00128	mava:LA64_08330
ko:K03885	mava:LA64_12940
ko:K00033	mava:LA64_12960
ko:K00088	mava:LA64_12965
ko:K02078	mava:LA64_12970
ko:K01909	mava:LA64_12975
ko:K01638	mava:LA64_13000
ko:K00281	mava:LA64_13020
ko:K08999	mava:LA64_13030
ko:K02437	mava:LA64_13045
ko:K03070	mava:LA64_13070
ko:K01652	mava:LA64_13075
ko:K02471	mava:LA64_13080
ko:K07507	mava:LA64_13115
ko:K14743	mava:LA64_13190
ko:K00954	mava:LA64_17530
ko:K03655	mava:LA64_17565
ko:K07030	mava:LA64_17570
ko:K02902	mava:LA64_17580
ko:K03648	mava:LA64_17615
ko:K00946	mava:LA64_17620
ko:K01921	mava:LA64_17630
ko:K00057	mava:LA64_17635
ko:K14941	mava:LA64_17640
ko:K00937	mava:LA64_17645
ko:K03574	mava:LA64_17650
ko:K03530	mava:LA64_17655
ko:K01704	mava:LA64_17660
ko:K01703	mava:LA64_17665
ko:K01885	mava:LA64_17690
ko:K00052	mava:LA64_17705
ko:K00058	mava:LA64_17710
ko:K03809	mava:LA64_17720
ko:K00053	mava:LA64_17725
ko:K01653	mava:LA64_17730
ko:K01652	mava:LA64_17735
ko:K15977	mava:LA64_17745
ko:K02434	mava:LA64_17755
ko:K02433	mava:LA64_17770
ko:K02435	mava:LA64_17775
ko:K03149	mava:LA64_22095
ko:K03154	mava:LA64_22100
ko:K03153	mava:LA64_22105
ko:K00788	mava:LA64_22110
ko:K03574	mava:LA64_22115
ko:K02030	mava:LA64_22125
ko:K14949	mava:LA64_22130
ko:K00925	mava:LA64_22165
ko:K13788	mava:LA64_22170
ko:K00252	mava:LA64_22205
ko:K03885	mava:LA64_22230
ko:K10764	mava:LA64_22235
ko:K08289	mava:LA64_22245
ko:K01939	mava:LA64_22255
ko:K16264	mava:LA64_22275
ko:K03975	mava:LA64_22290
ko:K01027	mava:LA64_22295
ko:K00762	mava:LA64_22315
ko:K07124	mava:LA64_22320
ko:K03695	mava:LA64_22330
ko:K13789	mava:LA64_22375
ko:K06893	mava:LA64_23805
ko:K03704	mava:LA64_03715
ko:K08641	mava:LA64_03720
ko:K01848	mava:LA64_03735
ko:K01849	mava:LA64_03740
ko:K01259	mava:LA64_03795
ko:K13727	mava:LA64_03800
ko:K00626	mava:LA64_03805
ko:K07588	mava:LA64_03810
ko:K00161	mava:LA64_03815
ko:K07684	mava:LA64_03820
ko:K02480	mava:LA64_03825
ko:K05712	mava:LA64_03845
ko:K05713	mava:LA64_03850
ko:K00626	mava:LA64_08510
ko:K01796	mava:LA64_08660
