ko:K12132	bthu:YBT1518_21170
ko:K19310	bthu:YBT1518_01555
ko:K02338	bthu:YBT1518_00010
ko:K02313	bthu:YBT1518_00005
ko:K00088	bthu:YBT1518_00040
ko:K18925	bthu:YBT1518_05180
ko:K18231	bthu:YBT1518_14325
ko:K06215	bthu:YBT1518_00050
ko:K07258	bthu:YBT1518_00045
ko:K18924	bthu:YBT1518_05175
ko:K15519	bthu:YBT1518_00070
ko:K03758	bthu:YBT1518_03310
ko:K07149	bthu:YBT1518_20530
ko:K19689	bthu:YBT1518_01820
ko:K03297	bthu:YBT1518_01810
ko:K08153	bthu:YBT1518_17270
ko:K01101	bthu:YBT1518_27570
ko:K05592	bthu:YBT1518_30630
ko:K07050	bthu:YBT1518_09700
ko:K09022	bthu:YBT1518_00210
ko:K06147	bthu:YBT1518_13110
ko:K11638	bthu:YBT1518_05650
ko:K07149	bthu:YBT1518_30375
ko:K07260	bthu:YBT1518_17815
ko:K18926	bthu:YBT1518_05755
ko:K18682	bthu:YBT1518_20745
ko:K01990	bthu:YBT1518_07810
ko:K01400	bthu:YBT1518_03175
ko:K20107	bthu:YBT1518_02315
ko:K20108	bthu:YBT1518_02315
ko:K18344	bthu:YBT1518_15020
ko:K18345	bthu:YBT1518_15025
ko:K00019	bthu:YBT1518_22330
ko:K00059	bthu:YBT1518_21105
ko:K01760	bthu:YBT1518_23505
ko:K00390	bthu:YBT1518_08130
ko:K01985	bthu:YBT1518_r30994
ko:K01985	bthu:YBT1518_r31000
ko:K01985	bthu:YBT1518_r30996
ko:K01985	bthu:YBT1518_r31016
ko:K01985	bthu:YBT1518_r31004
ko:K01985	bthu:YBT1518_r31010
ko:K01985	bthu:YBT1518_r30998
ko:K01985	bthu:YBT1518_r31008
ko:K01985	bthu:YBT1518_r31014
ko:K01985	bthu:YBT1518_r31012
ko:K01985	bthu:YBT1518_r31006
ko:K01985	bthu:YBT1518_r31020
ko:K14232	bthu:YBT1518_t30864
ko:K14232	bthu:YBT1518_t30920
ko:K14233	bthu:YBT1518_t30874
ko:K14233	bthu:YBT1518_t30976
ko:K01992	bthu:YBT1518_20170
ko:K01985	bthu:YBT1518_r31022
ko:K07260	bthu:YBT1518_19325
ko:K19309	bthu:YBT1518_01560
ko:K01990	bthu:YBT1518_10045
ko:K01990	bthu:YBT1518_13980
ko:K01990	bthu:YBT1518_25095
ko:K01821	bthu:YBT1518_30250
ko:K17836	bthu:YBT1518_05635
ko:K17836	bthu:YBT1518_17595
ko:K07979	bthu:YBT1518_23315
ko:K17836	bthu:YBT1518_13965
ko:K06410	bthu:YBT1518_20865
ko:K00962	bthu:YBT1518_20885
ko:K02956	bthu:YBT1518_20890
ko:K11753	bthu:YBT1518_20895
