ko:K01006	lmoz:LM1816_11527
ko:K01699	lmoz:LM1816_08188
ko:K00763	lmoz:LM1816_16165
ko:K02760	lmoz:LM1816_14267
ko:K01951	lmoz:LM1816_14272
ko:K01916	lmoz:LM1816_14257
ko:K00963	lmoz:LM1816_14212
ko:K09692	lmoz:LM1816_12632
ko:K02016	lmoz:LM1816_12627
ko:K01958	lmoz:LM1816_12617
ko:K03588	lmoz:LM1816_12612
ko:K06207	lmoz:LM1816_12587
ko:K01092	lmoz:LM1816_12582
ko:K03284	lmoz:LM1816_12572
ko:K00382	lmoz:LM1816_12542
ko:K00627	lmoz:LM1816_12537
ko:K00162	lmoz:LM1816_12532
ko:K00161	lmoz:LM1816_12527
ko:K01462	lmoz:LM1816_12522
ko:K03638	lmoz:LM1816_12507
ko:K03639	lmoz:LM1816_12502
ko:K03637	lmoz:LM1816_16205
ko:K03636	lmoz:LM1816_12487
ko:K03635	lmoz:LM1816_12482
ko:K03753	lmoz:LM1816_12477
ko:K03750	lmoz:LM1816_16210
ko:K02020	lmoz:LM1816_12462
ko:K02018	lmoz:LM1816_12457
ko:K02017	lmoz:LM1816_12452
ko:K03752	lmoz:LM1816_12447
ko:K00615	lmoz:LM1816_12422
ko:K00615	lmoz:LM1816_12417
ko:K02529	lmoz:LM1816_16215
ko:K12574	lmoz:LM1816_16225
ko:K03499	lmoz:LM1816_14622
ko:K11618	lmoz:LM1816_14617
ko:K11617	lmoz:LM1816_14612
ko:K11622	lmoz:LM1816_14607
ko:K00243	lmoz:LM1816_16230
ko:K06201	lmoz:LM1816_14592
ko:K02002	lmoz:LM1816_14582
ko:K02001	lmoz:LM1816_14577
ko:K02000	lmoz:LM1816_14572
ko:K05823	lmoz:LM1816_14557
ko:K05822	lmoz:LM1816_14552
ko:K00841	lmoz:LM1816_14527
ko:K08483	lmoz:LM1816_14507
ko:K11189	lmoz:LM1816_14502
ko:K10027	lmoz:LM1816_14492
ko:K07052	lmoz:LM1816_14482
ko:K03697	lmoz:LM1816_14477
ko:K00567	lmoz:LM1816_14472
ko:K02837	lmoz:LM1816_16240
ko:K11051	lmoz:LM1816_14417
ko:K11050	lmoz:LM1816_14412
ko:K00432	lmoz:LM1816_16245
ko:K01992	lmoz:LM1816_14382
ko:K01791	lmoz:LM1816_15827
ko:K07045	lmoz:LM1816_06770
ko:K01775	lmoz:LM1816_06855
ko:K00997	lmoz:LM1816_06850
ko:K00231	lmoz:LM1816_06845
ko:K08981	lmoz:LM1816_06840
ko:K09167	lmoz:LM1816_06835
ko:K02761	lmoz:LM1816_06805
ko:K02760	lmoz:LM1816_06800
