ko:K03605	dmc:btf_71
ko:K11749	dmc:btf_338
ko:K14228	dmc:btf_729
ko:K14225	dmc:btf_1318
ko:K06147	dmc:btf_1054
ko:K19221	dmc:btf_1103
ko:K14228	dmc:btf_1317
ko:K14224	dmc:btf_1565
ko:K02031	dmc:btf_1359
ko:K02032	dmc:btf_1358
ko:K17828	dmc:btf_1250
ko:K14229	dmc:btf_803
ko:K03711	dmc:btf_19
ko:K02238	dmc:btf_23
ko:K03499	dmc:btf_25
ko:K03499	dmc:btf_26
ko:K03498	dmc:btf_28
ko:K03499	dmc:btf_29
ko:K00845	dmc:btf_47
ko:K08256	dmc:btf_927
ko:K03177	dmc:btf_930
ko:K15521	dmc:btf_951
ko:K00030	dmc:btf_415
ko:K01515	dmc:btf_421
ko:K00619	dmc:btf_422
ko:K04517	dmc:btf_425
ko:K03856	dmc:btf_433
ko:K00939	dmc:btf_459
ko:K05595	dmc:btf_1326
ko:K00567	dmc:btf_1336
ko:K14475	dmc:btf_1337
ko:K03856	dmc:btf_1354
ko:K02033	dmc:btf_1361
ko:K02035	dmc:btf_1362
ko:K07730	dmc:btf_1367
ko:K00059	dmc:btf_1155
ko:K03743	dmc:btf_1169
ko:K06990	dmc:btf_1189
ko:K01653	dmc:btf_753
ko:K01652	dmc:btf_754
ko:K01687	dmc:btf_755
ko:K07566	dmc:btf_756
ko:K01951	dmc:btf_757
ko:K01945	dmc:btf_759
ko:K01588	dmc:btf_760
ko:K01756	dmc:btf_761
ko:K01923	dmc:btf_762
ko:K01693	dmc:btf_763
ko:K00817	dmc:btf_764
ko:K00013	dmc:btf_765
ko:K00765	dmc:btf_766
ko:K01892	dmc:btf_767
ko:K03524	dmc:btf_770
ko:K02003	dmc:btf_778
ko:K03596	dmc:btf_780
ko:K00334	dmc:btf_784
ko:K04568	dmc:btf_790
ko:K02356	dmc:btf_791
ko:K03893	dmc:btf_805
ko:K07028	dmc:btf_477
ko:K00772	dmc:btf_480
