ko:K18205	bbrv:B689b_0230
ko:K06147	bbrv:B689b_1867
ko:K18955	bbrv:B689b_0752
ko:K18955	bbrv:B689b_0755
ko:K16235	bbrv:B689b_1102
ko:K01802	bbrv:B689b_0748
ko:K02483	bbrv:B689b_1386
ko:K00991	bbrv:B689b_1730
ko:K07005	bbrv:B689b_0070
ko:K01883	bbrv:B689b_0381
ko:K01653	bbrv:B689b_0386
ko:K01652	bbrv:B689b_0387
ko:K03685	bbrv:B689b_0388
ko:K02911	bbrv:B689b_0389
ko:K07040	bbrv:B689b_0390
ko:K00954	bbrv:B689b_0392
ko:K00763	bbrv:B689b_0397
ko:K00989	bbrv:B689b_0398
ko:K02428	bbrv:B689b_0399
ko:K06207	bbrv:B689b_1238
ko:K02003	bbrv:B689b_1241
ko:K02004	bbrv:B689b_1242
ko:K04487	bbrv:B689b_1244
ko:K00767	bbrv:B689b_1245
ko:K00278	bbrv:B689b_1246
ko:K03517	bbrv:B689b_1247
ko:K06024	bbrv:B689b_1249
ko:K05896	bbrv:B689b_1250
ko:K04763	bbrv:B689b_1252
ko:K00865	bbrv:B689b_1253
ko:K03299	bbrv:B689b_1254
ko:K02647	bbrv:B689b_1255
ko:K02887	bbrv:B689b_1256
ko:K02916	bbrv:B689b_1257
ko:K02520	bbrv:B689b_1258
ko:K00949	bbrv:B689b_1261
ko:K00134	bbrv:B689b_1262
ko:K03527	bbrv:B689b_1264
ko:K03088	bbrv:B689b_1268
ko:K01928	bbrv:B689b_1269
ko:K03529	bbrv:B689b_1272
ko:K11754	bbrv:B689b_1273
ko:K01262	bbrv:B689b_1274
ko:K01443	bbrv:B689b_1276
ko:K02564	bbrv:B689b_1277
ko:K00847	bbrv:B689b_1281
ko:K07560	bbrv:B689b_1283
ko:K03589	bbrv:B689b_1284
ko:K01924	bbrv:B689b_1285
ko:K02563	bbrv:B689b_1286
ko:K03588	bbrv:B689b_1287
ko:K01925	bbrv:B689b_1288
ko:K01000	bbrv:B689b_1289
ko:K01662	bbrv:B689b_0562
ko:K01588	bbrv:B689b_0564
ko:K01589	bbrv:B689b_0565
ko:K03711	bbrv:B689b_0566
ko:K02003	bbrv:B689b_0569
ko:K07089	bbrv:B689b_0573
ko:K02077	bbrv:B689b_0575
ko:K00128	bbrv:B689b_0577
ko:K01945	bbrv:B689b_0578
ko:K01933	bbrv:B689b_0579
