ko:K18929	cjp:A911_00350
ko:K10040	cjp:A911_04440
ko:K06921	cjp:A911_03840
ko:K18928	cjp:A911_00355
ko:K18139	cjp:A911_01770
ko:K18138	cjp:A911_01775
ko:K02054	cjp:A911_03565
ko:K18682	cjp:A911_05865
ko:K04042	cjp:A911_03980
ko:K13038	cjp:A911_03985
ko:K00806	cjp:A911_03995
ko:K02654	cjp:A911_04000
ko:K07091	cjp:A911_04005
ko:K06173	cjp:A911_04010
ko:K01754	cjp:A911_04015
ko:K06929	cjp:A911_04020
ko:K09943	cjp:A911_04025
ko:K01682	cjp:A911_04050
ko:K01772	cjp:A911_04060
ko:K01874	cjp:A911_04065
ko:K03841	cjp:A911_04075
ko:K03753	cjp:A911_04080
ko:K08309	cjp:A911_04090
ko:K02221	cjp:A911_04095
ko:K01613	cjp:A911_04110
ko:K04061	cjp:A911_04115
ko:K01845	cjp:A911_04140
ko:K01491	cjp:A911_04150
ko:K03100	cjp:A911_04155
ko:K03750	cjp:A911_04160
ko:K00790	cjp:A911_04165
ko:K03611	cjp:A911_04195
ko:K03673	cjp:A911_04230
ko:K02400	cjp:A911_04265
ko:K09457	cjp:A911_08300
ko:K00651	cjp:A911_08310
ko:K01740	cjp:A911_08315
ko:K02390	cjp:A911_08320
ko:K01159	cjp:A911_08325
ko:K02417	cjp:A911_00280
ko:K02416	cjp:A911_00285
ko:K02405	cjp:A911_00290
ko:K04562	cjp:A911_00300
ko:K02404	cjp:A911_00305
ko:K00950	cjp:A911_00310
ko:K03786	cjp:A911_00315
ko:K04773	cjp:A911_00325
ko:K00782	cjp:A911_00345
ko:K03303	cjp:A911_00360
ko:K00425	cjp:A911_00385
ko:K00426	cjp:A911_00390
ko:K01779	cjp:A911_00400
ko:K03648	cjp:A911_00405
ko:K01744	cjp:A911_00410
ko:K07791	cjp:A911_00415
ko:K09859	cjp:A911_00420
ko:K07337	cjp:A911_00430
ko:K02888	cjp:A911_00445
ko:K02899	cjp:A911_00450
ko:K03979	cjp:A911_00455
ko:K00931	cjp:A911_00460
ko:K00604	cjp:A911_00465
ko:K03524	cjp:A911_00470
ko:K02109	cjp:A911_00485
ko:K02109	cjp:A911_00490
ko:K02113	cjp:A911_00495
ko:K02111	cjp:A911_00500
ko:K02115	cjp:A911_00505
