ko:K18917	cos:Cp4202_0624
ko:K01992	cos:Cp4202_0325
ko:K01992	cos:Cp4202_1086
ko:K01992	cos:Cp4202_1615
ko:K18926	cos:Cp4202_0469
ko:K01897	cos:Cp4202_1523
ko:K14232	cos:Cp4202_t36
ko:K16147	cos:Cp4202_0848
ko:K16148	cos:Cp4202_0778
ko:K16164	cos:Cp4202_0149
ko:K10716	cos:Cp4202_0537
ko:K14235	cos:Cp4202_t16
ko:K02028	cos:Cp4202_0915
ko:K15733	cos:Cp4202_1179
ko:K03704	cos:Cp4202_0590
ko:K06901	cos:Cp4202_0594
ko:K00831	cos:Cp4202_0598
ko:K01647	cos:Cp4202_0599
ko:K14393	cos:Cp4202_0607
ko:K03327	cos:Cp4202_0612
ko:K01697	cos:Cp4202_0613
ko:K01586	cos:Cp4202_0614
ko:K02034	cos:Cp4202_0619
ko:K03724	cos:Cp4202_0628
ko:K01810	cos:Cp4202_0632
ko:K03657	cos:Cp4202_0635
ko:K11175	cos:Cp4202_0638
ko:K00602	cos:Cp4202_0639
ko:K03427	cos:Cp4202_1453
ko:K02003	cos:Cp4202_1458
ko:K07084	cos:Cp4202_1465
ko:K01733	cos:Cp4202_1468
ko:K00982	cos:Cp4202_1472
ko:K01915	cos:Cp4202_1473
ko:K00849	cos:Cp4202_1477
ko:K07164	cos:Cp4202_1480
ko:K00817	cos:Cp4202_1482
ko:K02227	cos:Cp4202_1486
ko:K00163	cos:Cp4202_1488
ko:K02078	cos:Cp4202_1490
ko:K00782	cos:Cp4202_0818
ko:K03303	cos:Cp4202_0821
ko:K01887	cos:Cp4202_0822
ko:K01586	cos:Cp4202_0823
ko:K00003	cos:Cp4202_0824
ko:K00872	cos:Cp4202_0825
ko:K03628	cos:Cp4202_0828
ko:K10773	cos:Cp4202_0205
ko:K02283	cos:Cp4202_0215
ko:K12510	cos:Cp4202_0216
ko:K03704	cos:Cp4202_0222
ko:K03168	cos:Cp4202_0223
ko:K02341	cos:Cp4202_0226
ko:K00973	cos:Cp4202_0230
ko:K00382	cos:Cp4202_0237
ko:K07110	cos:Cp4202_0238
ko:K00239	cos:Cp4202_0240
ko:K00240	cos:Cp4202_0241
ko:K04069	cos:Cp4202_0247
ko:K00656	cos:Cp4202_0249
ko:K00075	cos:Cp4202_0252
ko:K09157	cos:Cp4202_1071
ko:K11717	cos:Cp4202_1079
ko:K09013	cos:Cp4202_1080
ko:K09015	cos:Cp4202_1081
ko:K09014	cos:Cp4202_1082
ko:K02259	cos:Cp4202_1087
ko:K00615	cos:Cp4202_1089
ko:K00036	cos:Cp4202_1091
ko:K01057	cos:Cp4202_1093
ko:K03075	cos:Cp4202_1094
ko:K01595	cos:Cp4202_1095
ko:K01803	cos:Cp4202_1096
ko:K00927	cos:Cp4202_1097
ko:K00134	cos:Cp4202_1098
ko:K06958	cos:Cp4202_1101
ko:K03703	cos:Cp4202_1102
ko:K00794	cos:Cp4202_1104
ko:K14652	cos:Cp4202_1105
ko:K00793	cos:Cp4202_1106
ko:K11752	cos:Cp4202_1107
ko:K01783	cos:Cp4202_1108
ko:K03500	cos:Cp4202_1109
ko:K00604	cos:Cp4202_1110
ko:K01462	cos:Cp4202_1111
ko:K04066	cos:Cp4202_1112
ko:K00789	cos:Cp4202_1113
ko:K13038	cos:Cp4202_1114
ko:K03060	cos:Cp4202_1115
ko:K00942	cos:Cp4202_1116
ko:K01591	cos:Cp4202_1119
ko:K01955	cos:Cp4202_1120
ko:K01956	cos:Cp4202_1121
ko:K01465	cos:Cp4202_1122
ko:K00609	cos:Cp4202_1123
