ko:K18929	hcn:HPB14_00660
ko:K19302	hcn:HPB14_02420
ko:K18928	hcn:HPB14_00665
ko:K13896	hcn:HPB14_01235
ko:K07316	hcn:HPB14_01285
ko:K18682	hcn:HPB14_02855
ko:K16091	hcn:HPB14_02630
ko:K16091	hcn:HPB14_07405
ko:K14233	hcn:HPB14_t07779
ko:K14218	hcn:HPB14_t07783
ko:K14219	hcn:HPB14_t07809
ko:K14226	hcn:HPB14_t07811
ko:K15726	hcn:HPB14_04710
ko:K14230	hcn:HPB14_t07821
ko:K01977	hcn:HPB14_r07843
ko:K01977	hcn:HPB14_r07845
ko:K14234	hcn:HPB14_t07825
ko:K14225	hcn:HPB14_t07827
ko:K14236	hcn:HPB14_t07829
ko:K14234	hcn:HPB14_t07831
ko:K14228	hcn:HPB14_t07833
ko:K14228	hcn:HPB14_t07835
ko:K14231	hcn:HPB14_t07837
ko:K10716	hcn:HPB14_04260
ko:K02014	hcn:HPB14_02300
ko:K02014	hcn:HPB14_07280
ko:K02028	hcn:HPB14_05545
ko:K02030	hcn:HPB14_05550
ko:K03625	hcn:HPB14_00005
ko:K00794	hcn:HPB14_00010
ko:K01627	hcn:HPB14_00015
ko:K01673	hcn:HPB14_00020
ko:K01591	hcn:HPB14_00025
ko:K01918	hcn:HPB14_00030
ko:K04077	hcn:HPB14_00045
ko:K04078	hcn:HPB14_00050
ko:K00566	hcn:HPB14_00060
ko:K09859	hcn:HPB14_00085
ko:K03415	hcn:HPB14_00090
ko:K13747	hcn:HPB14_00095
ko:K03760	hcn:HPB14_00105
ko:K01647	hcn:HPB14_00125
ko:K00031	hcn:HPB14_00130
ko:K01935	hcn:HPB14_00140
ko:K04653	hcn:HPB14_04365
ko:K00925	hcn:HPB14_04390
ko:K13788	hcn:HPB14_04405
ko:K02389	hcn:HPB14_04415
ko:K02390	hcn:HPB14_04420
ko:K03657	hcn:HPB14_04435
ko:K01955	hcn:HPB14_04470
ko:K00134	hcn:HPB14_04480
ko:K01821	hcn:HPB14_04495
ko:K06187	hcn:HPB14_04500
ko:K06176	hcn:HPB14_04505
ko:K03799	hcn:HPB14_04510
ko:K01495	hcn:HPB14_04515
ko:K00795	hcn:HPB14_04520
ko:K03787	hcn:HPB14_04525
ko:K01737	hcn:HPB14_04535
ko:K01775	hcn:HPB14_04585
ko:K03310	hcn:HPB14_04590
ko:K00285	hcn:HPB14_04595
ko:K00783	hcn:HPB14_04620
ko:K01963	hcn:HPB14_04625
ko:K03637	hcn:HPB14_02680
ko:K15846	hcn:HPB14_02685
ko:K03545	hcn:HPB14_02695
ko:K01358	hcn:HPB14_02700
ko:K01462	hcn:HPB14_02705
ko:K07391	hcn:HPB14_02710
ko:K01534	hcn:HPB14_02715
ko:K03070	hcn:HPB14_02740
ko:K03634	hcn:HPB14_02745
ko:K01682	hcn:HPB14_02770
ko:K09903	hcn:HPB14_02780
ko:K03060	hcn:HPB14_02785
ko:K01866	hcn:HPB14_02795
ko:K00459	hcn:HPB14_02800
ko:K01448	hcn:HPB14_02805
ko:K02401	hcn:HPB14_02815
ko:K03752	hcn:HPB14_02820
ko:K03639	hcn:HPB14_02825
ko:K03110	hcn:HPB14_02840
ko:K07084	hcn:HPB14_02865
ko:K12251	hcn:HPB14_02875
ko:K02422	hcn:HPB14_02890
ko:K02407	hcn:HPB14_02895
ko:K09811	hcn:HPB14_02910
ko:K09812	hcn:HPB14_02915
ko:K03439	hcn:HPB14_02920
ko:K06180	hcn:HPB14_02930
ko:K05837	hcn:HPB14_02945
ko:K00948	hcn:HPB14_02950
ko:K00826	hcn:HPB14_07050
ko:K00943	hcn:HPB14_07085
ko:K00954	hcn:HPB14_07090
ko:K03186	hcn:HPB14_07095
ko:K02386	hcn:HPB14_07105
ko:K03657	hcn:HPB14_07110
ko:K01875	hcn:HPB14_07120
ko:K03602	hcn:HPB14_07130
ko:K03183	hcn:HPB14_07135
ko:K08973	hcn:HPB14_07140
ko:K01993	hcn:HPB14_07160
ko:K03306	hcn:HPB14_07175
ko:K01928	hcn:HPB14_07190
ko:K02897	hcn:HPB14_07200
ko:K01056	hcn:HPB14_07205
ko:K11720	hcn:HPB14_07210
ko:K09943	hcn:HPB14_07230
ko:K11752	hcn:HPB14_07245
ko:K03312	hcn:HPB14_07250
ko:K08591	hcn:HPB14_07265
ko:K01633	hcn:HPB14_07270
ko:K01042	hcn:HPB14_07290
ko:K02600	hcn:HPB14_07295
ko:K00215	hcn:HPB14_04170
ko:K02470	hcn:HPB14_04205
ko:K02338	hcn:HPB14_04210
ko:K01058	hcn:HPB14_04215
ko:K03308	hcn:HPB14_04220
ko:K03308	hcn:HPB14_04225
ko:K07107	hcn:HPB14_04230
ko:K01925	hcn:HPB14_04240
