ko:K19405	ctcf:CTRC69_03595
ko:K01921	ctcf:CTRC69_04070
ko:K01924	ctcf:CTRC69_04070
ko:K03559	ctcf:CTRC69_03165
ko:K02433	ctcf:CTRC69_00020
ko:K03471	ctcf:CTRC69_00045
ko:K00033	ctcf:CTRC69_00335
ko:K11707	ctcf:CTRC69_00360
ko:K11710	ctcf:CTRC69_00365
ko:K11708	ctcf:CTRC69_00370
ko:K11709	ctcf:CTRC69_00375
ko:K02806	ctcf:CTRC69_01515
ko:K02806	ctcf:CTRC69_01520
ko:K02124	ctcf:CTRC69_01580
ko:K02123	ctcf:CTRC69_01585
ko:K02120	ctcf:CTRC69_01590
ko:K02118	ctcf:CTRC69_01595
ko:K02117	ctcf:CTRC69_01600
ko:K02121	ctcf:CTRC69_01610
ko:K00616	ctcf:CTRC69_01625
ko:K08483	ctcf:CTRC69_01765
ko:K11189	ctcf:CTRC69_01770
ko:K00784	ctcf:CTRC69_01825
ko:K03177	ctcf:CTRC69_00490
ko:K06179	ctcf:CTRC69_00550
ko:K00939	ctcf:CTRC69_00675
ko:K02028	ctcf:CTRC69_00685
ko:K02035	ctcf:CTRC69_00730
ko:K06889	ctcf:CTRC69_00785
ko:K02035	ctcf:CTRC69_00925
ko:K02049	ctcf:CTRC69_00950
ko:K01834	ctcf:CTRC69_03850
ko:K06910	ctcf:CTRC69_03925
ko:K07117	ctcf:CTRC69_03930
ko:K03856	ctcf:CTRC69_02015
ko:K00970	ctcf:CTRC69_02155
ko:K09815	ctcf:CTRC69_02180
ko:K02342	ctcf:CTRC69_02850
ko:K07258	ctcf:CTRC69_02925
ko:K03227	ctcf:CTRC69_02990
ko:K02454	ctcf:CTRC69_03030
ko:K01262	ctcf:CTRC69_03045
ko:K07315	ctcf:CTRC69_03115
ko:K00241	ctcf:CTRC69_03145
ko:K03386	ctcf:CTRC69_03195
ko:K02428	ctcf:CTRC69_03210
ko:K01719	ctcf:CTRC69_02285
ko:K00380	ctcf:CTRC69_02295
ko:K01885	ctcf:CTRC69_02355
ko:K07098	ctcf:CTRC69_02450
ko:K00567	ctcf:CTRC69_02535
ko:K02033	ctcf:CTRC69_02545
ko:K02035	ctcf:CTRC69_02550
ko:K02030	ctcf:CTRC69_02590
ko:K04084	ctcf:CTRC69_03155
ko:K14227	ctcf:CTRC69_t04740
ko:K14218	ctcf:CTRC69_t04742
ko:K14218	ctcf:CTRC69_t04780
ko:K14230	ctcf:CTRC69_t04744
ko:K14230	ctcf:CTRC69_t04756
ko:K14235	ctcf:CTRC69_t04752
ko:K14233	ctcf:CTRC69_t04758
ko:K14233	ctcf:CTRC69_t04770
ko:K14231	ctcf:CTRC69_t04762
ko:K14228	ctcf:CTRC69_t04764
ko:K14228	ctcf:CTRC69_t04772
ko:K14221	ctcf:CTRC69_t04748
ko:K14233	ctcf:CTRC69_t04760
ko:K14228	ctcf:CTRC69_t04774
ko:K14219	ctcf:CTRC69_t04766
ko:K14219	ctcf:CTRC69_t04776
ko:K14219	ctcf:CTRC69_t04782
ko:K14232	ctcf:CTRC69_t04778
ko:K14229	ctcf:CTRC69_t04786
ko:K14224	ctcf:CTRC69_t04788
ko:K14226	ctcf:CTRC69_t04794
ko:K01985	ctcf:CTRC69_r04806
ko:K01985	ctcf:CTRC69_r04808
ko:K14222	ctcf:CTRC69_t04796
ko:K14223	ctcf:CTRC69_t04798
ko:K14233	ctcf:CTRC69_t04802
ko:K01980	ctcf:CTRC69_r04814
ko:K01980	ctcf:CTRC69_r04816
ko:K00036	ctcf:CTRC69_00975
ko:K01057	ctcf:CTRC69_00980
ko:K02343	ctcf:CTRC69_00985
ko:K00943	ctcf:CTRC69_00990
ko:K02469	ctcf:CTRC69_00995
ko:K02470	ctcf:CTRC69_01000
ko:K00773	ctcf:CTRC69_01015
ko:K06213	ctcf:CTRC69_01020
ko:K15580	ctcf:CTRC69_01040
ko:K15581	ctcf:CTRC69_01045
ko:K03319	ctcf:CTRC69_01070
ko:K00850	ctcf:CTRC69_01075
ko:K00895	ctcf:CTRC69_01085
ko:K02527	ctcf:CTRC69_01090
ko:K01869	ctcf:CTRC69_01095
ko:K01845	ctcf:CTRC69_01100
ko:K07735	ctcf:CTRC69_01105
ko:K08999	ctcf:CTRC69_01110
