ko:K01990	ssk:SSUD12_0236
ko:K01533	ssk:SSUD12_0642
ko:K02028	ssk:SSUD12_0468
ko:K18231	ssk:SSUD12_0598
ko:K06148	ssk:SSUD12_0851
ko:K19689	ssk:SSUD12_1922
ko:K10040	ssk:SSUD12_0591
ko:K03790	ssk:SSUD12_0746
ko:K13677	ssk:SSUD12_0585
ko:K07491	ssk:SSUD12_1651
ko:K10041	ssk:SSUD12_0594
ko:K02424	ssk:SSUD12_2047
ko:K10039	ssk:SSUD12_0593
ko:K10009	ssk:SSUD12_2046
ko:K11753	ssk:SSUD12_0809
ko:K02040	ssk:SSUD12_0815
ko:K02037	ssk:SSUD12_0816
ko:K02038	ssk:SSUD12_0817
ko:K02036	ssk:SSUD12_0818
ko:K02036	ssk:SSUD12_0819
ko:K02039	ssk:SSUD12_0820
ko:K02968	ssk:SSUD12_0825
ko:K00756	ssk:SSUD12_0828
ko:K07335	ssk:SSUD12_0831
ko:K02057	ssk:SSUD12_0833
ko:K02057	ssk:SSUD12_0834
ko:K02469	ssk:SSUD12_0837
ko:K03630	ssk:SSUD12_0839
ko:K07010	ssk:SSUD12_0840
ko:K01926	ssk:SSUD12_0841
ko:K04487	ssk:SSUD12_0844
ko:K00948	ssk:SSUD12_0845
ko:K00858	ssk:SSUD12_0848
ko:K06180	ssk:SSUD12_0849
ko:K03575	ssk:SSUD12_0854
ko:K03217	ssk:SSUD12_1691
ko:K03624	ssk:SSUD12_1692
ko:K07082	ssk:SSUD12_1693
ko:K01924	ssk:SSUD12_1695
ko:K03977	ssk:SSUD12_1700
ko:K07738	ssk:SSUD12_1704
ko:K07040	ssk:SSUD12_1708
ko:K00384	ssk:SSUD12_1709
ko:K01000	ssk:SSUD12_1714
ko:K03438	ssk:SSUD12_1717
ko:K03734	ssk:SSUD12_1725
ko:K03885	ssk:SSUD12_1728
ko:K01879	ssk:SSUD12_1737
ko:K01878	ssk:SSUD12_1738
ko:K02072	ssk:SSUD12_1741
ko:K02071	ssk:SSUD12_1742
ko:K02073	ssk:SSUD12_1744
ko:K07444	ssk:SSUD12_0395
ko:K07173	ssk:SSUD12_0397
ko:K00942	ssk:SSUD12_0399
