ko:K19079	saue:RSAU_000637
ko:K09022	saue:RSAU_000434
ko:K19285	saue:RSAU_000325
ko:K00887	saue:RSAU_001434
ko:K05592	saue:RSAU_001920
ko:K07145	saue:RSAU_000119
ko:K05352	saue:RSAU_000200
ko:K13733	saue:RSAU_002340
ko:K11442	saue:RSAU_002015
ko:K18934	saue:RSAU_002011
ko:K18936	saue:RSAU_002253
ko:K03328	saue:RSAU_000086
ko:K03328	saue:RSAU_000443
ko:K01262	saue:RSAU_001396
ko:K18935	saue:RSAU_002013
ko:K18940	saue:RSAU_001294
ko:K21454	saue:RSAU_002191
ko:K11039	saue:RSAU_001868
ko:K19975	saue:RSAU_000587
ko:K19973	saue:RSAU_000589
ko:K17716	saue:RSAU_000107
ko:K04517	saue:RSAU_001246
ko:K01220	saue:RSAU_002033
ko:K02786	saue:RSAU_002035
ko:K01635	saue:RSAU_002036
ko:K00917	saue:RSAU_002037
ko:K01819	saue:RSAU_002038
ko:K01819	saue:RSAU_002039
ko:K02530	saue:RSAU_002040
ko:K01727	saue:RSAU_002045
ko:K16787	saue:RSAU_002057
ko:K16786	saue:RSAU_002058
ko:K07304	saue:RSAU_001242
ko:K00712	saue:RSAU_000518
ko:K00712	saue:RSAU_000519
ko:K02564	saue:RSAU_000523
ko:K08093	saue:RSAU_000524
ko:K00626	saue:RSAU_000529
ko:K00625	saue:RSAU_000540
ko:K00869	saue:RSAU_000542
ko:K01597	saue:RSAU_000543
ko:K00938	saue:RSAU_000544
ko:K13953	saue:RSAU_000562
ko:K07457	saue:RSAU_000565
ko:K01424	saue:RSAU_001349
ko:K05337	saue:RSAU_001354
ko:K09763	saue:RSAU_001364
ko:K04763	saue:RSAU_001365
ko:K03711	saue:RSAU_001366
ko:K01515	saue:RSAU_001367
ko:K00784	saue:RSAU_001371
ko:K00033	saue:RSAU_001377
ko:K01479	saue:RSAU_002169
ko:K01785	saue:RSAU_002173
ko:K01992	saue:RSAU_002175
ko:K01990	saue:RSAU_002176
ko:K01823	saue:RSAU_002180
ko:K07491	saue:RSAU_002193
ko:K01990	saue:RSAU_002201
ko:K08974	saue:RSAU_000791
ko:K04488	saue:RSAU_000795
ko:K13628	saue:RSAU_000817
ko:K05570	saue:RSAU_000824
ko:K05568	saue:RSAU_000826
ko:K07729	saue:RSAU_000294
ko:K01990	saue:RSAU_000296
ko:K00626	saue:RSAU_000299
ko:K01760	saue:RSAU_000303
ko:K01834	saue:RSAU_000320
ko:K03386	saue:RSAU_000324
ko:K00088	saue:RSAU_000334
ko:K03177	saue:RSAU_001154
ko:K00059	saue:RSAU_001163
ko:K02443	saue:RSAU_001180
ko:K07491	saue:RSAU_001181
ko:K03713	saue:RSAU_001191
ko:K03048	saue:RSAU_001966
ko:K09680	saue:RSAU_001968
ko:K01619	saue:RSAU_001975
ko:K03784	saue:RSAU_001976
ko:K02799	saue:RSAU_001992
ko:K02800	saue:RSAU_001992
ko:K02798	saue:RSAU_001994
ko:K03593	saue:RSAU_002010
ko:K02240	saue:RSAU_000725
ko:K02242	saue:RSAU_000726
ko:K06023	saue:RSAU_000735
ko:K09762	saue:RSAU_000742
